root,feature,observations,sufficient_test_observations,total_gross_return,total_cost_return,total_net_return,mean_net_bps_per_bar,event_tstat,annualized_sharpe,hit_rate,active_fraction,total_turnover
CL,ofi_high,55,True,-0.01808632585885329,0.0010117577289045017,-0.01909808358775779,-3.4723788341377797,-2.3376093731663614,-12.369466127623552,0.32727272727272727,1.0,6.745051526030011
RTY,ofi_high,135,True,-0.0024576468805892456,0.002826799330825311,-0.005284446211414558,-0.39144046010478206,-0.9395470759016251,-4.971615815747255,0.4074074074074074,0.9407407407407408,18.845328872168743
SR3,ofi_high,58,True,-0.00026452642697220326,0.00178853446288379,-0.0020530608898559934,-0.35397601549241264,-8.045927561369087,-42.575046788445974,0.05172413793103448,1.0,11.923563085891935
ZB,ofi_high,55,True,-0.00043853996526209145,0.001042137177294552,-0.0014806771425566435,-0.2692140259193897,-1.544465558411214,-8.172543552121148,0.36363636363636365,1.0,6.947581181963678
ZT,ofi_high,52,True,0.00011563487274674465,0.0013782512828708542,-0.0012626164101241092,-0.24281084810079023,-4.381619596676146,-23.185351584984435,0.17307692307692307,1.0,9.188341885805695
CL,ofi_low,55,True,-0.003041551895131578,0.00028771706401298794,-0.003329268959144566,-0.6053216289353757,-1.8264788486277403,-9.664817616777176,0.34545454545454546,0.9818181818181818,1.918113760086587
RTY,ofi_low,135,True,0.0016972379081644233,0.0008126593552092876,0.0008845785529551359,0.065524337255936,0.4445950876884245,2.3525760722890516,0.45185185185185184,0.9407407407407408,5.417729034728585
SR3,ofi_low,58,True,-0.0003762873470277108,0.0017178833311905291,-0.00209417067821824,-0.36106391003762756,-7.166330420201949,-37.92065620954273,0.034482758620689655,1.0,11.452555541270195
ZB,ofi_low,55,True,-0.0011659535142127587,0.0009565287492278189,-0.0021224822634405777,-0.3859058660801051,-1.8058645652366285,-9.555737082159794,0.4,1.0,6.3768583281854605
ZT,ofi_low,52,True,0.0002895977808520062,0.0008913630019038501,-0.0006017652210518438,-0.11572408097150842,-2.8086963550467474,-14.862224127494537,0.23076923076923078,0.9807692307692307,5.942420012692334
CL,ofi_spread,55,True,0.015044773963721711,0.001033719708032764,0.014011054255688948,2.5474644101252633,1.6239574137470587,8.593174913068685,0.5636363636363636,1.0,6.891464720218427
RTY,ofi_spread,135,True,-0.00415488478875367,0.0030976768462161837,-0.007252561634969853,-0.5372267877755447,-1.1783242638961122,-6.235105932124716,0.4,0.9407407407407408,20.651178974774556
SR3,ofi_spread,58,True,0.00011176092005550765,0.0020832302697108974,-0.0019714693496553897,-0.3399085085612741,-7.660962947445569,-40.538005524442724,0.1206896551724138,1.0,13.888201798072648
ZB,ofi_spread,55,True,-0.0016044934794748496,0.0011978460521973253,-0.002802339531672175,-0.50951627848585,-2.302300867619298,-12.182631077937804,0.43636363636363634,1.0,7.985640347982169
ZT,ofi_spread,52,True,-0.00017396290810526161,0.001391219104417881,-0.0015651820125231423,-0.300996540869835,-5.342141743641717,-28.2679570442659,0.19230769230769232,1.0,9.27479402945254
