root,feature,train_beta,train_tstat,train_corr,train_observations,direction
CL,ofi_high,0.001924272618200212,0.2018585699709395,0.021272946499095648,92,1.0
RTY,ofi_high,0.0009298550322388011,0.3347873039774903,0.03190446686422087,112,1.0
SR3,ofi_high,-0.00017098713737394007,-2.242304170494021,-0.22091084750557136,100,-1.0
ZB,ofi_high,-0.001404776982181565,-1.3756390931771505,-0.13561661387200985,103,-1.0
ZT,ofi_high,-0.0001614711513835944,-0.8951714727587796,-0.09553349835620847,89,-1.0
CL,ofi_low,0.036769288947996276,2.1118309224000478,0.21728791131088845,92,1.0
RTY,ofi_low,0.00369544773964756,0.5571497558613967,0.05304734880426138,112,1.0
SR3,ofi_low,-4.4384938046782944e-05,-0.4767707848711332,-0.04810536441973564,100,-1.0
ZB,ofi_low,0.0005407788884277086,0.5566239735216846,0.05530139840284057,103,1.0
ZT,ofi_low,-7.395227407112478e-05,-0.46957379177226993,-0.050279918478038046,89,-1.0
CL,ofi_spread,-0.008498257606378345,-0.8996944418919927,-0.09441250368208638,92,-1.0
RTY,ofi_spread,0.00023286804952963837,0.09238883559120709,0.00880858808556387,112,1.0
SR3,ofi_spread,-0.00010000504722551139,-1.529967731119715,-0.15273673013189884,100,-1.0
ZB,ofi_spread,-0.0008491410390363757,-1.2782284744248051,-0.12617204421957515,103,-1.0
ZT,ofi_spread,-2.9343052475549693e-05,-0.23887138808073183,-0.025601306918252038,89,-1.0
