root,method,trend_threshold,volume_threshold,label,observations,total_gross_return,total_cost_return,total_net_return,mean_net_bps,event_tstat,annualized_sharpe,hit_rate,max_drawdown
SR3,baseline_trend,0.00010401497825096584,11448.0,SR3_baseline_trend,699,-0.002029882676758632,0.019799999999999998,-0.02182988267675863,-0.31230161197079587,-12.278543863620094,-65.11122255211522,0.044349070100143065,-0.0218298826767587
SR3,flow_filtered_trend,0.00010401497825096584,11448.0,SR3_flow_filtered_trend,699,-0.0008847351558820549,0.0159,-0.016784735155882052,-0.24012496646469317,-10.792897235008239,-57.23306783411542,0.011444921316165951,-0.0167847351558821
ZT,baseline_trend,0.00015149907464007129,5233.0,ZT_baseline_trend,702,-1.0942420818338405e-06,0.0177,-0.01770109424208183,-0.2521523396307953,-9.411242168951222,-49.799612614498116,0.10256410256410256,-0.017701094242081886
ZT,flow_filtered_trend,0.00015149907464007129,5233.0,ZT_flow_filtered_trend,702,0.00022699572424134118,0.0174,-0.017173004275758658,-0.24462969053787262,-9.970914249527162,-52.7611188963982,0.021367521367521368,-0.01717300427575871
ZF,baseline_trend,0.0003660709098689097,8576.0,ZF_baseline_trend,702,-0.0007373695511549982,0.0159,-0.016637369551154996,-0.23699956625576918,-5.935497105998458,-31.407698500031007,0.10541310541310542,-0.016998598337165993
ZF,flow_filtered_trend,0.0003660709098689097,8576.0,ZF_flow_filtered_trend,702,-4.994262786439663e-06,0.0132,-0.013204994262786436,-0.18810533137872415,-5.7302863246322495,-30.321825112342538,0.024216524216524215,-0.013493206364453302
ZN,baseline_trend,0.0005702717517907629,11494.5,ZN_baseline_trend,702,-0.005870573997833084,0.0198,-0.02567057399783308,-0.3656776922768245,-5.895128675438912,-31.194088843873928,0.09829059829059829,-0.026233789918516458
ZN,flow_filtered_trend,0.0005702717517907629,11494.5,ZN_flow_filtered_trend,702,-0.0012965992232665258,0.013499999999999998,-0.01479659922326652,-0.21077776671319828,-5.483964925279455,-29.018414781780695,0.018518518518518517,-0.015359815143949861
ZB,baseline_trend,0.0008527815847235942,2537.0,ZB_baseline_trend,702,-0.002808223581259206,0.015600000000000001,-0.018408223581259202,-0.26222540714044446,-2.5602329500265575,-13.54747936832706,0.1168091168091168,-0.021546863880500224
ZB,flow_filtered_trend,0.0008527815847235942,2537.0,ZB_flow_filtered_trend,702,0.004745355574514498,0.018,-0.013254644425485499,-0.18881259865363959,-2.8448241468128503,-15.05339443235661,0.05270655270655271,-0.013661592365250906
