variant,description,segment,roots,lookback_bars,entry_z,deadband,roll_pause_bars,cost_bps,common_bars,eval_bars,start,end,calendar_days,bars_per_year_sample,gross_log_return,cost_log_return,net_log_return,compounded_net_return,annualized_return_sample,mean_net_bps_per_bar,bar_tstat,annualized_sharpe_sample,hit_rate,max_drawdown_log,avg_turnover,p95_turnover,avg_gross_exposure
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",full,"GC,SI,HG,PL,ALI",126,2.0,0.0,3,1.5,152228,152228,2016-07-27 15:58:00+00:00,2026-06-21 23:50:00+00:00,3616.3277777777776,15375.065651312949,1.4752586252680935,3.733924793319651,-2.258666168051558,-0.8955102363681751,-0.20397591942796103,-0.14837389757807748,-6.1984137942791575,-1.969889132100959,0.4780329505741388,-2.384378425139417,0.16352334626654982,0.4709934753035415,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",recent_12m,"GC,SI,HG,PL,ALI",126,2.0,0.0,3,1.5,28752,28752,2025-06-23 00:10:00+00:00,2026-06-21 23:50:00+00:00,363.9861111111111,28851.83714274812,0.6112065112688306,0.7159331624267634,-0.10472665115793278,-0.09942934110899637,-0.09975677236230858,-0.03642412741998219,-0.5894198122634822,-0.5904422627868536,0.48939204229271005,-0.22284049419767377,0.16600193897856694,0.4956072133610974,1.0
daily_highest_oos_sharpe_roll_pause_3_no_PA,"Literal highest OOS Sharpe from daily scan: GC/SI/HG/PL/ALI, PA excluded, roll-pause 3 bars",post_2021,"GC,SI,HG,PL,ALI",126,2.0,0.0,3,1.5,147291,147291,2021-01-04 09:10:00+00:00,2026-06-21 23:50:00+00:00,1994.611111111111,26971.692602289502,1.717478314785637,3.637766137697462,-1.920287822911825,-0.8534352286403575,-0.29646667848138697,-0.1303737379006066,-6.549269475169236,-2.802585401871599,0.4780604381802011,-2.1074838235833777,0.16465211215428244,0.470256628957445,1.0
train_positive_highest_sharpe_roll_pause_1_core3,"Highest daily OOS Sharpe among variants with positive train CAGR: GC/SI/HG, roll-pause 1 bar",full,"GC,SI,HG",126,2.0,0.0,1,1.5,2931301,2931301,2016-06-22 01:18:00+00:00,2026-06-21 23:59:00+00:00,3651.945138888889,293174.6369486124,18.613968725250743,89.56036347863842,-70.94639475338766,-1.0,-0.9991713539091336,-0.24203039794749046,-165.98714169160155,-52.493730388068705,0.4391807596695119,-70.94750148669674,0.20368740359914914,0.6828829862707438,0.9999993177090991
train_positive_highest_sharpe_roll_pause_1_core3,"Highest daily OOS Sharpe among variants with positive train CAGR: GC/SI/HG, roll-pause 1 bar",recent_12m,"GC,SI,HG",126,2.0,0.0,1,1.5,321698,321698,2025-06-22 22:00:00+00:00,2026-06-21 23:59:00+00:00,364.0826388888889,322729.46290047857,2.2451849685969893,9.318648632406987,-7.0734636638099975,-0.9991527067182575,-0.9991717068063048,-0.2198790065157383,-34.89902128377687,-34.95492501565902,0.4607333586158447,-7.077506467363414,0.1931138030576708,0.6486259385511192,1.0
train_positive_highest_sharpe_roll_pause_1_core3,"Highest daily OOS Sharpe among variants with positive train CAGR: GC/SI/HG, roll-pause 1 bar",post_2021,"GC,SI,HG",126,2.0,0.0,1,1.5,1804016,1804016,2021-01-03 23:00:00+00:00,2026-06-21 23:59:00+00:00,1995.0409722222223,330277.34927471203,9.435446931691454,52.87076913165498,-43.43532219996353,-1.0,-0.9996480752001261,-0.24077016057487036,-131.06300188991145,-56.07887770202354,0.44073001569830866,-43.43626196880904,0.195381745068244,0.6422802675373962,1.0
selected_deadband_0p5_core4,Selected robust drawdown-control variant: GC/SI/HG/PL with 0.5 z-score deadband,full,"GC,SI,HG,PL",126,2.0,0.5,0,1.5,2469209,2469209,2016-06-22 03:11:00+00:00,2026-06-21 23:58:00+00:00,3651.8659722222224,246963.76978511937,27.816564675614977,97.20102412406372,-69.38445944844875,-1.0,-0.9990313920113122,-0.28099873055885,-150.1982114654859,-47.500967833833194,0.4359468963542576,-69.39186271133725,0.2624349852498344,0.9009936713325477,0.9881391166158879
selected_deadband_0p5_core4,Selected robust drawdown-control variant: GC/SI/HG/PL with 0.5 z-score deadband,recent_12m,"GC,SI,HG,PL",126,2.0,0.5,0,1.5,294478,294478,2025-06-22 22:00:00+00:00,2026-06-21 23:58:00+00:00,364.08194444444445,295422.75067807536,4.891024235155167,11.492754228697253,-6.601729993542086,-0.9986419833558378,-0.9986704434405017,-0.22418414936063424,-27.93828420234403,-27.983064418206585,0.45783725779175355,-6.612055659413354,0.26018365217316186,0.922178300105188,0.9857748286799014
selected_deadband_0p5_core4,Selected robust drawdown-control variant: GC/SI/HG/PL with 0.5 z-score deadband,post_2021,"GC,SI,HG,PL",126,2.0,0.5,0,1.5,1568841,1568841,2021-01-03 23:00:00+00:00,2026-06-21 23:58:00+00:00,1995.0402777777779,287221.85794076836,16.493729759060564,60.4330947453296,-43.93936498626904,-1.0,-0.9996790982204912,-0.2800753230331757,-120.42919023047274,-51.528920509270804,0.4367421555148036,-43.94681800321737,0.2568056917827858,0.8761939936611272,0.9886240861884665
baseline_all_six_1m,Baseline six-metal basket on 1-minute bars,full,"GC,SI,HG,PL,PA,ALI",126,2.0,0.0,0,1.5,101283,101283,2016-08-05 15:59:00+00:00,2026-06-19 16:58:00+00:00,3605.040972222222,10261.635314285033,1.3390286204046842,2.472723814616195,-1.1336951942115103,-0.6781582114886029,-0.10851082758686206,-0.11193341372308385,-2.833285970914398,-0.9018419250524298,0.4868043008204733,-1.2810712599827827,0.162760042956613,0.450750586761374,1.0
baseline_all_six_1m,Baseline six-metal basket on 1-minute bars,recent_12m,"GC,SI,HG,PL,PA,ALI",126,2.0,0.0,0,1.5,21808,21808,2025-06-23 00:10:00+00:00,2026-06-19 16:58:00+00:00,361.7,22022.040364943325,0.5424274675174863,0.5398165964879161,0.0026108710295701665,0.0026142823215050746,0.0026399747238752182,0.0011972079189151532,0.01461106196889479,0.014682588952025347,0.49738628026412324,-0.13832728923253215,0.1650209698238922,0.4740786687061507,1.0
baseline_all_six_1m,Baseline six-metal basket on 1-minute bars,post_2021,"GC,SI,HG,PL,PA,ALI",126,2.0,0.0,0,1.5,98443,98443,2021-01-04 10:09:00+00:00,2026-06-19 16:58:00+00:00,1992.2840277777777,18047.78096329276,1.5666814226791477,2.4187314278413607,-0.8520500051622131,-0.573460373371422,-0.14461898828706485,-0.08655262488569153,-2.803070753774761,-1.2001997883606117,0.4869010493381957,-1.0160785580234637,0.16379911406203662,0.4508137752287337,1.0
