root_a,root_b,observations,coint_tstat,coint_pvalue,hedge_beta_a_on_b,spread_adf_tstat,spread_adf_pvalue,half_life_bars
GC,SI,6204,-2.451040684180817,0.30107750775208875,0.4989290740566257,-2.4508952605992556,0.12788358185395282,7.219416884325995
GC,HG,6204,-1.2333374241847663,0.8489538685386329,1.1136569598730124,-1.2328285841472677,0.6593167093540353,20.43326774239077
GC,PL,6204,-2.702271343067424,0.19876282009498342,0.5501738591771602,-2.7020614022953295,0.07368223520506902,6.748534197658861
GC,PA,6204,-1.2350917821601377,0.848470899569738,0.517691545764447,-1.2345317682127788,0.6585674774457644,31.631262207657592
GC,ALI,6193,-1.903257114569835,0.5783539637499193,0.6372976512953894,-1.903731646833111,0.3303076678124825,28.50246193902494
SI,HG,6204,-1.3946033752002756,0.799357074318146,2.1935690041837,-1.3958530751400973,0.5842625837569952,24.9511773289153
SI,PL,6204,-3.652241445710054,0.02108131898448879,1.0870914383867394,-3.651996057676203,0.004841338955499163,8.697706651092995
SI,PA,6204,-2.115160682319444,0.4684450476925367,1.134375946320377,-2.1164124537644287,0.23796648763681444,40.80403294026147
SI,ALI,6193,-1.9918686803446004,0.5328022048699069,1.1468970208368985,-1.9941790568367352,0.2891311979395275,55.38166980449424
HG,PL,6204,-2.132154333250862,0.45957510678124147,0.15035999288017965,-2.1320308928755476,0.2318313502405016,9.250750321682888
HG,PA,6204,-2.1791159813523664,0.4351576445093938,0.1894563688506337,-2.1789486640910067,0.2139743934577656,8.549629803478581
HG,ALI,6193,-2.056878567832811,0.4989143533696086,0.1300902034199568,-2.0566887633749342,0.2622829014836262,11.548086002280533
PL,PA,6204,-0.9887594956908081,0.9049584201252046,0.9885894408082624,-0.9878033770363901,0.7576867053644598,47.25473542748325
PL,ALI,6193,-2.2825421527254335,0.38229568325970414,1.149258222563569,-2.282630652548541,0.1776311376585033,38.431166993805405
PA,ALI,6193,-1.373519665609326,0.8064457433095678,0.39178826916736825,-1.373719194800344,0.5948086213332603,128.38228099938615
