index,root,relative_bar,mean,median,count
0,ALI,-20,-0.0008538257561503654,-0.0004570609304392903,306
1,ALI,-19,-0.0006562264270456564,-0.00017179760532570754,306
2,ALI,-18,-0.0010768922150252453,-0.0001381504815149981,306
3,ALI,-17,-0.0007918669526798655,-0.0001699704830286919,306
4,ALI,-16,-0.0007435349533261355,-0.00013414715963477875,306
5,ALI,-15,-0.00047764826798145084,-0.00010211826180128725,306
6,ALI,-14,-0.0001340217075812345,-7.008936396779575e-05,306
7,ALI,-13,-0.0002266814121033861,-7.008936396779575e-05,306
8,ALI,-12,-0.00044350280143862984,-7.008936396779575e-05,306
9,ALI,-11,-0.00046345081955175975,-0.0,306
10,ALI,-10,0.00025131080300205795,-0.0,306
11,ALI,-9,0.00022647436898211838,-0.0,306
12,ALI,-8,-0.00035194042510950724,-0.0,306
13,ALI,-7,-0.00042460700752290555,-0.0,306
14,ALI,-6,-0.00023814543355475426,-0.0,306
15,ALI,-5,-0.0002739816649837033,-0.0,306
16,ALI,-4,-0.0004230500612932094,-0.0,306
17,ALI,-3,-0.0005124284205114196,-0.0,306
18,ALI,-2,-0.0008993231191336607,-0.0,306
19,ALI,-1,-0.0006678216684716232,-0.0,306
20,ALI,0,0.0,0.0,306
21,ALI,1,0.00027358597159266826,0.0,306
22,ALI,2,-6.794487992018997e-05,0.0,306
23,ALI,3,-0.00010099755889387046,0.0,306
24,ALI,4,-0.0004394231180482322,0.0,306
25,ALI,5,-0.00041615866217004083,0.0,306
26,ALI,6,-0.0003644446607119264,0.0,306
27,ALI,7,-0.00020113480837195296,0.0,306
28,ALI,8,0.00013585196717207356,0.0,306
29,ALI,9,-0.0001356018201937993,0.0,306
30,ALI,10,-0.0003017611229548241,0.0,306
31,ALI,11,-0.0005102603039089088,0.0,306
32,ALI,12,-6.337988442012386e-06,0.0,306
33,ALI,13,-0.0002792016006432927,0.0,306
34,ALI,14,7.330650652296401e-05,0.0,306
35,ALI,15,0.00019643634835145218,0.0,306
36,ALI,16,1.694211843903146e-05,0.0,306
37,ALI,17,1.968292251439946e-05,0.00017241243079713087,306
38,ALI,18,-6.865794513115772e-05,0.0002391889068187325,306
39,ALI,19,0.0004033420468295276,0.0004255480953272439,306
40,ALI,20,0.0005138792657352725,0.0005311004093346838,306
41,ALI,21,-3.259907689730396e-07,0.00041393907272180286,306
42,ALI,22,-0.0003068051517905671,0.00033625878792875596,306
43,ALI,23,-0.00042989591764531305,0.00044712120013112866,306
44,ALI,24,-0.0006099588714988833,0.00033625878792875596,306
45,ALI,25,-0.001213928479264321,0.0003095649184556848,306
46,ALI,26,-0.0008438973394080032,0.0005228680224114157,306
47,ALI,27,-0.0008835291791883952,0.0006832445351037109,306
48,ALI,28,-0.001132903689137464,0.0006635259548604111,306
49,ALI,29,-0.0016843621422928056,0.0007819442374596974,306
50,ALI,30,-0.0012800017162272156,0.0008802531052358731,306
51,ALI,31,-0.0017896471039238657,0.0008072709777362519,306
52,ALI,32,-0.0020144036276886585,0.0008072709777362519,306
53,ALI,33,-0.0015925849015155553,0.0007911322041147528,306
54,ALI,34,-0.0017406914479873253,0.0007819442374596974,305
55,ALI,35,-0.0020037007527635505,0.00033625878792875596,305
56,ALI,36,-0.0019726588760924403,0.00034370167033692667,305
57,ALI,37,-0.0019763945983851785,0.0007819442374596974,305
58,ALI,38,-0.0021631870440581504,0.00036623329470053534,305
59,ALI,39,-0.0020675647726309887,0.0007819442374596974,305
60,ALI,40,-0.0014748125946253147,0.0007819442374596974,305
61,ALI,41,-0.001424935182777281,0.0007515458284252929,305
62,ALI,42,-0.0017079908272438628,0.0007819442374596974,305
63,ALI,43,-0.0019157550597966098,0.0007819442374596974,305
64,ALI,44,-0.0018651196098225446,0.000683713960723864,305
65,ALI,45,-0.0017993489167208287,0.0007819442374596974,305
66,ALI,46,-0.0014335858816115668,0.0009527050737609954,305
67,ALI,47,-0.0016065780789532322,0.0009527050737609954,305
68,ALI,48,-0.0010230554055842857,0.0009527050737609954,305
69,ALI,49,-0.0008341303212713079,0.0009226916887410397,304
70,ALI,50,-0.0012381476020424387,0.000683713960723864,304
71,GC,-20,0.0001456225419984798,-1.1808745557395639e-05,306
72,GC,-19,0.0003496828149779414,0.0001923167210247101,306
73,GC,-18,0.00024546896621711753,0.00019249054955405853,306
74,GC,-17,0.0004528782528098091,0.0004692410077273834,306
75,GC,-16,0.0004276827507209328,0.00037212511477857646,306
76,GC,-15,0.00039270838368060196,0.00021981537051818378,306
77,GC,-14,0.0005510810677301978,0.00043480936214557175,306
78,GC,-13,0.000359148836878219,0.0003773155233233183,306
79,GC,-12,0.00037708966577647176,0.0002827106224252418,306
80,GC,-11,0.0003672234573042787,0.00029358393661560456,306
81,GC,-10,0.0004167941143765437,0.0002774100985556416,306
82,GC,-9,0.00032003274717127314,0.00027853975117153595,306
83,GC,-8,0.0003403499647381399,0.00023947590076467407,306
84,GC,-7,0.0005157678942910119,0.00027517258231313235,306
