,kmeans_3,dbscan,spectral_3
0,0,0,0
2,1,0,0
5,0,0,0
7,1,0,1
10,1,-1,0
12,1,-1,0
15,0,0,0
17,1,0,0
20,1,-1,0
22,2,-1,0
25,0,0,0
27,0,0,0
30,0,0,0
32,1,-1,1
35,1,0,1
37,1,0,1
40,0,0,0
42,1,-1,1
45,1,0,0
47,0,0,2
50,1,0,1
52,1,-1,1
55,2,-1,0
57,0,0,0
60,1,0,0
62,0,0,0
65,0,0,0
67,0,0,0
70,0,0,0
72,2,-1,0
74,0,0,0
77,1,0,0
79,0,0,0
82,0,0,0
84,0,0,0
87,0,-1,0
89,0,0,2
92,0,0,2
94,1,0,0
97,0,0,2
99,0,-1,0
102,0,0,2
104,1,0,0
107,0,0,0
109,0,0,2
112,0,0,0
114,0,0,2
117,0,0,2
119,2,-1,0
122,0,-1,0
124,0,0,0
127,2,-1,0
129,0,-1,0
132,2,-1,0
134,2,-1,0
137,1,0,0
139,0,0,0
141,0,0,0
144,2,-1,0
146,1,0,1
149,1,-1,1
151,0,0,2
154,1,0,1
156,2,-1,0
159,0,0,0
161,1,-1,1
164,0,-1,0
166,0,-1,0
169,0,0,0
171,0,0,0
174,0,0,0
176,1,-1,1
179,0,0,0
181,1,0,1
184,1,0,1
186,1,0,1
189,1,0,0
191,0,0,0
194,0,0,0
196,0,0,0
199,0,0,0
201,0,-1,0
204,0,0,0
206,0,0,0
209,0,-1,0
211,0,0,0
213,0,0,0
216,0,0,0
218,0,0,0
221,0,0,0
223,0,0,2
226,0,0,0
228,0,0,0
231,0,0,0
233,0,0,0
236,0,0,2
238,0,0,0
241,0,0,2
243,0,0,0
246,0,-1,0
248,0,0,0
251,0,0,0
253,0,0,2
256,0,0,0
258,0,0,0
261,0,0,2
263,0,-1,0
266,1,0,0
268,1,0,0
271,0,0,2
273,0,0,2
276,1,0,1
278,0,0,2
280,0,0,2
283,0,0,2
285,0,0,0
288,0,0,2
290,0,0,2
293,0,0,2
295,0,0,2
298,0,0,2
300,0,0,0
303,1,0,0
305,0,-1,0
308,2,-1,0
310,2,-1,0
313,1,0,0
315,0,0,0
318,0,0,0
320,0,0,0
323,0,0,0
325,0,0,0
328,1,0,0
330,2,-1,0
333,0,-1,0
335,0,0,0
338,2,-1,0
340,0,-1,0
343,2,-1,0
345,0,0,0
348,1,0,0
350,1,0,0
352,0,0,0
355,0,0,0
357,1,0,0
360,0,0,0
362,2,-1,0
365,2,-1,0
367,0,0,0
370,2,-1,0
372,1,0,0
375,0,0,0
377,0,0,0
380,0,0,0
382,1,0,0
385,0,0,0
387,2,-1,0
390,2,0,0
392,0,0,0
395,0,0,0
397,0,0,0
400,0,0,0
402,0,0,0
405,2,-1,0
407,2,-1,0
410,1,0,0
412,1,0,1
415,0,0,2
417,0,0,2
419,0,0,2
422,0,0,2
424,0,0,0
427,0,-1,0
429,0,0,2
432,0,0,2
434,0,0,2
437,0,0,2
439,0,0,2
442,0,0,2
444,0,0,0
447,2,-1,0
449,1,0,0
452,0,0,0
454,0,0,2
457,1,-1,0
459,2,-1,0
462,0,0,0
464,0,0,0
467,0,-1,0
469,0,0,2
472,0,0,2
474,0,0,0
477,0,0,2
479,1,0,0
482,0,-1,0
484,0,0,0
487,1,0,0
489,2,-1,0
491,2,-1,0
494,2,-1,0
496,1,0,0
499,0,0,0
501,0,0,0
504,2,-1,0
506,2,-1,0
509,0,0,2
511,0,0,2
514,0,0,2
516,0,0,2
519,1,0,1
521,1,-1,1
524,1,0,0
526,1,0,0
529,0,0,0
531,0,0,0
534,1,-1,1
536,1,0,0
539,0,0,0
541,1,0,0
544,1,-1,1
546,0,0,0
549,0,-1,0
551,2,0,0
554,0,0,0
556,0,-1,0
558,0,0,2
561,0,-1,0
563,0,0,0
566,2,-1,0
568,0,0,2
571,0,0,0
573,0,0,0
576,0,0,0
578,0,-1,0
581,0,0,0
583,0,0,2
586,0,0,2
588,0,0,2
591,0,-1,0
593,0,0,0
596,0,-1,0
598,0,0,2
601,0,0,2
603,0,0,2
606,0,0,0
608,0,0,2
611,0,0,0
613,0,0,2
616,0,0,0
618,1,0,0
621,0,0,2
623,0,0,2
626,0,0,0
628,0,0,0
630,0,0,0
633,0,0,0
635,0,0,0
638,1,-1,1
640,1,0,1
643,1,-1,1
645,1,0,0
648,0,0,0
650,0,0,0
653,0,0,0
655,0,0,0
658,0,0,0
660,0,0,2
663,2,0,0
665,0,0,0
668,0,0,0
670,0,0,0
673,2,-1,0
675,1,0,1
678,0,0,0
680,0,-1,0
683,0,0,0
685,1,0,1
688,0,0,0
690,1,-1,0
693,0,0,0
695,0,0,0
697,1,0,0
700,0,0,0
702,0,0,0
705,0,0,2
707,0,0,0
710,0,0,2
712,0,-1,0
715,0,0,2
717,0,0,2
720,0,0,2
722,0,0,2
725,0,0,2
727,0,0,2
730,0,0,2
732,0,0,0
735,0,0,2
737,0,0,0
740,0,0,2
742,0,0,2
745,1,0,0
747,0,0,2
750,0,0,0
752,0,0,2
755,0,0,0
757,0,0,0
760,0,0,2
762,0,-1,0
765,0,0,0
767,0,0,2
769,0,0,2
772,0,0,2
774,0,0,0
777,0,0,0
779,0,0,0
782,0,0,0
784,0,0,0
787,0,0,0
789,0,0,0
792,0,0,0
794,2,-1,0
797,0,0,0
799,0,0,0
802,2,0,0
804,1,-1,1
807,0,0,0
809,1,0,0
812,0,0,0
814,2,-1,0
817,1,0,0
819,2,-1,0
822,2,-1,0
824,0,0,0
827,1,0,1
829,0,0,0
832,0,0,0
834,2,-1,0
836,2,-1,0
839,2,-1,0
841,0,0,0
844,1,-1,1
846,0,0,0
849,0,0,0
851,0,0,0
854,0,0,0
856,0,0,0
859,1,0,0
861,0,0,0
864,0,0,0
866,0,0,0
869,2,-1,0
871,2,-1,0
874,0,0,0
876,0,0,0
879,0,0,0
881,2,-1,0
884,0,0,0
886,0,0,0
889,1,-1,1
891,1,-1,1
894,0,0,0
896,1,-1,1
899,0,0,0
901,1,0,0
904,0,0,0
906,0,0,0
908,0,0,0
911,0,0,0
913,0,0,0
916,0,0,2
918,1,-1,1
921,0,0,0
923,1,0,1
926,0,0,0
928,0,0,0
931,0,0,0
933,2,-1,0
936,0,0,0
938,1,0,0
941,0,0,0
943,1,0,1
946,1,0,0
948,1,0,0
951,0,0,0
953,0,0,0
956,2,-1,0
958,2,0,0
961,2,-1,0
963,2,-1,0
966,0,0,2
968,0,-1,0
971,0,0,0
973,0,0,0
976,0,0,0
978,0,0,0
980,0,0,0
983,0,0,2
985,0,0,0
988,0,0,2
990,0,0,0
993,0,0,0
995,0,0,0
998,0,0,0
1000,0,0,2
1003,0,0,0
1005,0,0,0
1008,2,-1,0
1010,2,-1,0
1013,2,-1,0
1015,0,0,0
1018,0,0,0
1020,2,-1,0
1023,2,-1,0
1025,2,-1,0
1028,1,0,0
1030,0,0,2
1033,0,0,2
1035,0,0,0
1038,1,0,0
1040,2,-1,0
1043,0,0,0
1045,0,0,0
1047,0,0,0
1050,1,0,0
1052,1,0,0
1055,0,0,0
1057,0,0,0
1060,0,0,0
1062,0,0,0
1065,1,-1,0
1067,0,-1,0
1070,0,0,0
1072,0,0,0
1075,2,0,0
1077,1,0,0
1080,0,0,0
1082,0,0,0
1085,0,-1,0
1087,0,0,0
1090,1,0,0
1092,1,0,0
1095,1,0,0
1097,0,0,0
1100,0,0,0
1102,1,-1,0
1105,1,0,0
1107,0,0,0
1110,0,0,0
1112,0,0,2
1115,0,0,0
1117,0,0,2
1119,0,0,0
1122,0,0,0
1124,0,0,0
1127,0,0,0
1129,1,0,0
1132,1,0,0
1134,0,0,0
1137,1,0,1
1139,0,0,0
1142,2,-1,0
1144,0,0,0
1147,2,-1,0
1149,0,0,0
1152,0,0,0
1154,0,0,0
1157,2,-1,0
1159,0,0,0
1162,0,0,0
1164,0,0,0
1167,0,0,0
1169,2,0,0
1172,0,0,0
1174,1,0,0
1177,0,0,0
1179,1,-1,1
1182,0,0,2
1184,1,0,1
1186,1,0,1
1189,0,0,0
1191,0,0,0
1194,0,0,0
1196,1,0,0
1199,0,0,0
1201,0,-1,0
1204,0,0,0
1206,0,0,0
1209,0,0,0
1211,2,-1,0
1214,0,-1,0
1216,1,0,1
1219,1,0,1
1221,1,0,0
1224,0,0,0
1226,1,-1,0
1229,0,0,0
1231,1,0,1
1234,0,0,0
1236,1,0,1
1239,0,0,0
1241,1,0,0
1244,1,-1,1
1246,0,0,2
1249,0,0,2
1251,0,0,2
1254,0,0,0
1256,1,0,0
1258,0,0,2
1261,0,0,2
1263,0,0,0
1266,0,-1,0
1268,0,0,0
1271,2,-1,0
1273,1,0,0
1276,0,0,0
1278,0,0,2
1281,0,0,2
1283,0,0,0
1286,1,-1,1
1288,0,0,0
1291,0,0,0
1293,0,0,0
1296,0,0,2
1298,0,0,2
1301,0,0,2
1303,0,0,2
1306,0,0,2
1308,0,0,2
1311,0,0,0
1313,0,0,2
1316,0,0,0
1318,1,-1,0
1321,0,0,0
1323,1,0,0
1325,1,0,0
1328,0,0,0
1330,0,0,0
1333,0,0,0
1335,1,0,0
1338,0,0,0
1340,0,0,0
1343,1,0,0
1345,2,-1,0
1348,0,0,0
1350,1,0,0
1353,0,0,0
1355,1,0,1
1358,0,0,0
1360,0,0,0
1363,0,0,0
1365,0,0,2
1368,0,0,2
1370,0,0,2
1373,0,0,0
1375,1,0,0
1378,1,0,0
1380,1,0,0
1383,1,0,1
1385,0,0,0
1388,0,0,0
1390,1,0,0
1393,1,-1,0
1395,0,0,0
1397,0,0,0
1400,0,0,0
1402,0,0,0
1405,0,0,0
1407,0,0,0
1410,0,0,2
1412,0,0,0
1415,0,0,0
1417,0,0,2
1420,0,0,0
1422,0,0,0
1425,0,0,0
1427,1,-1,1
1430,2,-1,0
1432,0,0,0
1435,0,0,0
1437,0,-1,0
1440,2,0,0
1442,2,-1,0
1445,0,0,0
1447,0,0,0
1450,0,0,0
1452,0,0,0
1455,2,-1,0
1457,0,0,0
1460,2,0,0
1462,1,0,1
1464,0,0,0
1467,1,0,1
1469,0,0,0
1472,2,-1,0
1474,1,0,0
1477,1,-1,1
1479,0,0,2
1482,1,0,1
1484,2,-1,0
1487,1,0,0
1489,0,-1,0
1492,0,0,0
1494,1,0,0
1497,1,0,0
1499,0,0,0
1502,0,0,0
1504,0,0,0
1507,1,0,1
1509,1,0,1
1512,0,0,0
1514,0,-1,0
1517,1,0,0
1519,1,0,0
1522,0,0,0
1524,0,0,0
1527,0,0,0
1529,0,0,0
1532,1,-1,1
1534,0,0,0
1536,1,0,0
1539,1,0,0
1541,0,0,0
1544,1,0,0
1546,1,0,1
1549,0,0,0
1551,2,0,0
1554,0,0,0
1556,1,0,0
1559,0,0,0
1561,0,0,0
1564,2,-1,0
1566,2,-1,0
1569,1,-1,0
1571,2,-1,0
1574,0,0,0
1576,2,-1,0
1579,1,0,0
1581,0,0,0
1584,2,-1,0
1586,2,-1,0
1589,2,-1,0
1591,2,-1,0
1594,2,-1,0
1596,0,0,2
1599,0,0,0
1601,0,0,0
1603,2,-1,0
1606,2,-1,0
1608,0,0,0
1611,1,-1,0
1613,0,0,0
1616,2,-1,0
1618,2,-1,0
1621,2,-1,0
1623,2,-1,0
1626,1,0,0
1628,1,0,0
1631,2,0,0
1633,1,0,1
1636,2,-1,0
1638,0,0,0
1641,0,0,0
1643,0,0,0
1646,0,0,0
1648,0,0,0
1651,0,0,0
1653,0,0,0
1656,0,0,0
1658,1,0,1
1661,1,0,0
1663,0,0,0
1666,0,0,0
1668,0,0,0
1671,2,-1,0
1673,0,0,0
1675,0,0,0
1678,2,-1,0
1680,0,0,0
1683,0,0,0
1685,0,0,0
1688,0,0,0
1690,0,0,0
1693,0,0,0
1695,0,0,0
1698,1,0,0
1700,2,-1,0
1703,0,0,0
1705,2,-1,0
1708,2,-1,0
1710,0,0,0
1713,2,0,0
1715,0,0,0
1718,0,0,0
1720,2,-1,0
1723,2,-1,0
1725,2,-1,0
1728,2,-1,0
1730,0,0,0
1733,2,-1,0
1735,2,-1,0
1738,0,0,0
1740,2,-1,0
1742,2,-1,0
1745,0,-1,0
1747,0,0,0
1750,0,0,0
1752,1,0,0
1755,2,-1,0
1757,2,-1,0
1760,2,-1,0
1762,2,-1,0
1765,1,0,1
1767,1,-1,1
1770,0,0,0
1772,0,0,0
1775,1,0,0
1777,0,0,0
1780,0,0,0
1782,2,-1,0
1785,0,0,0
1787,2,0,0
1790,0,0,0
1792,0,0,0
1795,0,0,0
1797,0,0,0
1800,0,0,2
1802,2,0,0
1805,0,0,0
1807,0,0,2
1810,0,0,0
1812,1,-1,1
1814,2,-1,0
1817,2,-1,0
1819,2,-1,0
1822,1,0,1
1824,0,0,0
1827,0,0,0
1829,0,0,0
1832,0,0,0
1834,0,0,0
1837,0,0,2
1839,0,0,0
1842,0,0,0
1844,0,0,0
1847,0,0,0
1849,0,-1,0
1852,1,-1,0
1854,1,-1,1
1857,2,-1,0
1859,0,0,0
1862,2,-1,0
1864,0,0,0
1867,0,0,2
1869,0,0,0
1872,0,0,0
1874,2,0,0
1877,0,-1,0
1879,0,0,0
1882,0,0,0
1884,2,-1,0
1886,0,-1,0
