,tsne1,tsne2
0,-16.317438,-3.7524912
2,-29.953634,20.812723
5,4.0151587,26.419863
7,-21.254126,35.000816
10,-4.711592,-34.396786
12,14.943085,-32.8276
15,-5.5027013,17.580473
17,-29.277748,20.81105
20,-30.771921,-1.0941763
22,-38.958305,-5.9798822
25,3.5884526,-0.52711976
27,-22.050026,-1.0205456
30,23.761387,0.6952482
32,-34.028946,28.595325
35,-21.97178,28.045317
37,-29.81013,24.25368
40,-18.096289,2.133914
42,-32.023518,40.740326
45,1.4374619,24.65813
47,48.52088,-1.5547855
50,-24.138136,24.766306
52,-33.105095,35.669983
55,-7.236464,-42.125423
57,19.873594,20.93565
60,5.691961,19.955757
62,-7.5432525,4.1717205
65,5.769928,11.160802
67,14.42591,9.165453
70,19.494043,0.41775227
72,-25.216908,-16.62737
74,25.948425,15.313395
77,-8.351458,19.1748
79,18.214794,12.019324
82,23.188253,-7.4449253
84,28.813019,-14.552462
87,29.511496,-24.421413
89,42.22127,-11.337166
92,53.92078,-6.7383704
94,2.6127315,13.038692
97,38.42529,-3.872959
99,16.690268,-36.528965
102,37.908676,4.74937
104,-21.818533,3.1977527
107,35.522926,11.349418
109,39.397095,-13.554281
112,34.40561,9.711285
114,35.79779,-9.705529
117,42.09365,-8.980499
119,-29.40031,-7.465127
122,19.115501,-24.911804
124,3.373302,6.7808223
127,-34.449688,-6.041583
129,-29.619797,-2.692424
132,-42.455845,-5.3847003
134,-40.27429,-4.8843756
137,-18.175194,15.777932
139,24.843456,12.510709
141,23.577284,6.8141637
144,-22.084225,-12.83511
146,-33.44609,14.676889
149,-28.349566,36.461544
151,43.740417,-2.9411912
154,-13.886578,36.36101
156,10.287787,-34.64723
159,24.200361,23.140543
161,-29.133339,38.5218
164,19.389528,-27.630934
166,17.078873,-27.69571
169,33.049633,12.648605
171,-0.033248,-33.09051
174,6.476908,6.593465
176,-35.18526,33.176
179,-9.076732,-9.314122
181,-16.127281,26.772018
184,-24.193947,28.177504
186,-11.154757,29.4038
189,-28.624245,3.7172947
191,3.8391817,-10.971156
194,23.277815,-13.005719
196,24.544645,-12.33399
199,7.6111536,-0.15103616
201,19.903399,-39.760967
204,23.920233,-12.691779
206,12.784567,-15.475941
209,17.02714,-27.2933
211,6.234903,-4.84407
213,27.415733,4.860898
216,4.5390916,21.059572
218,30.029476,-24.2646
221,23.310465,16.64181
223,39.097855,-14.977356
226,0.76726663,-30.366096
228,32.190205,-23.134443
231,-25.877161,-0.9332114
233,11.948686,-4.2951694
236,42.072113,-5.541812
238,33.500668,-2.2058837
241,38.087814,-3.573666
243,6.5805902,13.842327
246,10.468211,-30.339672
248,13.855052,-6.336701
251,26.339207,-17.800695
253,34.93256,-8.6295595
256,11.933245,-6.247072
258,12.57379,13.468041
261,46.460743,-14.099401
263,21.27033,-31.461988
266,3.5995924,30.142555
268,4.013913,16.173151
271,44.87844,-1.724986
273,45.35095,-5.8843822
276,-17.071087,30.392252
278,40.66177,-1.7684602
280,51.639675,-6.236835
283,42.1197,-8.56964
285,17.345245,-6.616625
288,53.986694,-2.6855412
290,51.672394,-4.114639
293,54.149082,-3.1450078
295,40.47719,-7.988891
298,49.766888,-7.9917455
300,24.122648,-21.579144
303,3.4546509,18.718153
305,29.22916,-25.972595
308,-9.847954,-25.567638
310,-22.147589,-8.778363
313,-12.652653,18.30415
315,22.615168,23.29853
318,23.24495,7.9155316
320,31.703304,-17.715166
323,4.2204885,-17.20671
325,9.933692,4.2669787
328,-34.610836,15.719992
330,-10.04855,-30.69057
333,32.594105,-24.759832
335,-0.88405275,-30.367796
338,12.24056,-38.83999
340,19.406916,-29.887375
343,-14.869704,-29.697481
345,14.313859,-7.9231787
348,-10.328931,22.142628
350,-5.2794514,22.083557
352,-7.386333,3.3164032
355,-0.7611526,19.579588
357,-26.049194,5.434401
360,6.1023197,28.44931
362,-9.998577,-39.08015
365,-22.850685,-15.006893
367,12.3050165,6.201471
370,-26.530724,-9.777006
372,-26.376755,16.374668
375,8.822665,18.138065
377,20.068762,-18.16756
380,8.602438,14.545057
382,-20.669224,2.8886364
385,13.947704,7.4154844
387,-9.325951,-40.41046
390,-29.439583,-7.3302083
392,-9.164575,2.2408357
395,28.027668,-25.082361
397,23.341528,-3.095319
400,-19.462093,-7.2128325
402,12.769294,3.4837985
405,8.687115,-30.866768
407,-19.309706,-38.178448
410,-13.047422,-10.198693
412,-27.62799,36.748043
415,43.05428,3.2699807
417,49.217873,-1.0856141
419,51.101063,-2.4655704
422,43.057533,-1.0210185
424,34.65468,-20.559954
427,31.503914,-25.652958
429,42.097256,-7.704301
432,54.455334,-3.4168682
434,51.84333,-4.6586657
437,52.911034,-5.18082
439,47.757626,-1.6540557
442,45.265144,-2.9236014
444,29.471273,1.7174957
447,-37.204483,-6.469128
449,-3.3532467,-30.703176
452,23.742104,19.339714
454,39.74611,7.001074
457,-10.050763,-36.040638
459,-11.251719,-42.083706
462,4.202496,5.6389894
464,12.657451,-16.443083
467,21.92862,-30.141947
469,46.693913,-13.92999
472,37.594864,-10.022136
474,25.553461,23.282413
477,51.10337,-8.939381
479,-15.914799,1.4201524
482,-27.117481,-2.4637759
484,4.3609633,6.4078493
487,-21.848003,13.863079
489,-38.315323,-6.4979587
491,-39.64647,-5.661226
494,-34.197163,-7.379168
496,-30.597696,-5.7871475
499,21.914265,-3.5842018
501,7.547676,14.077787
504,-38.217045,-7.7862473
506,-17.938887,-35.990967
509,42.495552,-2.5858715
511,16.196074,-12.688305
514,40.48322,-1.139321
516,49.582657,-3.739391
519,-10.874394,34.91307
521,-31.583725,33.339447
524,-20.163836,8.522776
526,-4.964886,29.30324
529,1.7393923,-17.071056
531,21.22115,22.056229
534,-38.791904,16.848791
536,-5.6064324,-14.519436
539,-3.24375,11.078541
541,4.6282125,21.866764
544,-36.895824,16.007488
546,14.348999,11.598069
549,-3.5052173,-35.454315
551,-30.986477,-6.744596
554,33.590214,-8.541182
556,9.079644,-32.607353
558,47.09753,-5.519239
561,17.631176,-25.37332
563,35.88185,-10.526909
566,-8.176982,-41.49596
568,50.86913,-10.4914255
571,33.691,-15.564941
573,37.83997,4.5399914
576,33.13069,-16.64714
578,33.556522,-24.960348
581,12.163559,-4.0138288
583,52.39912,-8.092987
586,51.176804,-5.038111
588,51.155518,-10.758279
591,21.206245,-32.39704
593,3.7185616,27.202856
596,22.131716,-32.031216
598,54.63249,-5.7032537
601,47.103973,0.20759964
603,47.6176,-0.7864282
606,9.187651,4.6013064
608,54.383774,-4.772031
611,16.15477,8.743106
613,41.743446,-3.5470848
616,10.484504,-7.235172
618,-1.9955138,25.36368
621,42.61287,-8.58311
623,39.805683,-1.9917678
626,39.785534,8.458529
628,-2.7181838,19.708403
630,36.896996,-13.928349
633,34.79649,-1.1290376
635,26.474905,-16.544243
638,-30.24319,38.3092
640,-24.71203,28.00067
643,-22.891449,28.381538
645,9.916616,25.663519
648,27.95615,-15.46499
650,10.376882,-19.05597
653,16.282444,20.83982
655,-27.385885,-3.024591
658,8.295178,-2.6169887
660,45.006607,-9.017488
663,-7.747609,-21.979748
665,12.887656,-14.77221
668,5.48219,12.170408
670,19.593985,-18.767075
673,-30.296412,-4.193848
675,-15.030195,30.464142
678,6.595561,14.45011
680,16.509405,-35.052845
683,7.9788594,15.107668
685,-6.3077,31.898594
688,2.5127237,9.635452
690,-36.427994,15.534064
693,30.351057,14.851669
695,-1.3247875,-14.04126
697,-9.249124,29.071709
700,3.1921372,0.9434813
702,5.8270974,-1.1376743
705,43.559296,-3.9198897
707,26.751257,-17.25
710,33.463478,-7.6663537
712,18.02001,-24.956472
715,53.468693,-7.638357
717,51.113976,-3.4845102
720,48.314068,-5.1572795
722,53.48011,-4.956856
725,52.997894,-7.6248045
727,35.461193,-3.2807345
730,40.63406,4.81076
732,25.717588,21.908611
735,35.038937,-18.99894
737,30.587595,-16.00828
740,43.417915,-6.8872237
742,35.417755,-1.9563347
745,-6.8060017,35.23875
747,40.93982,-7.6882615
750,33.525528,-3.509392
752,45.90033,-8.389553
755,37.91737,11.55386
757,12.814969,-6.520525
760,41.915813,1.5120869
762,6.798678,-14.286963
765,21.091364,-5.8906546
767,49.218605,-8.271841
769,52.19378,-9.443039
772,38.16372,2.7811449
774,23.067602,21.273613
777,3.2610817,-9.887825
779,-3.1709666,-27.744394
782,26.831318,5.181731
784,5.3143835,6.8966117
787,17.133503,3.8217304
789,9.3861475,14.441313
792,32.443024,-13.954513
794,-7.7855153,-32.83348
797,22.815884,-17.016665
799,4.8676744,5.695706
802,-30.612305,-9.803206
804,-32.878025,26.228508
807,17.407734,10.630624
809,-18.517317,11.260798
812,1.379694,-29.786674
814,10.120443,-37.029644
817,-14.823605,5.297709
819,-31.137777,-16.327574
822,-13.869113,-27.390167
824,1.4021127,-19.817537
827,-11.60865,32.02339
829,0.7859963,-14.083223
832,14.572526,-8.667101
834,-24.896687,-17.868418
836,-45.37869,-7.0939174
839,-33.228783,-7.24256
841,22.521885,16.6572
844,-34.317463,42.104084
846,39.074486,10.572776
849,2.173115,24.482353
851,-12.996185,-6.277938
854,24.013233,9.39327
856,6.837947,12.5081625
859,-24.41669,4.4931836
861,23.288677,20.448174
864,33.86953,10.700937
866,33.683117,-3.693022
869,-18.203756,-35.21103
871,-6.243088,-41.826992
874,36.878532,-13.170574
876,23.085796,-6.048497
879,14.174335,-6.531427
881,-10.218675,-37.270287
884,-2.525501,26.928827
886,25.784887,21.322487
889,-29.137495,32.23483
891,-27.125452,39.129894
894,20.905552,8.892974
896,-25.030642,27.886347
899,-0.3154385,-21.57217
901,-7.09088,-13.231507
