feature,root,horizon,spearman_ic,pvalue,observations
entropy,GC,1,0.0070716520146784975,0.5776286537161761,6203
entropy,GC,2,0.01237060302655506,0.33002662561109775,6202
entropy,GC,5,0.0026737172141954885,0.8333011379747443,6199
entropy,GC,10,0.02335110064817448,0.06611292739909005,6194
entropy,GC,20,0.0357716569746233,0.004902703116930022,6184
entropy,GC,50,-0.018419303685058726,0.14852077141341558,6154
entropy,SI,1,-0.01628429997314661,0.19971506119917007,6203
entropy,SI,2,-0.012343802317001754,0.33107552229176795,6202
entropy,SI,5,0.00012560233732797932,0.9921113273216948,6199
entropy,SI,10,0.020668876967616406,0.10383764667055947,6194
entropy,SI,20,0.039409580036029686,0.0019372691904975252,6184
entropy,SI,50,-0.02702143871241888,0.034029753001912966,6154
entropy,HG,1,-0.010550469627234623,0.4060858156407711,6203
entropy,HG,2,0.0031395468505556884,0.8047543681454374,6202
entropy,HG,5,0.001980990567408696,0.876080731141429,6199
entropy,HG,10,0.004113988252818179,0.7461538132506679,6194
entropy,HG,20,0.009242287975178976,0.4674296962750578,6184
entropy,HG,50,-0.009719492438247565,0.44586166175546965,6154
entropy,PL,1,-0.008177908163288382,0.5195975691361092,6203
entropy,PL,2,-0.020004352075520353,0.11520143638316752,6202
entropy,PL,5,-0.011143427178871701,0.3803704835250119,6199
entropy,PL,10,0.007558704696318075,0.5519949649894587,6194
entropy,PL,20,0.024727736998311947,0.051840704045345985,6184
entropy,PL,50,-0.028016199552170645,0.02796450977086757,6154
entropy,PA,1,-0.000840219609915769,0.9472491385251808,6203
entropy,PA,2,-0.01548526436653285,0.2227171173799583,6202
entropy,PA,5,0.002924052675235138,0.8179552948403906,6199
entropy,PA,10,0.006089637945968919,0.6318146973715439,6194
entropy,PA,20,0.010418393907605725,0.41270507609244383,6184
entropy,PA,50,-0.032397600898009485,0.011032758010425933,6154
entropy,ALI,1,-0.014945261167250815,0.2392337387247409,6203
entropy,ALI,2,-0.004527506445542796,0.7214783821207975,6202
entropy,ALI,5,-0.037014652969466086,0.0035601612755106257,6199
entropy,ALI,10,-0.03547765492803915,0.005230621604778197,6194
entropy,ALI,20,0.007130947402585884,0.5750292355935385,6184
entropy,ALI,50,0.00588394064287833,0.6444468945223321,6154
entropy_normalized,GC,1,0.0070716520146784975,0.5776286537161761,6203
