signal,root,horizon,mechanism,beta,tstat,correlation,sign_agreement,observations
GC_signed_notional_share,GC,1,mean_reversion,-3.084181484075063e-05,-0.07351707741109775,-0.000933592123247655,0.49443817507657584,6203
GC_signed_notional_share,GC,2,mean_reversion,-0.00012947029018147972,-0.30132171364529214,-0.003826761570031526,0.5049983876168977,6202
GC_signed_notional_share,GC,5,momentum,0.0004911296835149482,1.0740389562671775,0.013642339968966605,0.5058880464591063,6199
GC_signed_notional_share,GC,10,momentum,0.0003308512322140596,0.6535772115710882,0.008305512718856796,0.499354213755247,6194
GC_signed_notional_share,GC,20,mean_reversion,-0.000582265412520826,-0.9582968055070177,-0.012187181678356642,0.48124191461837,6184
GC_signed_notional_share,GC,50,momentum,0.00021018354398247781,0.25235197870755766,0.0032173351464371714,0.49658758531036723,6154
GC_signed_notional_share,SI,1,mean_reversion,-2.1846468920327793e-05,-0.06118683804269926,-0.0007770107260100228,0.48911816862808316,6203
GC_signed_notional_share,SI,2,momentum,6.735575288391207e-05,0.1642330191782651,0.002085756892392207,0.5,6202
GC_signed_notional_share,SI,5,momentum,0.0004141677747102494,0.7758081986298291,0.009854680024337434,0.4905629940312954,6199
GC_signed_notional_share,SI,10,momentum,0.0007617612947737881,1.1024054755434392,0.014008230288829186,0.499354213755247,6194
GC_signed_notional_share,SI,20,mean_reversion,-0.00015173117093110594,-0.16299636553028946,-0.0020730629364035355,0.4843143596377749,6184
GC_signed_notional_share,SI,50,momentum,0.0007779622123890299,0.552669730834662,0.0070460664560040775,0.4983750406239844,6154
GC_signed_notional_share,HG,1,momentum,0.0007061816046141137,1.1883535555226574,0.01508917022160344,0.48976301789456717,6203
GC_signed_notional_share,HG,2,momentum,0.00012323777562156898,0.20477859185256375,0.00260068192225846,0.4925830377297646,6202
GC_signed_notional_share,HG,5,momentum,0.0011553907969563137,1.8466863029893767,0.023452163605913044,0.5020164542668172,6199
GC_signed_notional_share,HG,10,momentum,0.001911408918539712,2.859266974844723,0.03631221323243934,0.501291572489506,6194
GC_signed_notional_share,HG,20,momentum,0.0004458970413737888,0.6163728228615817,0.007839089750885955,0.4943402328589909,6184
GC_signed_notional_share,HG,50,momentum,0.0010716864743834634,1.1888039135702668,0.015154868935193123,0.49415014624634385,6154
GC_signed_notional_share,PL,1,mean_reversion,-0.0005323989196252845,-1.379108375416555,-0.017510596402336192,0.4957278736095438,6203
GC_signed_notional_share,PL,2,momentum,0.0003813348163220487,0.9285349355304496,0.011791585628325468,0.49774266365688485,6202
GC_signed_notional_share,PL,5,momentum,4.281735870731636e-05,0.08799348401872856,0.0011177881317487616,0.49362800451685757,6199
GC_signed_notional_share,PL,10,momentum,0.0011775811387022999,1.9649708727549466,0.024963488778664493,0.5033903777849532,6194
GC_signed_notional_share,PL,20,momentum,0.00018836328508798906,0.23954670402340653,0.0030466578464969697,0.49078266494178524,6184
GC_signed_notional_share,PL,50,mean_reversion,-0.0007241767465932336,-0.6123554031297246,-0.007806963619663347,0.4982125446863828,6154
GC_signed_notional_share,PA,1,momentum,0.0011581164364660023,2.52073433228489,0.031994388658125726,0.4423665968079961,6203
GC_signed_notional_share,PA,2,momentum,0.0015989923259432368,3.1220446126054684,0.03961887558795497,0.47887778136085135,6202
GC_signed_notional_share,PA,5,momentum,0.002028703105562346,3.507980601022214,0.04451800092885331,0.49362800451685757,6199
GC_signed_notional_share,PA,10,momentum,0.0020878252842158546,3.0018697605446585,0.03812067546205474,0.49886987407168226,6194
GC_signed_notional_share,PA,20,momentum,0.001274863374735214,1.454593293547257,0.018497062873974852,0.4891655886157827,6184
GC_signed_notional_share,PA,50,momentum,0.0015616544490773057,1.2098542270287138,0.015423154993690848,0.48797530061748456,6154
GC_signed_notional_share,ALI,1,momentum,0.00022473647378385705,0.32722328985623395,0.004155368961102392,0.13138803804610671,6203
GC_signed_notional_share,ALI,2,momentum,0.0008530224667305077,1.0450969664490801,0.013271575799561687,0.21009351821992905,6202
GC_signed_notional_share,ALI,5,momentum,0.000984771843418244,0.9758000235333036,0.012394719802911229,0.33327956121955155,6199
GC_signed_notional_share,ALI,10,mean_reversion,-0.0004702854758169401,-0.40336026422149523,-0.005125921291934817,0.4236357765579593,6194
GC_signed_notional_share,ALI,20,mean_reversion,-0.002055691615679767,-1.6254591663119349,-0.020668967248256783,0.46523285899094435,6184
GC_signed_notional_share,ALI,50,mean_reversion,-0.002527837920203067,-1.7974809949855786,-0.022910899026690214,0.49041273968150795,6154
GC_abs_signed_notional_share,GC,1,momentum,0.00011102435233362922,0.17378320860222163,0.002206865615987402,0.48476543607931644,6203
GC_abs_signed_notional_share,GC,2,momentum,0.0005615246115137252,0.8581287415358385,0.010897598771456603,0.4817800709448565,6202
GC_abs_signed_notional_share,GC,5,mean_reversion,-2.6679943692983735e-05,-0.03830934352653894,-0.0004866468430905486,0.4762058396515567,6199
GC_abs_signed_notional_share,GC,10,momentum,0.0004949061355694422,0.6418851910378635,0.008156943118323884,0.46980949305779784,6194
GC_abs_signed_notional_share,GC,20,momentum,0.0010211698916146785,1.1033776982728414,0.01403191489369119,0.45908796895213455,6184
GC_abs_signed_notional_share,GC,50,momentum,0.001745836839535382,1.3764988632514468,0.017546917128878573,0.44832629184270395,6154
GC_abs_signed_notional_share,SI,1,mean_reversion,-9.890865453343657e-05,-0.18190828010113813,-0.002310045017003781,0.48637755924552634,6203
GC_abs_signed_notional_share,SI,2,momentum,0.0008797744267132145,1.4087255780661896,0.017887970153629015,0.48435988390841667,6202
GC_abs_signed_notional_share,SI,5,mean_reversion,-0.00036474594179245964,-0.4486325801558775,-0.005698925880815926,0.4799161155025004,6199
GC_abs_signed_notional_share,SI,10,momentum,0.0009776387859841999,0.9288796063458484,0.011803578648643566,0.46948659993542136,6194
