root,size_bucket,trades,notional,median_notional,mean_notional
ALI,small,2839,248197256.25,87400.0,87424.18325114477
ALI,medium,2271,220540162.5,92637.5,97111.47622192866
ALI,large,511,108652343.75,185612.5,212626.8957925636
ALI,very_large,57,42757018.75,473937.5,750123.1359649122
GC,small,978291,419111845680.0,431050.0,428412.24715345434
GC,medium,782506,427869044620.0,453570.0,546793.3084474752
GC,large,175976,219381663800.0,1272509.9999999998,1246656.724780652
GC,very_large,19563,75790321240.0,3044579.9999999995,3874166.6022593672
HG,small,239575,38190517925.0,159725.0,159409.44558071584
HG,medium,190623,47433842312.5,309350.0,248835.8818846624
HG,large,43018,27667511287.5,631275.0,643161.2647612627
HG,very_large,4780,9268709837.5,1574187.5,1939060.635460251
PA,small,31227,4024392500.0,129000.0,128875.41230345535
PA,medium,24675,4366440200.0,140250.0,176958.062816616
PA,large,5562,2317276600.0,406950.0,416626.5012585401
PA,very_large,621,612421350.0,835800.0,986185.7487922705
PL,small,114191,9946690015.0,87220.0,87105.72650208861
PL,medium,91361,9884836465.0,96540.0,108195.36197064393
PL,large,20537,4789909840.0,194120.0,233233.18108779276
PL,very_large,2282,2048548235.0,697060.0,897698.6130587204
SI,small,281046,94601314450.0,337375.0,336604.37953217624
SI,medium,224638,93942495125.0,377875.0,418195.0298925382
SI,large,50560,46806135000.0,766350.0,925754.2523734177
SI,very_large,5619,15664251675.0,2136000.0,2787729.4313934864
