feature,root,horizon,spearman_ic,pvalue,observations
rv_z_GC,GC,1,-0.1106060735632193,3.657701606231502e-306,113649
rv_z_GC,GC,2,-0.11424040715579531,0.0,113648
rv_z_GC,GC,5,-0.11751916969701018,0.0,113645
rv_z_GC,GC,10,-0.11744568898824265,0.0,113640
rv_z_GC,GC,20,-0.1133769193314014,0.0,113630
rv_z_GC,GC,50,-0.11165223575693331,0.0,113600
rv_z_GC,SI,1,0.042449864709965826,1.7151572046367497e-46,113649
rv_z_GC,SI,2,0.03743015804270879,1.5843225734261296e-36,113648
rv_z_GC,SI,5,0.03237991113395838,9.411542150154112e-28,113645
rv_z_GC,SI,10,0.024208678092142673,3.2957519369780093e-16,113640
rv_z_GC,SI,20,0.012721117520215425,1.8005059951278965e-05,113630
rv_z_GC,SI,50,-0.009697830624286466,0.0010805965910443628,113600
rv_z_GC,HG,1,-0.0012832159223126617,0.6653115877988042,113649
rv_z_GC,HG,2,-0.0026215326228391633,0.3768282076888944,113648
rv_z_GC,HG,5,-0.003245130650609987,0.27397000645710423,113645
rv_z_GC,HG,10,-0.003536605346851273,0.23318318309464575,113640
rv_z_GC,HG,20,-0.009248927144194296,0.0018223250207573696,113630
rv_z_GC,HG,50,-0.010333686215496489,0.0004958613860590051,113600
rv_z_GC,PL,1,0.017956489810747454,1.413896273537995e-09,113649
rv_z_GC,PL,2,0.016453452488040563,2.9051952416910436e-08,113648
rv_z_GC,PL,5,0.011081207197820095,0.00018720137621799427,113645
rv_z_GC,PL,10,0.007053686246517389,0.017414445724350715,113640
rv_z_GC,PL,20,-0.0012341476785245034,0.6773990047560196,113630
rv_z_GC,PL,50,-0.01790664290204501,1.581969774849026e-09,113600
rv_z_GC,PA,1,0.013338085866429565,6.902652495606291e-06,113649
rv_z_GC,PA,2,0.013557413787804973,4.863367252076916e-06,113648
rv_z_GC,PA,5,0.005897942507251753,0.04678217007697777,113645
rv_z_GC,PA,10,0.0026681842601683687,0.36841257568932917,113640
rv_z_GC,PA,20,-0.0030672643426009963,0.3011657542051349,113630
rv_z_GC,PA,50,-0.01622209719363315,4.554181467750512e-08,113600
rv_z_SI,GC,1,0.05596105613666808,1.662568943176372e-79,113649
rv_z_SI,GC,2,0.05638077729425198,1.124431929270585e-80,113648
rv_z_SI,GC,5,0.05681713475530277,6.711786087136696e-82,113645
rv_z_SI,GC,10,0.0554945998475486,3.291794065367746e-78,113640
rv_z_SI,GC,20,0.053353665954152425,2.033196169733525e-72,113630
rv_z_SI,GC,50,0.057652974237687754,3.050009519281069e-84,113600
rv_z_SI,SI,1,-0.0783805803680085,2.5189655896906035e-154,113649
rv_z_SI,SI,2,-0.07779504776762781,4.746237757797372e-152,113648
rv_z_SI,SI,5,-0.07162822908439292,3.829925688090062e-129,113645
rv_z_SI,SI,10,-0.06505651850556116,7.945464429502109e-107,113640
