feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
rv_z_GC,GC,1,-0.11412417285900095,0.0,240162,0.0
rv_z_GC,GC,2,-0.11299552233286338,0.0,240161,0.0
rv_z_GC,GC,5,-0.11417262195738509,0.0,240158,0.0
rv_z_GC,GC,10,-0.11158289530747588,0.0,240153,0.0
rv_z_GC,GC,20,-0.1104932663390279,0.0,240143,0.0
rv_z_GC,GC,50,-0.10148856151939717,0.0,240113,0.0
rv_z_GC,SI,1,0.0405397298878574,6.68547762440136e-88,240162,1.0399631860179893e-86
rv_z_GC,SI,2,0.03663302904444104,4.125420257536791e-72,240161,5.873479688696448e-71
rv_z_GC,SI,5,0.034556459504304304,2.293651821126073e-64,240158,3.010418015227971e-63
rv_z_GC,SI,10,0.029172103452982594,2.223697080847245e-46,240153,2.364437402419855e-45
rv_z_GC,SI,20,0.019484395954977564,1.3087128040911468e-21,240143,1.0370931655061918e-20
rv_z_GC,SI,50,0.005719547761480967,0.005068266010875291,240113,0.016630247848184548
rv_z_GC,HG,1,0.001882253579567318,0.35630988375434897,240162,0.5532153367415288
rv_z_GC,HG,2,0.0009953931222688693,0.6256899770486793,240161,0.790054771053221
rv_z_GC,HG,5,-0.0003957654887924108,0.8462169830641277,240158,0.919002060299631
rv_z_GC,HG,10,-0.0010851536769831045,0.5948774245928358,240153,0.7771384431946053
rv_z_GC,HG,20,-0.0035362843167878293,0.08310795681568064,240143,0.1902198466625933
rv_z_GC,HG,50,-0.005673336476881698,0.005435588060215092,240113,0.01756113065607953
rv_z_GC,PL,1,0.010893922818177146,9.3542137054932e-08,240162,5.004802237333942e-07
rv_z_GC,PL,2,0.009675760427330754,2.118160350835374e-06,240161,1.0404998214629906e-05
rv_z_GC,PL,5,0.008291192188422041,4.839964033402413e-05,240158,0.0002095654529926818
rv_z_GC,PL,10,0.005748069283288023,0.004849363621001343,240153,0.016037265518272156
rv_z_GC,PL,20,0.002445696324985217,0.2307247343683939,240143,0.4080184776198966
rv_z_GC,PL,50,-0.0028120311421112347,0.16822548437380158,240113,0.3348564143933491
rv_z_GC,PA,1,0.006800756515319714,0.0008596989193868564,240162,0.003327866784723315
rv_z_GC,PA,2,0.004989189673748377,0.014484573140827772,240161,0.042246671660747664
rv_z_GC,PA,5,0.0015259301053818942,0.454585266662456,240158,0.654120007537553
rv_z_GC,PA,10,-0.003014317758454086,0.13962889991027963,240153,0.2924894661462217
rv_z_GC,PA,20,-0.008831283207400021,1.5062109795068645e-05,240143,6.951742982339375e-05
