feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
rv_z_GC,GC,1,-0.005571005631794251,0.00640772196716308,239459,0.023922162010742168
rv_z_GC,GC,2,-0.006249873794381184,0.002237495434070234,239207,0.010214653068581504
rv_z_GC,GC,5,-0.007017862735144339,0.0006101314161574607,238468,0.0033279895426770586
rv_z_GC,GC,10,-0.007453025480537847,0.00028301093226705635,237263,0.001650897104891162
rv_z_GC,GC,20,-0.0083386699307535,5.310643533591129e-05,234901,0.0003686727742327726
rv_z_GC,GC,50,-0.007671145408812615,0.0002493609409265149,227995,0.0014750928899878344
rv_z_GC,SI,1,-0.002657070471658195,0.19352525699604964,239459,0.39338987933053376
rv_z_GC,SI,2,-0.0038971593790333207,0.05664360504115661,239207,0.1441837219229441
rv_z_GC,SI,5,-0.007641636971937888,0.0001901997223963718,238468,0.0011661880789266593
rv_z_GC,SI,10,-0.012866350149937433,3.67172203818006e-10,237263,5.056141823067623e-09
rv_z_GC,SI,20,-0.020644067404020992,1.427299159049472e-23,234901,7.493320585009728e-22
rv_z_GC,SI,50,-0.029629439546237316,1.8480937884622353e-45,227995,3.880996955770694e-43
rv_z_GC,HG,1,-0.002984973649319264,0.14410355594760188,239459,0.3111747737686005
rv_z_GC,HG,2,-0.0035719831249563204,0.08063555771170812,239207,0.19407985237201952
rv_z_GC,HG,5,-0.0059199039002868275,0.003841552145076806,238468,0.01514978310734515
rv_z_GC,HG,10,-0.008600746611293657,2.7963264814131665e-05,237263,0.00020972448610598747
rv_z_GC,HG,20,-0.012802399533567876,5.465960126875754e-10,234901,7.287946835834339e-09
rv_z_GC,HG,50,-0.01672812196451937,1.3714962131048413e-15,227995,3.388402408847255e-14
rv_z_GC,PL,1,0.00037519073666536317,0.8543296641205074,239459,0.9230989866903506
rv_z_GC,PL,2,-0.00044365895871771637,0.8282183848765032,239207,0.9158942506550651
rv_z_GC,PL,5,-0.003251745515175359,0.11230289444535334,238468,0.2556488654040564
rv_z_GC,PL,10,-0.006076290873642136,0.003078870386973884,237263,0.012931255625290312
rv_z_GC,PL,20,-0.00968494675070681,2.6785089798578723e-06,234901,2.2958648398781762e-05
rv_z_GC,PL,50,-0.014812491960766144,1.5146692442148161e-12,227995,2.8273825892009902e-11
rv_z_GC,PA,1,-0.001640465709111657,0.4221187662994675,239459,0.6198946917684487
rv_z_GC,PA,2,-0.00318714473679283,0.11904613345283811,239207,0.2680931691699303
rv_z_GC,PA,5,-0.008189569046335306,6.353721266510957e-05,238468,0.0004304133761184842
rv_z_GC,PA,10,-0.013493278840628193,4.9379935480599383e-11,237263,7.681323296982126e-10
rv_z_GC,PA,20,-0.020607453617054322,1.70743706555412e-23,234901,7.96803963925256e-22
rv_z_GC,PA,50,-0.030974485864950923,1.6153236663028903e-49,227995,6.784359398472139e-47
rv_z_SI,GC,1,0.0011190751744295515,0.5839585590667264,239459,0.7605041699473647
rv_z_SI,GC,2,0.0012052512672522668,0.5555453757588331,239207,0.7383830943630061
rv_z_SI,GC,5,0.002283850802267599,0.26473357803467973,238468,0.4632837615606895
rv_z_SI,GC,10,0.0023686807999152475,0.24859379329511724,237263,0.453953883408475
rv_z_SI,GC,20,0.0022573151504120563,0.2739377992724549,234901,0.47711125001807186
