root_a,root_b,observations,test_observations,coint_tstat,coint_pvalue,hedge_beta_a_on_b,spread_adf_tstat,spread_adf_pvalue,half_life_bars
GC,SI,115704,20000,-1.8129507210445328,0.6234103913356045,0.3719327216777324,-1.8128772569983405,0.3740874937929384,1702.6460023262773
GC,HG,115704,20000,-1.510283547858526,0.7572276760257622,0.9123961917111634,-1.5102276210101155,0.5284459504362946,2225.2447501639676
GC,PL,115704,20000,-2.301881616737395,0.3726142497090461,0.5747736672114199,-2.3018239071967184,0.1713803999200702,1164.0083316719708
GC,PA,115704,20000,-1.9455321842108406,0.5567487095646939,0.6250559263883694,-1.945464412738333,0.31098453685262284,1478.8665504251142
GC,ALI,115702,20000,-1.4731869507740643,0.7713294847199272,0.891914746413454,-1.473099530334266,0.5467741796694013,2267.889135447599
SI,HG,115704,20000,-1.9658720660695859,0.546266166990447,2.6697220243816777,-1.9658175936335291,0.30175900584575677,1375.4396884945481
SI,PL,115704,20000,-3.1962580982583377,0.07055580312562974,1.5639352181268074,-3.196129329407539,0.020209824900893982,502.13226359402415
SI,PA,115704,20000,-1.3738249907661588,0.8063443936264312,1.5764044420681738,-1.373721591953408,0.5948074844813019,2143.772248167673
SI,ALI,115702,20000,-1.6688395538187248,0.6909802029278869,2.4327201187665866,-1.668770560252942,0.4472703660923095,1927.8586047003616
HG,PL,115704,20000,-1.7140059044592393,0.6704756285358888,0.3544412130974079,-1.713872978348881,0.42397924810441695,1212.5072057086213
HG,PA,115704,20000,-1.1868936232663927,0.8612995073461792,0.31281881788762494,-1.1867545804755428,0.6792674466895365,2081.222136848004
HG,ALI,115702,20000,-2.9974347340471144,0.11081651520779351,0.7473066507724685,-2.9973597049110805,0.03514170738662891,605.1848079051605
PL,PA,115704,20000,-1.9695534683835032,0.5443637194833151,1.066573116376906,-1.9694808161562125,0.30011288815758763,1276.362217730228
PL,ALI,115702,20000,-1.643338542495804,0.7022554816909004,1.2888433444211747,-1.6432581552610073,0.4605588237899752,1822.711053069953
PA,ALI,115702,20000,-1.715822838006013,0.6696370598600597,0.6132543178188261,-1.7157649331173452,0.42300875959310924,1969.5977967138726
