index,root,relative_bar,mean,median,count
0,ALI,-20,-0.00015440364478161935,-0.0,5761
1,ALI,-19,-0.00015502690773845195,-0.0,5761
2,ALI,-18,-0.00015515406200927782,-0.0,5761
3,ALI,-17,-0.00014611657886258616,-0.0,5761
4,ALI,-16,-0.00012879413998661228,-0.0,5761
5,ALI,-15,-0.0001160127456912515,-0.0,5761
6,ALI,-14,-9.911942324061493e-05,-0.0,5761
7,ALI,-13,-9.558856955089602e-05,-0.0,5761
8,ALI,-12,-9.153871704348816e-05,-0.0,5761
9,ALI,-11,-8.779511799418443e-05,-0.0,5761
10,ALI,-10,-8.285177115331584e-05,-0.0,5761
11,ALI,-9,-8.503971312577293e-05,-0.0,5761
12,ALI,-8,-6.343465581798588e-05,-0.0,5761
13,ALI,-7,-4.493496312891895e-05,-0.0,5761
14,ALI,-6,-5.192202483352973e-05,-0.0,5761
15,ALI,-5,-4.126134366526909e-05,-0.0,5761
16,ALI,-4,-2.8426967356978533e-05,-0.0,5761
17,ALI,-3,-2.794796308791519e-05,-0.0,5761
18,ALI,-2,-2.371092797992374e-05,-0.0,5761
19,ALI,-1,-1.6246982691297384e-05,-0.0,5761
20,ALI,0,0.0,0.0,5761
21,ALI,1,-1.2215416797588646e-06,0.0,5761
22,ALI,2,-8.729352907964512e-06,0.0,5761
23,ALI,3,-1.1377502123610804e-05,0.0,5761
24,ALI,4,-2.0358301953827126e-05,0.0,5761
25,ALI,5,-2.5238250747074452e-05,0.0,5761
26,ALI,6,-2.8566034832724132e-05,0.0,5761
27,ALI,7,-2.5844177752201154e-05,0.0,5761
28,ALI,8,-2.2156200695859118e-05,0.0,5761
29,ALI,9,-2.9240454532481512e-05,0.0,5761
30,ALI,10,-2.5997182871000788e-05,0.0,5761
31,ALI,11,-3.195289330682818e-05,0.0,5761
32,ALI,12,-3.3564016758792934e-05,0.0,5761
33,ALI,13,-2.007769629225469e-05,0.0,5761
34,ALI,14,-2.6827338517987932e-05,0.0,5761
35,ALI,15,-1.8246567237112307e-05,0.0,5761
36,ALI,16,-1.4492217579591774e-05,0.0,5761
37,ALI,17,-1.2943333587101604e-05,0.0,5761
38,ALI,18,-6.92141506896218e-06,0.0,5761
39,ALI,19,-8.978229242980645e-06,0.0,5761
40,ALI,20,-2.455965571585984e-05,0.0,5761
