,kmeans_3,dbscan,spectral_3
0,0,0,0
46,0,0,2
93,1,-1,0
139,1,-1,0
185,0,0,0
231,1,-1,0
278,1,0,0
324,0,0,2
370,0,0,0
417,0,0,2
463,1,-1,0
509,0,0,0
556,0,0,0
602,2,0,0
648,1,-1,0
694,0,0,0
741,0,-1,0
787,0,0,0
833,0,0,0
880,1,-1,0
926,0,0,0
972,2,0,0
1019,1,-1,0
1065,0,0,2
1111,1,-1,0
1157,1,-1,0
1204,1,-1,0
1250,0,0,2
1296,0,0,0
1343,1,-1,0
1389,0,0,2
1435,0,0,0
1482,1,-1,0
1528,1,-1,0
1574,0,0,0
1620,0,0,2
1667,1,-1,0
1713,1,-1,0
1759,1,-1,0
1806,0,0,2
1852,0,-1,0
1898,0,0,0
1945,0,0,0
1991,0,0,0
2037,0,0,0
2083,0,0,0
2130,1,-1,0
2176,1,-1,0
2222,1,-1,0
2269,1,0,0
2315,0,0,2
2361,2,0,0
2408,1,-1,0
2454,0,0,2
2500,0,0,0
2546,1,-1,0
2593,0,0,0
2639,0,0,0
2685,0,0,0
2732,2,0,0
2778,0,-1,0
2824,0,0,2
2871,0,0,2
2917,0,0,0
2963,0,-1,0
3009,0,-1,0
3056,0,0,0
3102,0,0,0
3148,0,0,0
3195,1,-1,0
3241,1,-1,0
3287,0,0,0
3334,1,-1,0
3380,0,0,0
3426,1,-1,0
3472,1,-1,0
3519,2,0,0
3565,0,0,0
3611,0,0,0
3658,1,0,0
3704,1,-1,0
3750,1,-1,0
3797,0,0,2
3843,0,0,0
3889,1,-1,0
3935,1,-1,0
3982,0,0,0
4028,2,0,0
4074,0,0,0
4121,1,-1,0
4167,0,0,0
4213,0,0,0
4260,0,0,0
4306,1,-1,0
4352,0,0,0
4398,0,0,0
4445,0,0,2
4491,0,0,2
4537,1,-1,0
4584,0,0,0
4630,1,-1,0
4676,1,-1,0
4723,0,0,0
4769,0,0,0
4815,1,-1,0
4861,0,0,0
4908,0,0,2
4954,0,0,0
5000,0,0,0
5047,0,0,0
5093,0,0,2
5139,0,0,0
5186,0,0,2
5232,0,0,0
5278,1,-1,0
5324,1,-1,0
5371,1,-1,0
5417,1,-1,0
5463,1,-1,0
5510,1,-1,0
5556,0,0,2
5602,0,0,0
5649,0,-1,0
5695,0,0,0
5741,0,0,2
5787,0,0,0
5834,0,0,2
5880,0,0,0
5926,0,0,2
5973,2,0,0
6019,0,0,2
6065,0,0,2
6112,0,0,0
6158,2,0,0
6204,0,0,0
6250,0,0,0
6297,1,0,0
6343,0,0,0
6389,0,0,0
6436,0,0,2
6482,0,0,0
6528,0,0,0
6575,0,0,2
6621,1,-1,0
6667,0,0,0
6713,0,0,0
6760,0,0,0
6806,0,0,0
6852,0,0,0
6899,0,0,0
6945,1,-1,0
6991,0,0,0
7038,2,0,0
7084,2,0,1
7130,0,0,0
7176,0,0,0
7223,0,0,0
7269,1,0,0
7315,0,0,0
7362,0,0,0
7408,1,-1,0
7454,1,-1,0
7501,0,0,0
7547,0,-1,0
7593,0,0,2
7639,0,0,0
7686,0,0,0
7732,0,0,0
7778,0,0,0
7825,0,0,0
7871,0,0,0
7917,0,0,0
7964,0,0,2
8010,0,0,0
8056,1,-1,0
8102,0,0,0
8149,1,0,0
8195,1,-1,0
8241,1,-1,0
8288,1,-1,0
8334,2,-1,1
8380,0,0,0
8427,1,-1,0
8473,1,-1,0
8519,0,0,0
8565,0,0,0
8612,1,-1,0
8658,0,0,2
8704,0,0,0
8751,0,0,0
8797,0,0,0
8843,0,-1,0
8890,0,0,0
8936,0,0,0
8982,0,0,0
9028,1,-1,0
9075,0,0,0
9121,1,-1,0
9167,0,0,2
9214,0,0,0
9260,0,0,0
9306,0,0,2
9353,0,0,0
9399,0,0,0
9445,0,0,2
9491,1,-1,0
9538,0,0,0
9584,0,0,0
9630,0,0,2
9677,0,0,0
9723,0,0,2
9769,0,0,0
9816,0,-1,0
9862,0,0,0
9908,0,0,0
9954,0,0,0
10001,0,0,0
10047,0,0,2
10093,0,0,2
10140,0,0,2
10186,0,0,2
10232,0,0,2
10279,0,-1,0
10325,0,0,0
10371,0,0,0
10417,0,0,0
10464,0,0,0
10510,0,0,2
10556,0,0,2
10603,0,0,2
10649,0,0,2
10695,0,0,2
10742,0,0,2
10788,0,0,0
10834,0,0,2
10880,0,0,2
10927,0,0,0
10973,0,0,0
11019,0,0,2
11066,0,0,0
11112,0,0,2
11158,0,0,0
11205,2,0,1
11251,0,0,0
11297,0,0,0
11343,0,0,0
11390,0,0,2
11436,0,0,2
11482,0,0,2
11529,0,0,2
11575,1,-1,0
11621,0,0,0
11668,0,0,0
11714,0,0,2
11760,0,0,2
11806,0,0,0
11853,0,0,0
11899,0,0,2
11945,0,0,2
11992,0,0,2
12038,0,0,0
12084,0,0,0
12131,0,0,2
12177,2,0,0
12223,0,0,0
12269,0,0,0
12316,2,0,0
12362,0,0,0
12408,0,0,2
12455,0,0,2
12501,2,0,0
12547,1,-1,0
12594,0,0,0
12640,0,0,2
12686,0,0,2
12732,0,0,0
12779,0,-1,0
12825,0,0,0
12871,0,0,2
12918,1,-1,0
12964,0,0,0
13010,0,0,0
13057,0,0,0
13103,0,0,0
13149,2,0,1
13195,1,-1,0
13242,1,-1,0
13288,2,0,0
13334,0,0,2
13381,0,0,2
13427,0,0,0
13473,0,0,0
13520,0,0,0
13566,0,-1,0
13612,0,0,0
13658,0,0,2
13705,2,0,0
13751,0,0,0
13797,0,0,0
13844,0,0,0
13890,0,0,0
13936,1,-1,0
13983,1,-1,0
14029,0,0,0
