,tsne1,tsne2
0,9.645467,23.955887
46,31.290459,11.595128
93,-20.209509,22.053534
139,-24.276636,21.780237
185,25.690876,-16.594164
231,-22.852335,20.706564
278,-6.316744,26.045183
324,36.45318,-1.0921882
370,-4.1107554,28.092691
417,58.066254,4.5891414
463,-25.245874,27.442816
509,2.024014,15.549221
556,6.3827333,11.320973
602,-27.599043,-5.9978933
648,-24.589396,20.737192
694,25.838144,15.244936
741,-11.519918,18.37257
787,5.273881,9.349826
833,17.086166,-1.2959896
880,-32.36799,28.63218
926,28.291758,-18.633299
972,-16.381496,-2.9244192
1019,-12.988756,30.54265
1065,33.314846,-16.097614
1111,-33.328526,-1.1038775
1157,-23.904564,17.370998
1204,-28.496698,25.800589
1250,40.433075,7.243763
1296,12.286556,10.690772
1343,-28.61631,18.351618
1389,58.28503,4.707868
1435,12.765966,-1.4015405
1482,-24.909315,26.67665
1528,-27.585915,22.695583
1574,-8.989247,15.743798
1620,49.455505,3.7400985
1667,-27.729586,27.780556
1713,-34.187515,25.965185
1759,-18.889587,22.483732
1806,43.98384,0.39005864
1852,-24.121834,27.692612
1898,-2.4858043,-4.2164164
1945,25.563519,5.7407684
1991,30.0823,-4.276069
2037,1.1116405,14.985521
2083,11.66281,12.054815
2130,-31.834517,18.111002
2176,-26.32879,25.86138
2222,-23.011591,18.194881
2269,-16.746534,17.458202
2315,40.189224,9.005534
2361,-12.207947,-23.593794
2408,-21.241632,21.374134
2454,43.149715,5.1201663
2500,8.144884,14.740566
2546,-9.331962,39.547867
2593,-0.49100742,-6.648943
2639,28.116146,17.651628
2685,21.95965,29.808098
2732,-12.782123,-27.193129
2778,-16.478994,24.258326
2824,46.435436,9.564664
2871,41.6216,13.300829
2917,-10.352111,17.984203
2963,-19.27868,28.122236
3009,-19.964111,27.500042
3056,0.9166229,23.16872
3102,27.524956,14.529319
3148,-2.9033554,12.466905
3195,-10.605469,41.440838
3241,-10.000152,40.5618
3287,1.2089554,27.7724
3334,-10.051862,41.38183
3380,-3.942476,24.328367
3426,-6.8388352,37.043064
3472,-23.83515,17.304003
3519,-7.2002077,-6.6651053
3565,-11.448653,20.75211
3611,24.70069,17.954746
3658,-19.824266,19.924887
3704,-35.47568,21.245083
3750,-36.975365,18.168098
3797,47.87055,7.393147
3843,6.3855677,26.205366
3889,-28.903692,13.956206
3935,-25.064281,23.353506
3982,-6.6126957,14.393166
4028,-25.459415,-13.146749
4074,11.266861,1.8048207
4121,-33.19091,23.018381
4167,12.3215065,8.353003
4213,-14.298439,1.9932653
