root,size_bucket,trades,notional,median_notional,mean_notional
GC,large,1453541,2913707733930.0,1870480.0,2004558.3398954691
GC,medium,6309444,6031682969590.0,906220.0000000001,955976.9402169193
GC,small,24936534,10714979563000.0,432210.00000000006,429690.01076893846
GC,very_large,167123,993836942910.0,4477800.0,5946739.484750752
SI,large,545274,831338752625.0,1382225.0,1524625.6975850672
SI,medium,2233096,1614113167075.0,715200.0,722814.0514671111
SI,small,9965280,3361385742850.0,348850.0,337309.7136106562
SI,very_large,40596,230299327800.0,3828750.0,5672956.148389004
HG,large,311504,207503761500.0,626062.4999999999,666135.1427268991
HG,medium,1580185,490519233162.5,293425.0,310418.8643497439
HG,small,4606493,644189256075.0,142962.5,139843.75013160773
HG,very_large,61637,112509439800.0,1383250.0000000002,1825355.5461816767
PL,large,285397,90460368060.0,289695.0,316963.275927918
PL,medium,691277,122700858240.0,166150.0,177498.8293260155
PL,small,4120208,373010271705.0,84915.0,90531.90317212141
PL,very_large,31094,37228559590.0,949972.5,1197290.7824660707
PA,large,28516,18253986300.0,606000.0,640131.3753682143
PA,medium,191467,63045232300.0,308100.0,329274.66508588946
PA,small,802967,120784617900.0,147800.0,150422.8914762375
PA,very_large,5541,8524072950.0,1237200.0,1538363.643746616
ALI,large,12100,8015861643.75,657812.5,662467.9044421487
ALI,medium,19845,4850089325.0,202650.0,244398.5550516503
ALI,small,79922,6044634787.5,75825.0,75631.6757275844
ALI,very_large,696,846689706.25,1214515.625,1216508.1986350575
