index,root,relative_bar,mean,median,count
0,GC,-20,-6.859960001962634e-05,-0.0001325739176145646,12084
1,GC,-19,-6.380987876126586e-05,-0.00014115748449761156,12084
2,GC,-18,-5.803854727627965e-05,-0.00013812446117134058,12084
3,GC,-17,-6.703777271670474e-05,-0.00014969184952651204,12084
4,GC,-16,-5.430400977654351e-05,-0.00010384225071113917,12084
5,GC,-15,-5.068405275964055e-05,-0.00012282213042702494,12084
6,GC,-14,-4.490552718207865e-05,-0.00013460000387155446,12084
7,GC,-13,-4.060312194044264e-05,-0.0001179725248334762,12084
8,GC,-12,-3.255154159354589e-05,-8.820296005040973e-05,12084
9,GC,-11,-3.107453225840562e-05,-9.429087454826401e-05,12084
10,GC,-10,-3.2624381277918856e-05,-9.237662550498627e-05,12084
11,GC,-9,-1.8956384617777656e-05,-8.905657256974564e-05,12084
12,GC,-8,-1.0597556711942749e-05,-6.8385433767304e-05,12084
13,GC,-7,-6.463979557376244e-06,-6.820024929776736e-05,12084
14,GC,-6,-1.2638967594837247e-06,-5.8217383925196486e-05,12084
15,GC,-5,2.6952330410993463e-06,-3.944362360286391e-05,12084
16,GC,-4,8.949347988854782e-07,-3.802942281083688e-05,12084
17,GC,-3,2.7726162416187303e-06,-0.0,12084
18,GC,-2,4.585024026921646e-06,-0.0,12084
19,GC,-1,1.6270810470766038e-06,-0.0,12084
20,GC,0,0.0,0.0,12084
21,GC,1,-4.778072104578456e-06,0.0,12084
22,GC,2,1.750067973296272e-06,0.0,12084
23,GC,3,1.8562210224883314e-05,3.708305075367235e-05,12084
24,GC,4,1.232757876637369e-05,2.9280284506327803e-05,12084
25,GC,5,4.026089521753098e-06,2.4338801949852495e-05,12084
26,GC,6,7.365108019844394e-06,4.362082116271537e-05,12084
27,GC,7,1.897536471987092e-05,4.617350164481948e-05,12084
28,GC,8,1.591287977446534e-05,4.592317838847393e-05,12084
29,GC,9,1.6010472012667932e-05,5.2847247255183305e-05,12084
30,GC,10,2.2815056745933694e-05,6.265435647812012e-05,12084
31,GC,11,4.007392299918706e-05,7.363356259837417e-05,12084
32,GC,12,4.528370515968436e-05,8.069182346659431e-05,12084
33,GC,13,5.304295566494626e-05,9.671649834386287e-05,12084
34,GC,14,5.607821785745429e-05,0.00010038648907428893,12084
35,GC,15,6.023313122601951e-05,0.0001176684034955855,12084
36,GC,16,5.98836671762103e-05,0.00010875590156445014,12084
37,GC,17,6.34280468956528e-05,0.00011832360185159985,12084
38,GC,18,6.51100257161958e-05,0.00014183606520745684,12084
39,GC,19,6.399217508680666e-05,0.00014132596970739542,12084
40,GC,20,5.896336995552576e-05,0.00015286240490430814,12084
41,GC,21,6.755625336051531e-05,0.00013720728157018414,12084
42,GC,22,7.904658627211251e-05,0.00016870887196462903,12084
43,GC,23,8.905516584958853e-05,0.00017946238446420182,12084
44,GC,24,9.1401345793945e-05,0.00018564715693569767,12084
45,GC,25,9.001510147081325e-05,0.00017470251695250738,12084
46,GC,26,9.475804125896982e-05,0.000168948171691774,12084
47,GC,27,9.804975258729151e-05,0.0001929291585893722,12084
48,GC,28,0.00010231481549194826,0.00020970929822361484,12084
49,GC,29,0.00010342447438434952,0.00020829540387445888,12084
50,GC,30,0.00010425721591336035,0.00022553283640824873,12084
51,GC,31,0.00011002165149475004,0.0002390630081006151,12084
