feature,root,horizon,bucket,bucket_type,observations,mean_bps,median_bps,vol_bps,tstat,hit_rate,sharpe_per_event,baseline_mean_bps,excess_mean_bps
md_rolling,GC,1,1,decile,24069,0.047294240835701454,0.0,7.185118657854586,1.0211824382071204,0.467406207154431,0.00658224910231658,,
md_rolling,GC,1,2,decile,24087,0.05590657456940157,0.0,7.06975940900819,1.2272968097976464,0.4596670403122016,0.007907846835376913,,
md_rolling,GC,1,3,decile,24073,-0.02693947974079144,0.0,7.212734162702115,-0.5795012624104643,0.45731732646533463,-0.0037349885817362597,,
md_rolling,GC,1,4,decile,24082,0.0056204142973455195,0.0,7.263124365022609,0.12008565336836238,0.4518727680425214,0.0007738287291915349,,
md_rolling,GC,1,5,decile,24088,0.04127157337388489,0.0,7.288484174010025,0.8788488357068475,0.454417137163733,0.005662572955986517,,
md_rolling,GC,1,6,decile,24089,0.07896895658434441,0.0,7.011235354107082,1.7481199926845625,0.4580098800282287,0.011263201503867006,,
md_rolling,GC,1,7,decile,24104,0.05835686160324177,0.0,7.144657458897461,1.2681045918090526,0.45589943577829406,0.008167901951767916,,
md_rolling,GC,1,8,decile,24108,-0.045936151471203085,0.0,7.106092399637152,-1.0037009803501595,0.452256512361042,-0.006464333544769086,,
md_rolling,GC,1,9,decile,24103,0.01745737239217534,0.0,6.774334538485622,0.40008087084025284,0.4599012571049247,0.0025769870520858384,,
md_rolling,GC,1,10,decile,24140,-0.007586896875353561,0.0,6.935811625187918,-0.16995561779921878,0.46698425849212927,-0.001093872971953445,,
md_rolling,GC,2,1,decile,24028,0.037878743295758195,0.0,10.183679040881657,0.5765668521476756,0.4931746295988014,0.0037195539199238966,,
md_rolling,GC,2,2,decile,24056,0.055843728764763456,0.0,10.129172902711968,0.855090599632917,0.4904389757233123,0.005513157816647789,,
md_rolling,GC,2,3,decile,24034,0.02627705557716414,0.0,10.230922966395495,0.3981758477380023,0.49084630107347926,0.002568395409043133,,
md_rolling,GC,2,4,decile,24057,0.018557997150198575,0.0,10.228095868540779,0.28142135369401694,0.491125244211664,0.0018144136884049567,,
md_rolling,GC,2,5,decile,24057,0.06969060151596396,0.0,10.202990523745223,1.0594182837370034,0.49499106289229744,0.006830409315168368,,
md_rolling,GC,2,6,decile,24069,0.1396589391827719,0.0,9.960645646693612,2.175255483769524,0.49329012422618307,0.014021072944114924,,
md_rolling,GC,2,7,decile,24082,0.17183297187052862,0.0,9.882077705008244,2.698388720762301,0.4941450045677269,0.017388344536437266,,
md_rolling,GC,2,8,decile,24088,-0.09419597858495996,0.0,9.936647804927238,-1.471271548338727,0.48426602457655266,-0.00947965354455367,,
md_rolling,GC,2,9,decile,24089,-0.01989738892639172,0.0,9.657515901700597,-0.31977171262078335,0.49005770268587323,-0.0020603009230238984,,
md_rolling,GC,2,10,decile,24125,0.04337130222609691,0.0,9.636345295730552,0.6990749970715806,0.4933886010362694,0.004500804080288911,,
md_rolling,GC,5,1,decile,23951,-0.03195697293277812,0.29730493082524845,15.775438469412329,-0.31350611853166677,0.5042795707903637,-0.0020257422951977444,,
md_rolling,GC,5,2,decile,23973,0.10830636935309827,0.4248359071912233,15.75293448226676,1.0645197507444821,0.5071121678555041,0.006875313896278809,,
md_rolling,GC,5,3,decile,23927,0.2245353875224692,0.4867482782255905,15.90881652920738,2.1831875623113444,0.5081288920466419,0.014113896348621487,,
md_rolling,GC,5,4,decile,23940,-0.0021909232915410886,0.35841653243551264,16.21568547983834,-0.020905181053719486,0.503842940685046,-0.00013511135833666472,,
md_rolling,GC,5,5,decile,23983,0.12871028348320612,0.426921681278003,16.00930532757174,1.2450663996144946,0.5074427719634741,0.008039716955209613,,
md_rolling,GC,5,6,decile,23989,0.20499688184126247,0.42489005975809846,15.828508106548673,2.0059187800569553,0.5074825961899204,0.012951118353121975,,
md_rolling,GC,5,7,decile,24016,0.30485110443908625,0.49380286227140857,15.785454418036043,2.9928229236857833,0.5104513657561626,0.019312152590980937,,
md_rolling,GC,5,8,decile,24025,-0.003556152541403434,0.29351766244190003,15.722482263512376,-0.03505830915750032,0.502684703433923,-0.00022618263972580852,,
md_rolling,GC,5,9,decile,24038,-0.06046373469694053,0.32907791103653494,15.1898366997308,-0.6171504207977363,0.5036608702887095,-0.003980538822909933,,
md_rolling,GC,5,10,decile,24086,0.22133369700231095,0.4302984231463469,15.077512654899657,2.2782436978168685,0.5081375072656314,0.014679722184175077,,
md_rolling,GC,10,1,decile,23805,0.017733825078208722,0.574712643839348,22.02115020696122,0.12425003336459095,0.5086326402016383,0.0008053087559705573,,
md_rolling,GC,10,2,decile,23805,0.18188230907401842,0.7272991748408231,22.552878334332295,1.2442927623954625,0.5118672547784079,0.008064704929354342,,
md_rolling,GC,10,3,decile,23773,0.4608901499821384,0.9786651015897263,22.21904117320082,3.198262515486158,0.5149539393429521,0.020743026055419278,,
md_rolling,GC,10,4,decile,23788,0.2551977586018326,0.8367675706733024,22.706768994248755,1.7334067318819815,0.5139566167815706,0.011238840658768755,,
md_rolling,GC,10,5,decile,23867,0.0069964078233002705,0.5921890268822949,22.127123999915224,0.048848256076362444,0.5088197092219382,0.000316191468142316,,
md_rolling,GC,10,6,decile,23849,0.32211686493820674,0.8924454498782097,22.700691711826014,2.191338452694255,0.5153675206507611,0.014189737873511523,,
md_rolling,GC,10,7,decile,23896,0.4852964631366819,1.0390872005006102,22.155192027484937,3.386056592641568,0.5196267157683294,0.021904412407468214,,
md_rolling,GC,10,8,decile,23946,0.09770300214952338,0.6611901453368318,22.29665580666128,0.6780858284524905,0.511150087697319,0.004381957679964451,,
md_rolling,GC,10,9,decile,23953,-0.14466802252524988,0.23968457512069108,21.73972704819183,-1.029907961358747,0.5018995532918632,-0.006654546407347024,,
md_rolling,GC,10,10,decile,24011,0.43232898155112326,0.8771032210219687,21.18488802310336,3.1622288816217092,0.5161800841281079,0.02040742349356028,,
md_rolling,GC,20,1,decile,23559,0.1828942504903014,1.2047467034648207,31.754658183263707,0.8840382108527273,0.5174667855172121,0.005759603817328943,,
md_rolling,GC,20,2,decile,23532,0.2917766041398201,1.3905144186976415,31.82958748987126,1.406205768183333,0.5200152983171851,0.009166835864042178,,
md_rolling,GC,20,3,decile,23520,0.6786673667071572,1.0342601083301872,31.42525470975328,3.3120495022869623,0.513265306122449,0.021596240761622948,,
md_rolling,GC,20,4,decile,23541,0.6606185776567681,1.1964441693734784,31.831595137521983,3.1842329629393977,0.5163332058960962,0.020753549258298205,,
md_rolling,GC,20,5,decile,23622,0.3487378599259423,1.1796337704872428,31.4602246499148,1.7037097595034256,0.5144780289560579,0.011085040358314376,,
md_rolling,GC,20,6,decile,23626,0.38911615236357366,1.0361417580462273,31.540429096754657,1.8962987608921151,0.5141792939981377,0.012337059561552116,,
md_rolling,GC,20,7,decile,23667,0.4108044894323332,1.2918505777470557,31.539822454643755,2.0037684869970116,0.5169222968690582,0.01302494616204945,,
