,kmeans_3,dbscan,spectral_3
0,2,0,1
97,1,0,1
194,0,0,1
291,2,0,1
388,2,-1,1
485,1,0,1
581,2,0,1
678,1,0,2
775,1,0,1
872,0,0,1
969,1,0,1
1066,1,0,1
1163,1,0,1
1260,0,-1,1
1357,0,-1,1
1454,1,0,1
1550,2,0,1
1647,1,0,1
1744,1,0,2
1841,2,0,1
1938,2,0,1
2035,1,0,1
2132,2,0,1
2229,0,-1,1
2326,1,0,1
2423,2,0,1
2520,1,0,1
2616,1,0,1
2713,1,0,1
2810,2,0,1
2907,2,-1,1
3004,2,-1,1
3101,2,0,1
3198,1,0,1
3295,0,-1,1
3392,1,0,1
3489,1,0,1
3585,2,0,1
3682,2,0,1
3779,2,0,1
3876,2,-1,1
3973,2,-1,1
4070,2,0,1
4167,1,0,1
4264,2,0,1
4361,1,0,1
4458,1,0,1
4555,1,0,1
4651,1,0,1
4748,1,0,1
4845,1,0,2
4942,1,0,1
5039,2,-1,1
5136,2,0,1
5233,1,0,2
5330,2,-1,1
5427,2,0,1
5524,2,0,1
5620,0,-1,1
5717,0,-1,1
5814,1,0,2
5911,1,-1,1
6008,2,-1,1
6105,2,0,1
6202,2,-1,1
6299,2,0,1
6396,1,0,2
6493,1,0,1
6590,1,0,2
6686,1,0,1
6783,2,-1,1
6880,2,0,0
6977,2,0,1
7074,1,0,2
7171,1,0,1
7268,2,-1,1
7365,1,0,1
7462,1,0,1
7559,1,0,1
7655,1,0,1
7752,1,0,1
7849,2,0,1
7946,2,0,1
8043,2,0,0
8140,0,-1,1
8237,1,0,1
8334,1,0,1
8431,1,0,1
8528,0,-1,1
8625,0,-1,1
8721,2,0,1
8818,1,0,1
8915,1,0,2
9012,1,0,1
9109,2,-1,1
9206,1,0,1
9303,1,0,2
9400,1,0,1
9497,2,0,1
9594,1,0,1
9690,0,-1,1
9787,0,-1,1
9884,2,0,1
9981,0,-1,1
10078,1,0,1
10175,1,0,2
10272,1,0,1
10369,2,0,1
10466,2,-1,0
10563,2,0,1
10660,0,-1,1
10756,0,-1,1
10853,2,0,0
10950,2,0,1
11047,2,0,1
11144,2,0,1
11241,1,0,2
11338,1,0,2
11435,2,-1,1
11532,2,0,1
11629,1,0,1
11725,2,0,1
11822,1,0,1
11919,1,0,1
12016,1,0,1
12113,1,0,1
12210,2,0,1
12307,1,0,2
12404,2,0,1
12501,2,0,1
12598,1,0,2
12695,2,0,1
12791,2,0,0
12888,2,-1,1
12985,2,0,1
13082,2,0,1
13179,1,0,1
13276,2,0,1
13373,1,0,1
13470,2,0,1
13567,1,0,2
13664,1,0,1
13760,1,0,1
13857,0,-1,1
13954,1,0,1
14051,1,0,1
14148,2,0,1
14245,1,0,1
14342,2,0,1
14439,2,0,1
14536,2,0,1
14633,0,-1,1
14730,1,0,1
14826,2,0,0
14923,1,0,1
15020,0,-1,1
15117,1,0,1
15214,2,-1,1
15311,1,0,2
15408,2,0,1
15505,2,0,1
15602,1,0,1
15699,1,0,2
15795,1,0,1
15892,1,0,2
15989,1,0,2
16086,1,0,1
16183,1,0,2
16280,2,-1,1
16377,2,0,1
16474,2,-1,1
16571,2,0,1
16668,1,-1,1
16765,1,0,1
16861,0,-1,1
16958,1,0,2
17055,1,0,2
17152,1,0,1
17249,1,0,1
17346,2,0,1
17443,1,0,2
17540,1,0,1
17637,1,0,2
17734,1,0,1
17830,1,0,1
17927,2,-1,1
18024,1,0,1
18121,1,0,2
18218,1,-1,1
18315,1,0,1
18412,0,-1,1
18509,0,-1,1
18606,1,0,1
18703,1,0,1
18800,2,0,1
18896,1,0,1
18993,0,-1,1
19090,2,0,1
19187,2,-1,1
19284,1,0,1
19381,2,0,1
19478,2,-1,1
19575,2,0,1
