,tsne1,tsne2
0,-21.281788,-15.955218
97,-9.9046,-29.912554
194,-23.1924,-10.782106
291,-17.98124,-32.851555
388,-33.361866,-31.603058
485,-8.461738,-29.652622
581,-16.927776,-0.69392335
678,40.430546,-6.0533214
775,-7.0690722,-11.862558
872,-12.0752,-11.981318
969,13.962644,22.256897
1066,3.55687,-19.03428
1163,0.39470387,-2.5067573
1260,-46.88897,-13.403667
1357,-34.940666,-7.623861
1454,5.569304,-25.75672
1550,-33.935036,15.342606
1647,13.370512,13.939526
1744,40.93548,-9.759801
1841,-21.008028,-26.678402
1938,-21.040493,-33.758266
2035,15.429902,20.19404
2132,-18.487324,-30.786707
2229,-16.854393,-16.962149
2326,23.697048,-4.196261
2423,-15.643564,-27.923687
2520,14.794116,18.179829
2616,12.472318,13.360038
2713,-12.174244,-29.823751
2810,-19.473366,-29.17621
2907,-28.609613,-30.128887
3004,-27.986734,-28.868542
3101,-20.487484,-16.045134
3198,12.085347,14.291408
3295,-34.875866,-8.691037
3392,23.553152,-2.2143867
3489,7.3043275,-32.297184
3585,-17.915867,-26.61218
3682,-21.965942,-28.049168
3779,-10.153863,1.8813108
3876,-28.044813,-36.087685
3973,-24.911943,-32.385864
4070,-11.231364,5.7761526
4167,-6.111565,-25.728832
4264,-10.481114,24.748384
4361,-4.6345534,-22.57951
4458,-0.7250224,-25.951124
4555,3.9997475,-32.45556
4651,12.69045,5.374191
4748,-4.5948195,8.976995
4845,43.08503,-17.400116
4942,8.431503,-23.75758
5039,-31.046337,-37.093018
5136,-21.610388,-32.86827
5233,30.527596,-15.220096
5330,-29.704458,-36.176586
5427,-7.846325,26.230299
5524,-13.063695,-21.201208
5620,-24.172346,-10.392601
5717,-33.49054,-36.99989
5814,24.838673,12.629127
5911,11.115006,-4.015489
6008,-27.430094,-14.00841
6105,-26.083408,-30.28066
6202,-29.292528,-32.0601
6299,-12.260896,-2.0502446
6396,27.93863,1.1668639
6493,0.17140457,7.8812065
6590,26.195175,-1.2921667
6686,11.780981,-2.5463052
6783,-26.613144,-34.845047
6880,-28.78495,35.09839
6977,-27.236937,-28.076591
7074,54.477413,-16.329424
7171,9.161591,-29.239637
7268,-24.98898,-22.265282
7365,5.906156,-24.789185
7462,35.29475,17.501467
7559,21.44705,12.341514
7655,-4.998147,8.26663
7752,9.460778,-29.537306
7849,-18.408283,-29.594353
7946,-22.312454,-11.772235
8043,-27.31656,30.137402
8140,-44.054737,-9.141698
8237,17.211351,0.4843581
8334,22.424654,14.46034
8431,1.8003746,-28.02943
8528,-37.389565,-8.150572
8625,-27.979788,-13.414632
8721,-19.869865,-18.27937
8818,-1.725049,-18.68293
8915,23.84938,-3.772413
9012,-12.261081,-29.383366
9109,-27.789724,-33.30085
9206,12.650755,22.152985
9303,25.151806,-19.74084
9400,1.002673,26.949059
9497,-28.935661,-21.521635
9594,5.0241513,-11.8278265
9690,-25.683397,-14.527585
9787,-24.450094,-10.190101
9884,-18.19519,-20.739197
9981,-22.85841,-9.689036
10078,18.112106,-0.82292056
10175,32.208797,-10.899234
10272,2.2860653,-12.346435
10369,-10.370873,19.361336
10466,-35.646404,19.558968
10563,-10.160372,8.782675
10660,-46.977802,-10.879981
10756,-39.029057,-5.7841334
10853,-15.017465,32.795692
10950,-13.018837,-10.490174
11047,-16.797457,-14.716945
11144,-19.10449,-13.45363
11241,40.45355,-0.8781666
11338,46.420895,-6.345258
11435,-31.388971,-38.631947
11532,-17.84099,-27.891344
11629,-9.274656,-5.378695
11725,-12.408282,5.7964134
11822,-5.235823,6.8811483
11919,-10.610634,-3.629426
12016,-0.8101412,-22.496883
12113,20.757784,14.3577
12210,-21.97638,-28.77813
12307,25.965477,-6.5778365
12404,-7.565505,11.398739
12501,-18.950617,-12.979036
12598,55.348392,-18.279362
12695,-11.063386,3.6664188
12791,-23.56446,22.930763
12888,-23.22962,5.265159
12985,-29.534943,-22.525253
13082,-11.071527,-5.2734065
13179,7.943459,2.4249086
13276,-22.220715,-32.352276
13373,-6.079621,7.6378736
13470,-15.720852,5.2854934
13567,47.249676,-7.0329833
13664,-5.795528,8.190785
13760,16.182148,1.2875208
13857,-26.0369,-8.207313
13954,-10.676379,-26.408411
14051,-5.6901827,3.3358526
