feature,root,horizon,spearman_ic,pvalue,observations
entropy,GC,1,-0.0044767954854748595,0.02782745217420126,241433
entropy,GC,2,-0.006985383181527088,0.000602482250121767,241172
entropy,GC,5,-0.007448608269719561,0.0002599980390952409,240410
entropy,GC,10,-0.007927397105149251,0.00010578060593282638,239170
entropy,GC,20,-0.003951030814086649,0.054553376972059975,236742
entropy,GC,50,-0.006804853188890983,0.0011099204580609417,229656
entropy,SI,1,0.00427481070676754,0.03568817305055652,241433
entropy,SI,2,0.002026675969076985,0.3195993463341453,241172
entropy,SI,5,0.003705064357412272,0.06927072897396541,240410
entropy,SI,10,0.004798037675043422,0.0189515793225134,239170
entropy,SI,20,0.007355210337681849,0.0003451874023223125,236742
entropy,SI,50,0.004653060680994729,0.0257567371848467,229656
entropy,HG,1,0.0012347545740542816,0.544047350617325,241433
entropy,HG,2,-0.0006924603068272176,0.7338110037447274,241172
entropy,HG,5,-0.0027142988229834613,0.18323498804006197,240410
entropy,HG,10,-0.002054196936074592,0.3150890032071908,239170
entropy,HG,20,0.0002782739529038603,0.8922982703003048,236742
entropy,HG,50,0.004283167948959342,0.04011170611642037,229656
entropy,PL,1,0.00121078505374354,0.551892636454034,241433
entropy,PL,2,-0.0001688831410601124,0.9339017595979591,241172
entropy,PL,5,0.0008086670736934037,0.6917357729405146,240410
entropy,PL,10,-0.0006615910596862375,0.7462791123493906,239170
entropy,PL,20,-0.0025069589647498925,0.22254640808676307,236742
entropy,PL,50,-0.010040756729891208,1.4952427364584772e-06,229656
entropy,PA,1,0.00041840375551705964,0.8371150083554473,241433
entropy,PA,2,5.717979630479985e-05,0.9775980003589204,241172
entropy,PA,5,-4.97485988822254e-05,0.9805395957965634,240410
entropy,PA,10,0.0010422786594620672,0.6102448668609184,239170
entropy,PA,20,0.0013046308649491613,0.5255719455871082,236742
entropy,PA,50,-0.005238351470535078,0.01206118047636779,229656
entropy_normalized,GC,1,-0.0044767954854748595,0.02782745217420126,241433
entropy_normalized,GC,2,-0.006985383181527088,0.000602482250121767,241172
entropy_normalized,GC,5,-0.007448608269719561,0.0002599980390952409,240410
entropy_normalized,GC,10,-0.007927397105149251,0.00010578060593282638,239170
entropy_normalized,GC,20,-0.003951030814086649,0.054553376972059975,236742
entropy_normalized,GC,50,-0.006804853188890983,0.0011099204580609417,229656
entropy_normalized,SI,1,0.00427481070676754,0.03568817305055652,241433
entropy_normalized,SI,2,0.002026675969076985,0.3195993463341453,241172
entropy_normalized,SI,5,0.003705064357412272,0.06927072897396541,240410
entropy_normalized,SI,10,0.004798037675043422,0.0189515793225134,239170
entropy_normalized,SI,20,0.007355210337681849,0.0003451874023223125,236742
entropy_normalized,SI,50,0.004653060680994729,0.0257567371848467,229656
entropy_normalized,HG,1,0.0012347545740542816,0.544047350617325,241433
entropy_normalized,HG,2,-0.0006924603068272176,0.7338110037447274,241172
entropy_normalized,HG,5,-0.0027142988229834613,0.18323498804006197,240410
entropy_normalized,HG,10,-0.002054196936074592,0.3150890032071908,239170
entropy_normalized,HG,20,0.0002782739529038603,0.8922982703003048,236742
entropy_normalized,HG,50,0.004283167948959342,0.04011170611642037,229656
entropy_normalized,PL,1,0.00121078505374354,0.551892636454034,241433
entropy_normalized,PL,2,-0.0001688831410601124,0.9339017595979591,241172
entropy_normalized,PL,5,0.0008086670736934037,0.6917357729405146,240410
entropy_normalized,PL,10,-0.0006615910596862375,0.7462791123493906,239170
entropy_normalized,PL,20,-0.0025069589647498925,0.22254640808676307,236742
entropy_normalized,PL,50,-0.010040756729891208,1.4952427364584772e-06,229656
entropy_normalized,PA,1,0.00041840375551705964,0.8371150083554473,241433
entropy_normalized,PA,2,5.717979630479985e-05,0.9775980003589204,241172
entropy_normalized,PA,5,-4.97485988822254e-05,0.9805395957965634,240410
entropy_normalized,PA,10,0.0010422786594620672,0.6102448668609184,239170
entropy_normalized,PA,20,0.0013046308649491613,0.5255719455871082,236742
entropy_normalized,PA,50,-0.005238351470535078,0.01206118047636779,229656
hhi,GC,1,0.0038112865859080383,0.06110920382575977,241433
hhi,GC,2,0.006078478086880616,0.002834781523745732,241172
hhi,GC,5,0.006428746130351622,0.0016208147901532292,240410
hhi,GC,10,0.006090560248152889,0.0028956743431979783,239170
hhi,GC,20,0.0013411973634907428,0.5140324219798477,236742
hhi,GC,50,0.006050141099592806,0.003738944865286842,229656
hhi,SI,1,-0.006493239353117873,0.001420148973740106,241433
hhi,SI,2,-0.004688689994896903,0.021302375198584533,241172
hhi,SI,5,-0.006624327900701074,0.0011620530595787455,240410
hhi,SI,10,-0.008843688817899322,1.5248422112869645e-05,239170
hhi,SI,20,-0.012615568291870568,8.332504509705493e-10,236742
hhi,SI,50,-0.008026304549264621,0.00011984559063371766,229656
hhi,HG,1,-0.002431187673333669,0.23225121624129547,241433
hhi,HG,2,-0.0002958665323851594,0.8844762788113176,241172
hhi,HG,5,0.0026190681292939644,0.19908348636461282,240410
hhi,HG,10,0.0023299993121931096,0.2545021771415376,239170
hhi,HG,20,0.0005013672071544394,0.8072736804208198,236742
hhi,HG,50,-0.0014185330578037557,0.49663600975453104,229656
hhi,PL,1,-0.0021681040054106907,0.28673490852113737,241433
hhi,PL,2,-0.0005926910202181388,0.7710018169219341,241172
hhi,PL,5,-0.0012518425653438373,0.539350293267306,240410
hhi,PL,10,-0.0004151731521073639,0.8391042219430056,239170
hhi,PL,20,0.0006041435987715695,0.7687950158434853,236742
hhi,PL,50,0.01068549908729183,3.0412940222610916e-07,229656
hhi,PA,1,-0.0004982887120224067,0.8065826029880053,241433
hhi,PA,2,-4.999806455193653e-05,0.9804110656735341,241172
hhi,PA,5,0.00046371661015402244,0.8201386836563228,240410
hhi,PA,10,-0.0011262161832678056,0.5817889984278828,239170
hhi,PA,20,-0.0017993195008874899,0.38131523038609805,236742
hhi,PA,50,0.006347168526776138,0.00235221267498605,229656
effective_metals,GC,1,-0.0044767954854748595,0.02782745217420126,241433
effective_metals,GC,2,-0.006985383181527088,0.000602482250121767,241172
effective_metals,GC,5,-0.007448608269719561,0.0002599980390952409,240410
effective_metals,GC,10,-0.007927397105149251,0.00010578060593282638,239170
effective_metals,GC,20,-0.003951030814086649,0.054553376972059975,236742
effective_metals,GC,50,-0.006804853188890983,0.0011099204580609417,229656
effective_metals,SI,1,0.00427481070676754,0.03568817305055652,241433
effective_metals,SI,2,0.002026675969076985,0.3195993463341453,241172
effective_metals,SI,5,0.003705064357412272,0.06927072897396541,240410
effective_metals,SI,10,0.004798037675043422,0.0189515793225134,239170
effective_metals,SI,20,0.007355210337681849,0.0003451874023223125,236742
effective_metals,SI,50,0.004653060680994729,0.0257567371848467,229656
effective_metals,HG,1,0.0012347545740542816,0.544047350617325,241433
effective_metals,HG,2,-0.0006924603068272176,0.7338110037447274,241172
effective_metals,HG,5,-0.0027142988229834613,0.18323498804006197,240410
effective_metals,HG,10,-0.002054196936074592,0.3150890032071908,239170
effective_metals,HG,20,0.0002782739529038603,0.8922982703003048,236742
effective_metals,HG,50,0.004283167948959342,0.04011170611642037,229656
effective_metals,PL,1,0.00121078505374354,0.551892636454034,241433
effective_metals,PL,2,-0.0001688831410601124,0.9339017595979591,241172
effective_metals,PL,5,0.0008086670736934037,0.6917357729405146,240410
effective_metals,PL,10,-0.0006615910596862375,0.7462791123493906,239170
effective_metals,PL,20,-0.0025069589647498925,0.22254640808676307,236742
effective_metals,PL,50,-0.010040756729891208,1.4952427364584772e-06,229656
effective_metals,PA,1,0.00041840375551705964,0.8371150083554473,241433
effective_metals,PA,2,5.717979630479985e-05,0.9775980003589204,241172
effective_metals,PA,5,-4.97485988822254e-05,0.9805395957965634,240410
effective_metals,PA,10,0.0010422786594620672,0.6102448668609184,239170
effective_metals,PA,20,0.0013046308649491613,0.5255719455871082,236742
effective_metals,PA,50,-0.005238351470535078,0.01206118047636779,229656
gini,GC,1,0.0044559620114822006,0.02856243920005932,241433
gini,GC,2,0.007129484274797212,0.0004630573459726305,241172
gini,GC,5,0.007391119669390258,0.00029006304009753366,240410
gini,GC,10,0.00789068950196143,0.00011386014186250121,239170
gini,GC,20,0.0038534014429953715,0.06080462764959139,236742
gini,GC,50,0.0069623015563687945,0.0008483222670696755,229656
gini,SI,1,-0.004610003115673271,0.02350263582367263,241433
gini,SI,2,-0.0025392861495223957,0.21239004157477745,241172
gini,SI,5,-0.004647524070078467,0.02268151955106009,240410
gini,SI,10,-0.005830998844173043,0.004349160568032157,239170
gini,SI,20,-0.008394465562213073,4.417689749402212e-05,236742
gini,SI,50,-0.005279032109316643,0.01141130195390333,229656
gini,HG,1,-0.0016653709431163736,0.4131914995998046,241433
gini,HG,2,0.0003295105468327521,0.8714480940021739,241172
gini,HG,5,0.0025011826096404052,0.22006099147760003,240410
gini,HG,10,0.002049848595427055,0.31611448910146633,239170
gini,HG,20,-0.00010885206544492354,0.9577614403729484,236742
gini,HG,50,-0.004123112237147722,0.04816683816228013,229656
gini,PL,1,-0.0014051349067359647,0.48992916298642647,241433
gini,PL,2,0.00010349537386514042,0.9594645271817638,241172
gini,PL,5,-0.0010234260009654376,0.6158082869074049,240410
gini,PL,10,0.0003351089369225303,0.8698222999275814,239170
gini,PL,20,0.0021152009637545738,0.30339938913941383,236742
gini,PL,50,0.010331302220332461,7.378872096946551e-07,229656
gini,PA,1,-0.000496312145281403,0.807334714659932,241433
gini,PA,2,0.00016558465103343954,0.9351898660897776,241172
gini,PA,5,0.00044247735974143736,0.8282451982852451,240410
gini,PA,10,-0.0006791834304488662,0.7397737112893329,239170
gini,PA,20,-0.0007582257398576102,0.7121862479511355,236742
gini,PA,50,0.006226206631744968,0.0028472754770500655,229656
share_variance,GC,1,0.0038112865859080383,0.06110920382575977,241433
share_variance,GC,2,0.006078478086880616,0.002834781523745732,241172
share_variance,GC,5,0.006428746130351622,0.0016208147901532292,240410
share_variance,GC,10,0.006090560248152889,0.0028956743431979783,239170
share_variance,GC,20,0.0013411973634907428,0.5140324219798477,236742
share_variance,GC,50,0.006050141099592806,0.003738944865286842,229656
share_variance,SI,1,-0.006493239353117873,0.001420148973740106,241433
share_variance,SI,2,-0.004688689994896903,0.021302375198584533,241172
share_variance,SI,5,-0.006624327900701074,0.0011620530595787455,240410
share_variance,SI,10,-0.008843688817899322,1.5248422112869645e-05,239170
share_variance,SI,20,-0.012615568291870568,8.332504509705493e-10,236742
share_variance,SI,50,-0.008026304549264621,0.00011984559063371766,229656
share_variance,HG,1,-0.002431187673333669,0.23225121624129547,241433
share_variance,HG,2,-0.0002958665323851594,0.8844762788113176,241172
share_variance,HG,5,0.0026190681292939644,0.19908348636461282,240410
share_variance,HG,10,0.0023299993121931096,0.2545021771415376,239170
share_variance,HG,20,0.0005013672071544394,0.8072736804208198,236742
share_variance,HG,50,-0.0014185330578037557,0.49663600975453104,229656
share_variance,PL,1,-0.0021681040054106907,0.28673490852113737,241433
share_variance,PL,2,-0.0005926910202181388,0.7710018169219341,241172
share_variance,PL,5,-0.0012518425653438373,0.539350293267306,240410
share_variance,PL,10,-0.0004151731521073639,0.8391042219430056,239170
share_variance,PL,20,0.0006041435987715695,0.7687950158434853,236742
share_variance,PL,50,0.01068549908729183,3.0412940222610916e-07,229656
share_variance,PA,1,-0.0004982887120224067,0.8065826029880053,241433
share_variance,PA,2,-4.999806455193653e-05,0.9804110656735341,241172
share_variance,PA,5,0.00046371661015402244,0.8201386836563228,240410
share_variance,PA,10,-0.0011262161832678056,0.5817889984278828,239170
share_variance,PA,20,-0.0017993195008874899,0.38131523038609805,236742
share_variance,PA,50,0.006347168526776138,0.00235221267498605,229656
distance_from_equal_weight,GC,1,0.0038112865859080383,0.06110920382575977,241433
distance_from_equal_weight,GC,2,0.006078478086880616,0.002834781523745732,241172
distance_from_equal_weight,GC,5,0.006428746130351622,0.0016208147901532292,240410
distance_from_equal_weight,GC,10,0.006090560248152889,0.0028956743431979783,239170
distance_from_equal_weight,GC,20,0.0013411973634907428,0.5140324219798477,236742
distance_from_equal_weight,GC,50,0.006050141099592806,0.003738944865286842,229656
distance_from_equal_weight,SI,1,-0.006493239353117873,0.001420148973740106,241433
distance_from_equal_weight,SI,2,-0.004688689994896903,0.021302375198584533,241172
distance_from_equal_weight,SI,5,-0.006624327900701074,0.0011620530595787455,240410
distance_from_equal_weight,SI,10,-0.008843688817899322,1.5248422112869645e-05,239170
distance_from_equal_weight,SI,20,-0.012615568291870568,8.332504509705493e-10,236742
distance_from_equal_weight,SI,50,-0.008026304549264621,0.00011984559063371766,229656
distance_from_equal_weight,HG,1,-0.002431187673333669,0.23225121624129547,241433
distance_from_equal_weight,HG,2,-0.0002958665323851594,0.8844762788113176,241172
distance_from_equal_weight,HG,5,0.0026190681292939644,0.19908348636461282,240410
distance_from_equal_weight,HG,10,0.0023299993121931096,0.2545021771415376,239170
distance_from_equal_weight,HG,20,0.0005013672071544394,0.8072736804208198,236742
distance_from_equal_weight,HG,50,-0.0014185330578037557,0.49663600975453104,229656
distance_from_equal_weight,PL,1,-0.0021681040054106907,0.28673490852113737,241433
