root,size_bucket,trades,notional,median_notional,mean_notional
GC,large,3849181,7095579608100.0,1675550.0,1843399.8318343565
GC,medium,19985533,15308809026720.0,703440.0,765994.5334817941
GC,small,58199446,19128250988060.0,323840.0,328667.23487471
GC,very_large,331574,1854906960310.0,4236000.0,5594247.31827586
SI,large,1325167,1538887215525.0,984750.0000000001,1161277.9487604203
SI,medium,6799090,3407062172025.0,394750.0,501105.6144314901
SI,small,21224284,4985777406550.0,171500.0,234909.09783105052
SI,very_large,192199,622586281700.0,2500875.0,3239279.5056165745
HG,large,1841862,1120686612362.5,551325.0,608453.0830010609
HG,medium,6666414,1670336926487.5,229124.99999999997,250560.03519845902
HG,small,16644088,1918587119025.0,111512.49999999999,115271.38759570365
HG,very_large,166491,333766713525.0,1659000.0,2004713.2489143556
PL,large,1141964,242539218375.0,191920.0,212387.79714159115
PL,medium,2016770,251909278240.0,100170.0,124907.29148093238
PL,small,10407604,679786403695.0,50830.0,65316.32099905031
PL,very_large,152856,104768217120.0,492302.5,685404.6757732768
PA,large,166540,64230441400.0,368800.0,385675.76197910414
PA,medium,339188,82654398700.0,224200.0,243683.14533533025
PA,small,1829100,226155538500.0,114050.0,123643.0695423979
PA,very_large,51181,39711265100.0,638050.0,775898.5775971552
