signal,entry,target,horizon,events,direction,train_event_mean_bps,train_event_t,roundtrip_bps,event_gross_to_roundtrip_cost,screen_score,full_observations,full_active_bars,full_gross_return,full_cost_return,full_net_return,full_mean_net_bps,full_tstat,full_annualized_sharpe,full_hit_rate,full_max_drawdown,full_gross_to_cost,full_turnover,train_observations,train_active_bars,train_gross_return,train_cost_return,train_net_return,train_mean_net_bps,train_tstat,train_annualized_sharpe,train_hit_rate,train_max_drawdown,train_gross_to_cost,train_turnover,test_observations,test_active_bars,test_gross_return,test_cost_return,test_net_return,test_mean_net_bps,test_tstat,test_annualized_sharpe,test_hit_rate,test_max_drawdown,test_gross_to_cost,test_turnover
resid:PL,3.0,GC,50,2672,1.0,10.424815342685568,13.26311611045618,1.1015763557651,9.463543119936531,66.31558055228089,242166,11009,0.12088416363437648,0.01255797045572214,0.10832619317865438,0.004473220566828307,1.3627335323659822,0.7866970183312985,0.02013494875416037,-0.06261577626133596,9.626090781197423,228.0,169516,7129,0.1027883235558038,0.008041507397085229,0.09474681615871858,0.0055892550649330195,1.9724646407858242,1.3609965501156072,0.01930201278935322,-0.02544432021702344,12.78222085489358,146.0,72600,3880,0.018095840078572678,0.0045164630586369105,0.01357937701993579,0.0018704376060517615,0.21439675357056082,0.22604923429861137,0.02209366391184573,-0.06261577626133596,4.006639674372558,82.0
resid:PL,2.5,GC,50,8043,1.0,5.328942959689798,11.565624284753298,1.1015763557651,4.837561129376802,55.94941447689893,242166,25585,0.15178593951674202,0.024565152733561732,0.12722078678318033,0.005253453696356231,1.0870958470490766,0.6275732131057338,0.04710405259202365,-0.12269647388772043,6.17891291631853,446.0,169516,17256,0.16782422044897416,0.01597285715859395,0.15185136329038024,0.008957936908042913,1.9996831011470872,1.379777231850099,0.04700441256282593,-0.04827657395701221,10.50683786768098,290.0,72600,8329,-0.01603828093223214,0.008592295574967782,-0.024630576507199898,-0.0033926413921762945,-0.27660745402261394,-0.2916410913028205,0.04736914600550964,-0.1226964738877199,-1.8665885958296167,156.0
resid:PL,1.5,GC,50,41593,1.0,3.1482590723737087,15.79290421012408,1.1015763557651,2.857958103310129,45.13545856212477,242166,96015,0.3676330795199405,0.06576410843917647,0.3018689710807642,0.012465373796518266,1.342488863294409,0.7750099053209809,0.17898053401385827,-0.2409449997599168,5.5901781115143505,1194.0,169516,65244,0.27801939794774455,0.042025137972438564,0.23599425997530604,0.013921651052131128,1.5628625168020722,1.078371926010904,0.17750536822482835,-0.10841742939216575,6.615549915150275,763.0,72600,30721,0.08970926559062065,0.023738970466737903,0.0659702951238828,0.009086817510176695,0.396153113351645,0.4176840667910497,0.18225895316804408,-0.2409449997599155,3.7789872023438287,431.0
resid:SI,2.5,GC,50,6849,1.0,4.824978819233189,9.976555701439407,1.1015763557651,4.380067522311696,43.697987612408326,242166,21669,0.0968126462792247,0.02059947785280737,0.07621316842641734,0.003147145694540825,0.6917508008662292,0.399343143427983,0.03938620615610779,-0.11805337485110085,4.699762147904672,374.0,169516,15310,0.09006894846368052,0.014650965531675829,0.0754179829320047,0.004449018554708977,1.0192321769942878,0.7032681083212728,0.04107576865900564,-0.061741835606029916,6.147645919236432,266.0,72600,6359,0.006743697815544181,0.00594851232113154,0.0007951854944126674,0.00010952968242598725,0.009741528042854665,0.010270980872203454,0.03546831955922865,-0.11479455854119595,1.1336780444394168,108.0
resid:PL,2.0,GC,50,20263,1.0,3.2873885501702027,11.313168590572946,1.1015763557651,2.984258451959008,33.761418984854494,242166,51775,0.2574770987943671,0.04163958624792079,0.21583751254644634,0.008912791743946151,1.3277116283029147,0.7664791056959026,0.0959754878884732,-0.17514025057725213,6.1834691935063075,756.0,169516,35579,0.2198655202723776,0.026603068991727166,0.19326245128065048,0.011400838344501433,1.7585325194993446,1.2133838259078795,0.09659855116921116,-0.06839752272584898,8.264667521658867,483.0,72600,16146,0.037707162540414174,0.015036517256193614,0.022670645284220622,0.003122678413804493,0.18944577532103188,0.1997421683828438,0.09429752066115703,-0.1751402505772509,2.5077058668544017,273.0
resid:HG,2.5,SI,50,7533,1.0,10.386245378532399,11.701942165681743,3.739016638624893,2.777801326487858,32.50567047031494,242166,25335,0.26160376745200775,0.09123200598244738,0.1703717614695605,0.007035329545417628,0.6613590937981465,0.38179821276868686,0.04655071314718003,-0.17792808365764215,2.8674560493862113,488.0,169516,17880,0.05653664690401339,0.0628154795288982,-0.0062788326248847115,-0.00037039763944906153,-0.040051408590756725,-0.02763538965016576,0.04658557304325255,-0.17792808365764215,0.9000432270520797,336.0,72600,7455,0.20506712054799436,0.02841652645354919,0.17665059409444522,0.024332037754055815,0.8641743291439419,0.9111422731464695,0.04650137741046832,-0.1264905348242653,7.216473867177448,152.0
resid:PA,2.0,GC,50,20167,1.0,3.0523751360181692,10.749093308826279,1.1015763557651,2.7709156247259337,29.78483060106372,242166,54497,0.24322488653266117,0.041364192158979504,0.2018606943736817,0.00833563317615527,1.1841958099874679,0.683628376869912,0.1012611184063824,-0.11521002836241323,5.880083082436337,751.0,169516,38906,0.16032450735502035,0.028255433525374817,0.13206907382964556,0.007790950342719599,1.1555166649586905,0.7973041250480053,0.10508152622761273,-0.09646113762823266,5.674112457380659,513.0,72600,15541,0.0829959631960655,0.01310875863360469,0.06988720456246086,0.009626336716592406,0.5530985620092497,0.583159513153289,0.09212121212121212,-0.11521002836241306,6.331336590735823,238.0
resid:GC,3.0,GC,50,1822,-1.0,5.581072289475909,5.689512912543876,1.1015763557651,5.066441613663335,28.44756456271938,242166,8867,0.10610458070008644,0.01057513301534496,0.0955294476847415,0.003944791906574065,1.0953696106075763,0.6323496018620514,0.015571963033621565,-0.06730969493343504,10.033403886847026,192.0,169516,5521,0.04433181700493005,0.006609458134590599,0.03772235887033946,0.0022252978403418827,0.7742179564926385,0.5342087995069164,0.014777366148328181,-0.038616023114293886,6.707330026484241,120.0,72600,3346,0.061772763695156385,0.00396567488075436,0.05780708881440203,0.007962408927603587,0.7991821936465934,0.8426178098794823,0.01743801652892562,-0.06730969493343503,15.576860320785002,72.0
feat:SI_notional_share,3.0,SI,50,2776,1.0,12.564414497348913,7.733903060887031,3.739016638624893,3.360352657315202,25.98864170206991,242166,85293,0.9398763450192384,0.4767246214246738,0.46315172359456525,0.01912538191135689,1.1789283108053257,0.6805874845734854,0.1582220460345383,-0.460995217680227,1.9715288507869657,2550.0,169516,63954,1.0019522324163757,0.36623667975330826,0.6357155526630679,0.03750180234686212,2.24311974671248,1.5477480171992446,0.1702966091696359,-0.17868583622642126,2.7358052532894197,1959.0,72600,21291,-0.0647294143521675,0.11030099083943434,-0.17503040519160165,-0.024108871238512623,-0.6437782336591767,-0.6787676322201168,0.12977961432506888,-0.4609952176802397,-0.586843453168924,590.0
resid:PL,2.5,PL,50,8043,1.0,10.001090418246111,12.72547436690043,5.126364894653202,1.9509127078872688,24.826289656279744,242166,25585,-0.20878546018554545,0.1143179371507664,-0.32310339733631166,-0.013342227948444937,-1.2592437811862738,-0.7269530722499459,0.04665807751707506,-0.6255438649216123,-1.8263578349055762,446.0,169516,17256,0.3013819046456083,0.07433229097247142,0.227049613673137,0.013393993114109406,1.5522654549628794,1.071059975111365,0.04682743811793577,-0.10554095756431403,4.05452194063578,290.0,72600,8329,-0.5101673648311538,0.039985646178294976,-0.5501530110094486,-0.07577865165419402,-2.6098070930543025,-2.7516503175867872,0.04629476584022039,-0.5963383654349076,-12.75876254584784,156.0
