signal,entry,target,horizon,events,direction,train_event_mean_bps,train_event_t,roundtrip_bps,event_gross_to_roundtrip_cost,screen_score
resid:PL,3.0,GC,50,2672,1.0,10.424815342685568,13.26311611045618,1.1015763557651,9.463543119936531,66.31558055228089
resid:PL,2.5,GC,50,8043,1.0,5.328942959689798,11.565624284753298,1.1015763557651,4.837561129376802,55.94941447689893
resid:PL,1.5,GC,50,41593,1.0,3.1482590723737087,15.79290421012408,1.1015763557651,2.857958103310129,45.13545856212477
resid:SI,2.5,GC,50,6849,1.0,4.824978819233189,9.976555701439407,1.1015763557651,4.380067522311696,43.697987612408326
resid:PL,2.0,GC,50,20263,1.0,3.2873885501702027,11.313168590572946,1.1015763557651,2.984258451959008,33.761418984854494
resid:HG,2.5,SI,50,7533,1.0,10.386245378532399,11.701942165681743,3.739016638624893,2.777801326487858,32.50567047031494
resid:PA,2.0,GC,50,20167,1.0,3.0523751360181692,10.749093308826279,1.1015763557651,2.7709156247259337,29.78483060106372
resid:GC,3.0,GC,50,1822,-1.0,5.581072289475909,5.689512912543876,1.1015763557651,5.066441613663335,28.44756456271938
feat:SI_notional_share,3.0,SI,50,2776,1.0,12.564414497348913,7.733903060887031,3.739016638624893,3.360352657315202,25.98864170206991
resid:PL,2.5,PL,50,8043,1.0,10.001090418246111,12.72547436690043,5.126364894653202,1.9509127078872688,24.826289656279744
resid:SI,3.0,GC,50,1986,1.0,4.832270410181042,5.442955720132711,1.1015763557651,4.386686755658248,23.876541769140466
feat:SI_notional_share,3.0,GC,50,2776,1.0,4.3254860087538525,6.010772478362912,1.1015763557651,3.9266329438866596,23.602097231747074
feat:SI_abs_signed_notional_share,1.5,GC,50,12489,1.0,2.9982146847094593,8.569488236155351,1.1015763557651,2.7217493086324,23.32399868208931
resid:PA,1.5,GC,50,44665,1.0,2.175922985632586,11.389699230250038,1.1015763557651,1.9752811271274051,22.497857933170433
resid:PL,3.0,GC,20,2672,1.0,3.498013491610895,7.010188494043328,1.1015763557651,3.1754616675494542,22.260584845130825
feat:SI_notional_share,2.5,SI,50,4730,1.0,9.954178503838902,8.125865561388816,3.739016638624893,2.6622450408511082,21.633045293430182
resid:PA,1.5,SI,50,44665,1.0,5.210511699838009,15.024465721449417,3.739016638624893,1.3935513541213584,20.937364551075767
feat:SI_notional_share,2.5,GC,50,4730,1.0,3.5188731582773287,6.328944938702394,1.1015763557651,3.194397864352576,20.217168195795974
feat:rank_turnover_l1,3.0,GC,50,1010,1.0,5.221226901970195,4.250559462563246,1.1015763557651,4.739777569339523,20.146706397801132
resid:PL,3.0,SI,50,2672,1.0,10.495707439242995,7.154993026059303,3.739016638624893,2.8070769546249004,20.08461603395295
feat:contribution_velocity_l2,1.5,GC,50,12911,1.0,2.7462283866508628,7.984736815085705,1.1015763557651,2.4929986671177864,19.905938237294983
resid:SI,2.0,GC,50,17932,1.0,2.546438609810135,8.588269092172975,1.1015763557651,2.3116315055995424,19.852913412033832
feat:contribution_velocity_l2,3.0,GC,50,2811,1.0,3.9203013880726267,5.383916628335348,1.1015763557651,3.5588103970784495,19.16033847392339
resid:PL,2.0,PL,50,20263,1.0,6.960456569938026,13.989952186405048,5.126364894653202,1.3577762630978107,18.995225000574095
resid:PA,2.0,SI,50,20167,1.0,5.9986095165369475,11.58906520808306,3.739016638624893,1.6043281151974416,18.59266314218414
resid:GC,3.0,GC,20,1822,-1.0,3.535375348312384,5.6843780097446,1.1015763557651,3.2093783874444988,18.243319930539094
resid:PL,2.5,SI,50,8043,1.0,7.596966575209181,8.838213615223555,3.739016638624893,2.031808710539233,17.957559409017666
feat:SI_notional_share,3.0,SI,20,2776,1.0,8.398521582124289,7.91059632605369,3.739016638624893,2.24618459713863,17.768659621763234
resid:SI,1.5,PL,50,40816,1.0,5.600948590638737,15.894067964294381,5.126364894653202,1.0925770415758982,17.365493755035015
feat:contribution_velocity_l2,2.0,GC,50,7611,1.0,2.8814983430146173,6.470641723812796,1.1015763557651,2.615795380805239,16.92587473199516
feat:SI_abs_signed_notional_share,2.0,GC,50,7867,1.0,2.8396694829945655,6.437428622123995,1.1015763557651,2.5778235599676362,16.594555167721232
feat:hhi,2.5,GC,50,1373,1.0,4.591980318329257,3.96133213604641,1.1015763557651,4.168553813176116,16.513026180973352
resid:PL,1.5,SI,50,41593,1.0,4.675591067682893,13.028585132591587,3.739016638624893,1.2504868310515052,16.29207413553921
resid:GC,2.0,PA,50,20389,-1.0,11.177311240565748,15.932373824947206,11.187768040275966,0.9990653363859017,15.917482414846814
feat:SI_notional_share,3.0,GC,20,2776,1.0,2.862004931375684,6.113286800666772,1.1015763557651,2.598099456653532,15.88292711517955
resid:PL,2.5,GC,20,8043,1.0,2.2328706269582104,7.787194515599618,1.1015763557651,2.0269776264463935,15.784469055906486
feat:SI_abs_signed_notional_share,2.5,GC,50,5082,1.0,3.094397579968195,5.576287140931555,1.1015763557651,2.8090631791193275,15.66414288378742
feat:contribution_velocity_l2,2.5,GC,50,4613,1.0,3.103852160553422,5.485404203965691,1.1015763557651,2.8176459528287907,15.455926954933965
resid:PL,2.0,SI,50,20263,1.0,5.50379326035857,10.403322744726896,3.739016638624893,1.4719895074825646,15.313581923192707
feat:HG_notional_share,3.0,HG,50,2759,-1.0,7.446953568064524,3.2708431469102384,1.6007683688161451,4.652111893972486,15.216328307059515
resid:PL,2.0,HG,50,20263,1.0,4.194903357538127,5.727125321677718,1.6007683688161451,2.62055612745552,15.008253354428211
resid:SI,1.5,SI,50,40816,1.0,4.502839039569916,12.264599192259592,3.739016638624893,1.2042843011327,14.77006426692302
feat:SI_notional_share,2.0,GC,50,7938,1.0,2.61270922516446,6.059464826421733,1.1015763557651,2.371791307512045,14.37178600348205
resid:HG,3.0,PA,50,2768,-1.0,17.457248015699136,9.136118555964195,11.187768040275966,1.5603870184699076,14.255880793928569
feat:SI_notional_share,2.5,SI,20,4730,1.0,6.5244061044258945,8.15889806630022,3.739016638624893,1.7449524126283082,14.236888865179006
resid:PA,3.0,GC,50,2592,-1.0,3.281037330334104,4.766765075188697,1.1015763557651,2.9784928781039963,14.197775828044396
resid:SI,2.0,PL,50,17932,1.0,6.097112440546478,11.93140771548661,5.126364894653202,1.1893637237774013,14.190783510397571
resid:SI,2.5,GC,20,6849,1.0,2.2238068909039304,7.018048308180604,1.1015763557651,2.0187496574936787,14.167682618413686
resid:SI,1.5,GC,50,40816,1.0,1.736589035664236,8.87977947346802,1.1015763557651,1.5764581606856367,13.998600816037465
feat:SI_notional_share,2.5,GC,20,4730,1.0,2.3331743302963464,6.575350638686572,1.1015763557651,2.11803232529972,13.92680520291832
feat:SI_notional_share,2.0,SI,50,7938,1.0,6.919105120992028,7.432860773538888,3.739016638624893,1.8505146646088968,13.75461786142994
resid:GC,1.5,GC,50,43222,1.0,1.708999319447203,8.510817154949642,1.1015763557651,1.5514124922009764,13.203788053027248
resid:GC,2.5,GC,50,6952,-1.0,2.646500519400182,5.344941974562897,1.1015763557651,2.4024667065062912,12.841045142095357
feat:entropy_normalized,2.5,GC,50,2023,-1.0,3.7716525803164145,3.727693961562698,1.1015763557651,3.4238684958854377,12.763133917296903
feat:SI_abs_signed_notional_share,3.0,GC,50,3354,1.0,3.0195157251924165,4.457028270543077,1.1015763557651,2.741086180172424,12.217098597023428
resid:PL,3.0,PL,50,2672,1.0,9.487865046704128,6.450371462243312,5.126364894653202,1.850797834660574,11.938333535076282
feat:rank_turnover_l1,2.5,GC,50,1234,1.0,3.7408394913005307,3.4774442345727796,1.1015763557651,3.3958966818077085,11.80904133735705
resid:GC,3.0,GC,10,1822,-1.0,2.506179679349269,5.163351623826577,1.1015763557651,2.275084851116473,11.747063060355487
resid:HG,3.0,GC,50,2768,-1.0,3.2379111203139868,3.992894721255209,1.1015763557651,2.9393433359098338,11.736488489911052
feat:PL_abs_signed_notional_share,1.5,GC,50,10888,1.0,2.193379991521621,5.780622869808991,1.1015763557651,1.9911284225034123,11.509962495849924
feat:GC_notional_share,3.0,SI,50,1390,-1.0,9.451111925538557,4.531304665139798,3.739016638624893,2.527699884484712,11.453778278638904
resid:HG,3.0,SI,50,2768,1.0,7.679546599006383,5.555617555856309,3.739016638624893,2.0538947379037897,11.410653663779188
anom:md_ewma,1.5,GC,50,10693,1.0,2.219259182900517,5.63389216031999,1.1015763557651,2.01462129364526,11.350159112281746
feat:SI_abs_signed_notional_share,1.5,SI,50,12489,1.0,5.46226323484362,7.767312279366678,3.739016638624893,1.4608823021585937,11.347129044265905
feat:GC_notional_share,3.0,GC,50,1390,-1.0,3.572900835286816,3.4785889862331834,1.1015763557651,3.2434436492650183,11.282607355801257
feat:PL_abs_signed_notional_share,2.0,GC,50,7156,1.0,2.4044132181804376,5.107221727560759,1.1015763557651,2.1827022753320193,11.147544485371995
anom:md_rolling,2.0,GC,50,7034,1.0,2.4297170522977383,5.022110681589652,1.1015763557651,2.2056728429053636,11.07713314444724
feat:SI_abs_signed_notional_share,2.5,SI,50,5082,1.0,6.73713801514523,5.9750834201291,3.739016638624893,1.8018475621501817,10.766189494203589
resid:PA,3.0,GC,20,2592,-1.0,2.3860663358200638,4.9107519393559205,1.1015763557651,2.1660471589940955,10.636920286766637
resid:SI,2.0,SI,50,17932,1.0,4.706613000872015,8.434514850857058,3.739016638624893,1.2587836470829339,10.617229365337016
feat:entropy_normalized,3.0,GC,50,467,-1.0,4.759435322648906,2.4446535213100415,1.1015763557651,4.320567791547449,10.562291265665221
resid:GC,2.5,SI,50,6952,-1.0,5.936772668968174,6.583104183385113,3.739016638624893,1.5877898503151766,10.452586005946262
feat:HG_notional_share,2.5,HG,50,4222,-1.0,5.256774733619621,3.102170100982863,1.6007683688161451,3.283907176093997,10.187238656081863
feat:rank_turnover_l1,2.0,GC,50,9046,1.0,2.2069840043171047,4.981595256322681,1.1015763557651,2.0034780092790245,9.980516547171197
feat:SI_abs_signed_notional_share,1.5,GC,20,12489,1.0,1.5605996440809964,7.005885359203953,1.1015763557651,1.4166967509002877,9.925215025564135
feat:contribution_velocity_l2,3.0,SI,50,2811,1.0,7.122172227248957,5.192345540949915,3.739016638624893,1.9048249621773001,9.890509398651394
resid:PL,1.5,GC,20,41593,1.0,1.164512444604059,9.320682184103436,1.1015763557651,1.0571327520871185,9.853198408610641
resid:HG,2.5,PL,50,7533,1.0,6.6236522328461955,7.617823263447264,5.126364894653202,1.2920758410613074,9.842805400175017
feat:SI_abs_signed_notional_share,2.0,SI,50,7867,1.0,5.6979078852455505,6.3639354381282365,3.739016638624893,1.5239054639085756,9.698035986125035
feat:PL_notional_share,1.5,GC,50,11389,1.0,1.9801031960650899,5.390576288804461,1.1015763557651,1.7975178803559277,9.689657264548718
anom:md_ewma,2.0,GC,50,6951,1.0,2.2881469252887214,4.657516399325761,1.1015763557651,2.0771568973078485,9.67439231318392
feat:rank_turnover_l1,1.5,GC,50,14905,1.0,1.8920066205888426,5.553788352998165,1.1015763557651,1.7175446901043454,9.538879695655355
feat:HG_notional_share,3.0,HG,20,2759,-1.0,5.478526023931967,2.7539186761680585,1.6007683688161451,3.4224352071521964,9.425108234951532
anom:md_rolling,1.5,GC,50,10778,1.0,2.008149254561587,5.141071948726461,1.1015763557651,1.8229778117984627,9.372060091387823
feat:HG_abs_signed_notional_share,1.5,GC,50,10372,1.0,1.9947462304908772,5.057894591360011,1.1015763557651,1.8108106805773132,9.158889547268933
feat:GC_notional_share,2.5,SI,50,3007,-1.0,6.941426721447364,4.924919216843703,3.739016638624893,1.856484576650675,9.143036567320856
feat:PL_abs_signed_notional_share,2.5,GC,50,4892,1.0,2.3809269771986643,4.203705762039672,1.1015763557651,2.1613817006311753,9.085812708910376
size:HG_large_minus_small_share,3.0,GC,50,3573,1.0,2.743820656434227,3.6161821133071017,1.1015763557651,2.4908129537044266,9.007233250779578
feat:SI_notional_share,2.0,SI,20,7938,1.0,4.511037796849188,7.41569720967301,3.739016638624893,1.2064770587670408,8.946868558233245
resid:SI,2.5,SI,50,6849,1.0,5.523309671090531,6.041633710729609,3.739016638624893,1.4772091715328264,8.924756728531682
