date,root_a,root_b
2011-03-30,GC,SI
2011-03-30,PL,SI
2011-03-30,ZF,ZN
2011-03-30,HG,PL
2011-03-30,ZB,ZN
2011-03-30,CL,HG
2011-03-30,HG,ZB
2011-03-30,PA,PL
2011-03-30,ZF,ZT
2011-03-31,GC,SI
2011-03-31,PL,SI
2011-03-31,ZF,ZN
2011-03-31,HG,PL
2011-03-31,ZB,ZN
2011-03-31,CL,HG
2011-03-31,HG,ZB
2011-03-31,PA,PL
2011-03-31,ZF,ZT
2011-04-01,GC,SI
2011-04-01,PL,SI
2011-04-01,ZF,ZN
2011-04-01,HG,PL
2011-04-01,ZB,ZN
2011-04-01,CL,HG
2011-04-01,HG,ZB
2011-04-01,PA,PL
2011-04-01,ZF,ZT
2011-04-03,GC,SI
2011-04-03,PL,SI
2011-04-03,ZF,ZN
2011-04-03,HG,PL
2011-04-03,ZB,ZN
2011-04-03,CL,HG
2011-04-03,HG,ZB
2011-04-03,PA,PL
2011-04-03,ZF,ZT
2011-04-04,GC,SI
2011-04-04,PL,SI
2011-04-04,ZF,ZN
2011-04-04,HG,PL
2011-04-04,ZB,ZN
2011-04-04,CL,HG
2011-04-04,HG,ZB
2011-04-04,PA,PL
2011-04-04,ZF,ZT
2011-04-05,GC,SI
2011-04-05,PL,SI
2011-04-05,ZF,ZN
2011-04-05,HG,PL
2011-04-05,ZB,ZN
2011-04-05,CL,HG
2011-04-05,HG,ZB
2011-04-05,PA,PL
2011-04-05,ZF,ZT
2011-04-06,GC,SI
2011-04-06,PL,SI
2011-04-06,ZF,ZN
2011-04-06,HG,PL
2011-04-06,ZB,ZN
2011-04-06,CL,HG
2011-04-06,HG,ZB
2011-04-06,PA,PL
2011-04-06,ZF,ZT
2011-04-07,GC,SI
2011-04-07,PL,SI
2011-04-07,ZF,ZN
2011-04-07,HG,PL
2011-04-07,ZB,ZN
2011-04-07,CL,HG
2011-04-07,HG,ZB
2011-04-07,PA,PL
2011-04-07,ZF,ZT
2011-04-08,GC,SI
2011-04-08,PL,SI
2011-04-08,ZF,ZN
2011-04-08,HG,PL
2011-04-08,ZB,ZN
2011-04-08,CL,HG
2011-04-08,HG,ZB
2011-04-08,PA,PL
2011-04-08,ZF,ZT
2011-04-10,GC,SI
2011-04-10,PL,SI
2011-04-10,ZF,ZN
2011-04-10,HG,PL
2011-04-10,ZB,ZN
2011-04-10,CL,HG
2011-04-10,HG,ZB
2011-04-10,PA,PL
2011-04-10,ZF,ZT
2011-04-11,GC,SI
2011-04-11,PL,SI
2011-04-11,ZF,ZN
2011-04-11,HG,PL
2011-04-11,ZB,ZN
2011-04-11,CL,HG
2011-04-11,HG,ZB
2011-04-11,PA,PL
2011-04-11,ZF,ZT
2011-04-12,GC,SI
2011-04-12,PL,SI
2011-04-12,ZF,ZN
2011-04-12,HG,PL
2011-04-12,ZB,ZN
2011-04-12,CL,HG
2011-04-12,HG,ZB
2011-04-12,PA,PL
2011-04-12,ZF,ZT
2011-04-13,GC,SI
2011-04-13,PL,SI
2011-04-13,ZF,ZN
2011-04-13,HG,PL
2011-04-13,ZB,ZN
2011-04-13,CL,HG
2011-04-13,HG,ZB
2011-04-13,PA,PL
2011-04-13,ZF,ZT
2011-04-14,GC,SI
2011-04-14,PL,SI
2011-04-14,ZF,ZN
2011-04-14,HG,PL
2011-04-14,ZB,ZN
2011-04-14,CL,HG
2011-04-14,HG,ZB
2011-04-14,PA,PL
2011-04-14,ZF,ZT
2011-04-15,GC,SI
2011-04-15,PL,SI
2011-04-15,ZF,ZN
2011-04-15,HG,PL
2011-04-15,ZB,ZN
2011-04-15,CL,HG
2011-04-15,HG,ZB
2011-04-15,PA,PL
2011-04-15,ZF,ZT
2011-04-17,GC,SI
2011-04-17,PL,SI
2011-04-17,ZF,ZN
2011-04-17,HG,PL
2011-04-17,ZB,ZN
2011-04-17,CL,HG
2011-04-17,HG,ZB
2011-04-17,PA,PL
2011-04-17,ZF,ZT
2011-04-18,GC,SI
2011-04-18,PL,SI
2011-04-18,ZF,ZN
2011-04-18,HG,PL
2011-04-18,ZB,ZN
2011-04-18,CL,HG
2011-04-18,HG,ZB
2011-04-18,PA,PL
2011-04-18,ZF,ZT
2011-04-19,GC,SI
2011-04-19,PL,SI
2011-04-19,ZF,ZN
2011-04-19,HG,PL
2011-04-19,ZB,ZN
2011-04-19,CL,HG
2011-04-19,HG,ZB
2011-04-19,PA,PL
2011-04-19,ZF,ZT
2011-04-20,GC,SI
2011-04-20,PL,SI
2011-04-20,ZF,ZN
2011-04-20,HG,PL
2011-04-20,ZB,ZN
2011-04-20,CL,HG
2011-04-20,HG,ZB
2011-04-20,PA,PL
2011-04-20,ZF,ZT
2011-04-21,GC,SI
2011-04-21,PL,SI
2011-04-21,ZF,ZN
2011-04-21,HG,PL
