date,spd_velocity,top_eigen_share,effective_rank,average_correlation,edge_persistence,stable,transition,spd_velocity_q40,spd_velocity_q80,edge_persistence_q60
2010-06-07,,,,,,False,False,,,
2010-06-08,,,,,,False,False,,,
2010-06-09,,,,,,False,False,,,
2010-06-10,,,,,,False,False,,,
2010-06-11,,,,,,False,False,,,
2010-06-13,,,,,,False,False,,,
2010-06-14,,,,,,False,False,,,
2010-06-15,,,,,,False,False,,,
2010-06-16,,,,,,False,False,,,
2010-06-17,,,,,,False,False,,,
2010-06-18,,,,,,False,False,,,
2010-06-20,,,,,,False,False,,,
2010-06-21,,,,,,False,False,,,
2010-06-22,,,,,,False,False,,,
2010-06-23,,,,,,False,False,,,
2010-06-24,,,,,,False,False,,,
2010-06-25,,,,,,False,False,,,
2010-06-27,,,,,,False,False,,,
2010-06-28,,,,,,False,False,,,
2010-06-29,,,,,,False,False,,,
2010-06-30,,,,,,False,False,,,
2010-07-01,,,,,,False,False,,,
2010-07-02,,,,,,False,False,,,
2010-07-04,,,,,,False,False,,,
2010-07-05,,,,,,False,False,,,
2010-07-06,,,,,,False,False,,,
2010-07-07,,,,,,False,False,,,
2010-07-08,,,,,,False,False,,,
2010-07-09,,,,,,False,False,,,
2010-07-11,,,,,,False,False,,,
2010-07-12,,,,,,False,False,,,
2010-07-13,,,,,,False,False,,,
2010-07-14,,,,,,False,False,,,
2010-07-15,,,,,,False,False,,,
2010-07-16,,,,,,False,False,,,
2010-07-18,,,,,,False,False,,,
2010-07-19,,,,,,False,False,,,
2010-07-20,,,,,,False,False,,,
2010-07-21,,,,,,False,False,,,
2010-07-22,,,,,,False,False,,,
2010-07-23,,,,,,False,False,,,
2010-07-25,,,,,,False,False,,,
2010-07-26,,,,,,False,False,,,
2010-07-27,,,,,,False,False,,,
2010-07-28,,,,,,False,False,,,
2010-07-29,,,,,,False,False,,,
2010-07-30,,,,,,False,False,,,
2010-08-01,,,,,,False,False,,,
2010-08-02,,,,,,False,False,,,
2010-08-03,,,,,,False,False,,,
2010-08-04,,,,,,False,False,,,
2010-08-05,,,,,,False,False,,,
2010-08-06,,,,,,False,False,,,
2010-08-08,,,,,,False,False,,,
2010-08-09,,,,,,False,False,,,
2010-08-10,,,,,,False,False,,,
2010-08-11,,,,,,False,False,,,
2010-08-12,,,,,,False,False,,,
2010-08-13,,,,,,False,False,,,
2010-08-15,,,,,,False,False,,,
2010-08-16,,,,,,False,False,,,
2010-08-17,,,,,,False,False,,,
2010-08-18,,,,,,False,False,,,
2010-08-19,,,,,,False,False,,,
2010-08-20,,,,,,False,False,,,
2010-08-23,,,,,,False,False,,,
2010-08-24,,,,,,False,False,,,
