root,bar_rows,joined_rows,first_ts,last_ts,roll_bars,mean_volume,mean_flow_volume
GC,1640,1640,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,655.4725609756098,695.4475609756098
SI,1640,1640,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,204.84024390243903,215.17256097560977
HG,1640,1640,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,204.1128048780488,228.5969512195122
PL,1638,1638,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,79.05494505494505,83.42612942612942
PA,1548,1542,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,25.88391699092088,28.746433203631646
CL,1640,1640,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,1220.6414634146342,2033.935975609756
SR3,1609,1609,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,2153.1982597886886,15603.594157862026
ZQ,1054,1054,2026-05-18 13:40:00+00:00,2026-06-15 20:05:00+00:00,0,331.4127134724858,1878.2381404174573
ZT,1621,1621,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,6505.999383096854,6932.036397285626
ZF,1622,1622,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,10181.13748458693,10816.88101109741
ZN,1622,1622,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,13995.079531442663,14617.850184956844
TN,1621,1621,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,4133.3226403454655,4345.795805058606
ZB,1622,1622,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,3193.4451294697906,3362.056720098644
UB,1622,1622,2026-05-18 13:35:00+00:00,2026-06-15 20:05:00+00:00,0,2587.4451294697906,2671.313193588163
