ts,root_a,root_b
2026-05-21 15:00:00+00:00,HG,PL
2026-05-21 15:00:00+00:00,ZF,ZT
2026-05-21 15:00:00+00:00,TN,ZF
2026-05-21 15:00:00+00:00,TN,ZN
2026-05-21 15:00:00+00:00,CL,ZT
2026-05-21 15:00:00+00:00,GC,ZQ
2026-05-21 15:00:00+00:00,GC,SI
2026-05-21 15:00:00+00:00,SR3,ZT
2026-05-21 15:00:00+00:00,PA,PL
2026-05-21 15:00:00+00:00,UB,ZB
2026-05-21 15:00:00+00:00,TN,ZB
2026-05-21 15:00:00+00:00,PL,SI
2026-05-21 15:00:00+00:00,CL,ZQ
2026-05-21 15:05:00+00:00,HG,PL
2026-05-21 15:05:00+00:00,ZF,ZT
2026-05-21 15:05:00+00:00,TN,ZF
2026-05-21 15:05:00+00:00,TN,ZN
2026-05-21 15:05:00+00:00,CL,ZT
2026-05-21 15:05:00+00:00,GC,ZQ
2026-05-21 15:05:00+00:00,GC,SI
2026-05-21 15:05:00+00:00,SR3,ZT
2026-05-21 15:05:00+00:00,PA,PL
2026-05-21 15:05:00+00:00,UB,ZB
2026-05-21 15:05:00+00:00,TN,ZB
2026-05-21 15:05:00+00:00,PL,SI
2026-05-21 15:05:00+00:00,CL,ZQ
2026-05-21 15:10:00+00:00,HG,PL
2026-05-21 15:10:00+00:00,ZF,ZT
2026-05-21 15:10:00+00:00,TN,ZF
2026-05-21 15:10:00+00:00,TN,ZN
2026-05-21 15:10:00+00:00,CL,ZT
2026-05-21 15:10:00+00:00,GC,ZQ
2026-05-21 15:10:00+00:00,GC,SI
2026-05-21 15:10:00+00:00,SR3,ZT
2026-05-21 15:10:00+00:00,PA,PL
2026-05-21 15:10:00+00:00,UB,ZB
2026-05-21 15:10:00+00:00,TN,ZB
2026-05-21 15:10:00+00:00,PL,SI
2026-05-21 15:10:00+00:00,CL,ZQ
2026-05-21 15:15:00+00:00,HG,PL
2026-05-21 15:15:00+00:00,ZF,ZT
2026-05-21 15:15:00+00:00,TN,ZF
2026-05-21 15:15:00+00:00,TN,ZN
2026-05-21 15:15:00+00:00,CL,ZT
2026-05-21 15:15:00+00:00,GC,ZQ
2026-05-21 15:15:00+00:00,GC,SI
2026-05-21 15:15:00+00:00,SR3,ZT
2026-05-21 15:15:00+00:00,PA,PL
2026-05-21 15:15:00+00:00,UB,ZB
2026-05-21 15:15:00+00:00,TN,ZB
2026-05-21 15:15:00+00:00,PL,SI
2026-05-21 15:15:00+00:00,CL,ZQ
2026-05-21 15:20:00+00:00,HG,PL
2026-05-21 15:20:00+00:00,ZF,ZT
2026-05-21 15:20:00+00:00,TN,ZF
2026-05-21 15:20:00+00:00,TN,ZN
2026-05-21 15:20:00+00:00,CL,ZT
2026-05-21 15:20:00+00:00,GC,ZQ
2026-05-21 15:20:00+00:00,GC,SI
2026-05-21 15:20:00+00:00,SR3,ZT
2026-05-21 15:20:00+00:00,PA,PL
2026-05-21 15:20:00+00:00,UB,ZB
2026-05-21 15:20:00+00:00,TN,ZB
2026-05-21 15:20:00+00:00,PL,SI
2026-05-21 15:20:00+00:00,CL,ZQ
2026-05-21 15:25:00+00:00,HG,PL
2026-05-21 15:25:00+00:00,ZF,ZT
2026-05-21 15:25:00+00:00,TN,ZF
2026-05-21 15:25:00+00:00,TN,ZN
2026-05-21 15:25:00+00:00,CL,ZT
2026-05-21 15:25:00+00:00,GC,ZQ
2026-05-21 15:25:00+00:00,GC,SI
2026-05-21 15:25:00+00:00,SR3,ZT
2026-05-21 15:25:00+00:00,PA,PL
2026-05-21 15:25:00+00:00,UB,ZB
2026-05-21 15:25:00+00:00,TN,ZB
2026-05-21 15:25:00+00:00,PL,SI
2026-05-21 15:25:00+00:00,CL,ZQ
2026-05-21 15:30:00+00:00,HG,PL
2026-05-21 15:30:00+00:00,ZF,ZT
2026-05-21 15:30:00+00:00,TN,ZF
2026-05-21 15:30:00+00:00,TN,ZN
2026-05-21 15:30:00+00:00,CL,ZT
2026-05-21 15:30:00+00:00,GC,ZQ
2026-05-21 15:30:00+00:00,GC,SI
2026-05-21 15:30:00+00:00,SR3,ZT
2026-05-21 15:30:00+00:00,PA,PL
2026-05-21 15:30:00+00:00,UB,ZB
2026-05-21 15:30:00+00:00,TN,ZB
2026-05-21 15:30:00+00:00,PL,SI
2026-05-21 15:30:00+00:00,CL,ZQ
2026-05-21 15:35:00+00:00,HG,PL
2026-05-21 15:35:00+00:00,ZF,ZT
2026-05-21 15:35:00+00:00,TN,ZF
2026-05-21 15:35:00+00:00,TN,ZN
2026-05-21 15:35:00+00:00,CL,ZT
2026-05-21 15:35:00+00:00,GC,ZQ
2026-05-21 15:35:00+00:00,GC,SI
2026-05-21 15:35:00+00:00,SR3,ZT
2026-05-21 15:35:00+00:00,PA,PL
2026-05-21 15:35:00+00:00,UB,ZB
2026-05-21 15:35:00+00:00,TN,ZB
2026-05-21 15:35:00+00:00,PL,SI
2026-05-21 15:35:00+00:00,CL,ZQ
2026-05-21 15:40:00+00:00,HG,SI
2026-05-21 15:40:00+00:00,ZF,ZT
2026-05-21 15:40:00+00:00,TN,ZF
2026-05-21 15:40:00+00:00,TN,ZN
2026-05-21 15:40:00+00:00,CL,ZT
2026-05-21 15:40:00+00:00,GC,ZQ
2026-05-21 15:40:00+00:00,GC,SI
2026-05-21 15:40:00+00:00,SR3,ZT
2026-05-21 15:40:00+00:00,PA,PL
2026-05-21 15:40:00+00:00,UB,ZB
2026-05-21 15:40:00+00:00,TN,ZB
2026-05-21 15:40:00+00:00,PL,SI
2026-05-21 15:40:00+00:00,CL,ZQ
2026-05-21 15:45:00+00:00,HG,SI
2026-05-21 15:45:00+00:00,ZF,ZT
2026-05-21 15:45:00+00:00,TN,ZN
2026-05-21 15:45:00+00:00,CL,ZT
2026-05-21 15:45:00+00:00,GC,ZQ
2026-05-21 15:45:00+00:00,ZF,ZN
2026-05-21 15:45:00+00:00,GC,SI
2026-05-21 15:45:00+00:00,SR3,ZT
2026-05-21 15:45:00+00:00,PA,PL
2026-05-21 15:45:00+00:00,UB,ZB
2026-05-21 15:45:00+00:00,TN,ZB
2026-05-21 15:45:00+00:00,PL,SI
2026-05-21 15:45:00+00:00,CL,ZQ
2026-05-21 15:50:00+00:00,HG,SI
2026-05-21 15:50:00+00:00,ZF,ZT
2026-05-21 15:50:00+00:00,TN,ZN
2026-05-21 15:50:00+00:00,CL,ZT
2026-05-21 15:50:00+00:00,GC,ZQ
2026-05-21 15:50:00+00:00,ZF,ZN
2026-05-21 15:50:00+00:00,GC,SI
2026-05-21 15:50:00+00:00,SR3,ZT
2026-05-21 15:50:00+00:00,PA,PL
2026-05-21 15:50:00+00:00,UB,ZB
2026-05-21 15:50:00+00:00,TN,ZB
2026-05-21 15:50:00+00:00,PL,SI
2026-05-21 15:50:00+00:00,CL,ZQ
2026-05-21 15:55:00+00:00,HG,PL
2026-05-21 15:55:00+00:00,ZF,ZT
2026-05-21 15:55:00+00:00,TN,ZN
2026-05-21 15:55:00+00:00,CL,ZT
2026-05-21 15:55:00+00:00,GC,ZQ
2026-05-21 15:55:00+00:00,ZF,ZN
2026-05-21 15:55:00+00:00,GC,SI
2026-05-21 15:55:00+00:00,SR3,ZT
2026-05-21 15:55:00+00:00,PA,PL
2026-05-21 15:55:00+00:00,UB,ZB
2026-05-21 15:55:00+00:00,TN,ZB
2026-05-21 15:55:00+00:00,PL,SI
2026-05-21 15:55:00+00:00,CL,ZQ
2026-05-21 16:00:00+00:00,HG,PL
2026-05-21 16:00:00+00:00,ZF,ZT
2026-05-21 16:00:00+00:00,TN,ZN
2026-05-21 16:00:00+00:00,CL,ZT
2026-05-21 16:00:00+00:00,GC,ZQ
2026-05-21 16:00:00+00:00,ZF,ZN
2026-05-21 16:00:00+00:00,GC,SI
2026-05-21 16:00:00+00:00,SR3,ZT
2026-05-21 16:00:00+00:00,PA,PL
2026-05-21 16:00:00+00:00,UB,ZB
2026-05-21 16:00:00+00:00,TN,ZB
2026-05-21 16:00:00+00:00,PL,SI
2026-05-21 16:00:00+00:00,CL,ZQ
2026-05-21 16:05:00+00:00,HG,PL
2026-05-21 16:05:00+00:00,ZF,ZT
2026-05-21 16:05:00+00:00,TN,ZN
2026-05-21 16:05:00+00:00,CL,ZT
2026-05-21 16:05:00+00:00,GC,ZQ
2026-05-21 16:05:00+00:00,ZF,ZN
2026-05-21 16:05:00+00:00,GC,SI
2026-05-21 16:05:00+00:00,SR3,ZT
2026-05-21 16:05:00+00:00,PA,PL
2026-05-21 16:05:00+00:00,UB,ZB
2026-05-21 16:05:00+00:00,TN,ZB
2026-05-21 16:05:00+00:00,PL,SI
2026-05-21 16:05:00+00:00,CL,ZQ
2026-05-21 16:10:00+00:00,HG,PL
2026-05-21 16:10:00+00:00,ZF,ZT
2026-05-21 16:10:00+00:00,TN,ZN
2026-05-21 16:10:00+00:00,CL,ZT
2026-05-21 16:10:00+00:00,GC,ZQ
2026-05-21 16:10:00+00:00,ZF,ZN
2026-05-21 16:10:00+00:00,GC,SI
2026-05-21 16:10:00+00:00,SR3,ZT
2026-05-21 16:10:00+00:00,PA,PL
2026-05-21 16:10:00+00:00,UB,ZB
2026-05-21 16:10:00+00:00,TN,ZB
2026-05-21 16:10:00+00:00,PL,SI
2026-05-21 16:10:00+00:00,CL,ZQ
2026-05-21 16:15:00+00:00,HG,PL
2026-05-21 16:15:00+00:00,ZF,ZT
2026-05-21 16:15:00+00:00,TN,ZF
2026-05-21 16:15:00+00:00,TN,ZN
2026-05-21 16:15:00+00:00,CL,ZT
2026-05-21 16:15:00+00:00,GC,ZQ
2026-05-21 16:15:00+00:00,GC,SI
2026-05-21 16:15:00+00:00,SR3,ZT
2026-05-21 16:15:00+00:00,PA,PL
2026-05-21 16:15:00+00:00,UB,ZB
2026-05-21 16:15:00+00:00,TN,ZB
2026-05-21 16:15:00+00:00,PL,SI
2026-05-21 16:15:00+00:00,CL,ZQ
2026-05-21 16:20:00+00:00,HG,PL
2026-05-21 16:20:00+00:00,ZF,ZT
2026-05-21 16:20:00+00:00,TN,ZF
2026-05-21 16:20:00+00:00,TN,ZN
2026-05-21 16:20:00+00:00,CL,ZT
2026-05-21 16:20:00+00:00,GC,ZQ
