ts,spd_velocity,top_eigen_share,effective_rank,average_correlation,edge_persistence,stable,transition,spd_velocity_q40,spd_velocity_q80,edge_persistence_q60
2026-05-18 13:40:00+00:00,,,,,,False,False,,,
2026-05-18 13:45:00+00:00,,,,,,False,False,,,
2026-05-18 13:50:00+00:00,,,,,,False,False,,,
2026-05-18 14:10:00+00:00,,,,,,False,False,,,
2026-05-18 14:15:00+00:00,,,,,,False,False,,,
2026-05-18 14:20:00+00:00,,,,,,False,False,,,
2026-05-18 14:25:00+00:00,,,,,,False,False,,,
2026-05-18 14:40:00+00:00,,,,,,False,False,,,
2026-05-18 14:45:00+00:00,,,,,,False,False,,,
2026-05-18 14:50:00+00:00,,,,,,False,False,,,
2026-05-18 14:55:00+00:00,,,,,,False,False,,,
2026-05-18 15:05:00+00:00,,,,,,False,False,,,
2026-05-18 15:10:00+00:00,,,,,,False,False,,,
2026-05-18 15:15:00+00:00,,,,,,False,False,,,
2026-05-18 15:40:00+00:00,,,,,,False,False,,,
2026-05-18 15:45:00+00:00,,,,,,False,False,,,
2026-05-18 15:50:00+00:00,,,,,,False,False,,,
2026-05-18 16:05:00+00:00,,,,,,False,False,,,
2026-05-18 16:10:00+00:00,,,,,,False,False,,,
2026-05-18 16:15:00+00:00,,,,,,False,False,,,
2026-05-18 16:20:00+00:00,,,,,,False,False,,,
2026-05-18 16:25:00+00:00,,,,,,False,False,,,
2026-05-18 16:30:00+00:00,,,,,,False,False,,,
2026-05-18 16:40:00+00:00,,,,,,False,False,,,
2026-05-18 17:05:00+00:00,,,,,,False,False,,,
2026-05-18 17:10:00+00:00,,,,,,False,False,,,
2026-05-18 17:20:00+00:00,,,,,,False,False,,,
2026-05-18 18:05:00+00:00,,,,,,False,False,,,
2026-05-18 18:15:00+00:00,,,,,,False,False,,,
2026-05-18 18:25:00+00:00,,,,,,False,False,,,
2026-05-18 18:30:00+00:00,,,,,,False,False,,,
2026-05-18 19:00:00+00:00,,,,,,False,False,,,
2026-05-18 19:05:00+00:00,,,,,,False,False,,,
2026-05-18 19:10:00+00:00,,,,,,False,False,,,
2026-05-18 19:15:00+00:00,,,,,,False,False,,,
2026-05-18 19:25:00+00:00,,,,,,False,False,,,
2026-05-18 19:30:00+00:00,,,,,,False,False,,,
2026-05-18 19:50:00+00:00,,,,,,False,False,,,
2026-05-18 19:55:00+00:00,,,,,,False,False,,,
2026-05-18 20:05:00+00:00,,,,,,False,False,,,
2026-05-19 13:35:00+00:00,,,,,,False,False,,,
2026-05-19 13:40:00+00:00,,,,,,False,False,,,
2026-05-19 13:45:00+00:00,,,,,,False,False,,,
2026-05-19 13:50:00+00:00,,,,,,False,False,,,
2026-05-19 13:55:00+00:00,,,,,,False,False,,,
2026-05-19 14:00:00+00:00,,,,,,False,False,,,
2026-05-19 14:05:00+00:00,,,,,,False,False,,,
2026-05-19 14:10:00+00:00,,,,,,False,False,,,
2026-05-19 14:15:00+00:00,,,,,,False,False,,,
2026-05-19 14:20:00+00:00,,,,,,False,False,,,
2026-05-19 14:25:00+00:00,,,,,,False,False,,,
2026-05-19 14:30:00+00:00,,,,,,False,False,,,
2026-05-19 14:35:00+00:00,,,,,,False,False,,,
2026-05-19 14:40:00+00:00,,,,,,False,False,,,
2026-05-19 14:45:00+00:00,,,,,,False,False,,,
2026-05-19 14:50:00+00:00,,,,,,False,False,,,
2026-05-19 14:55:00+00:00,,,,,,False,False,,,
2026-05-19 15:00:00+00:00,,,,,,False,False,,,
2026-05-19 15:05:00+00:00,,,,,,False,False,,,
2026-05-19 15:10:00+00:00,,,,,,False,False,,,
2026-05-19 15:15:00+00:00,,,,,,False,False,,,
2026-05-19 15:20:00+00:00,,,,,,False,False,,,
2026-05-19 15:25:00+00:00,,,,,,False,False,,,
2026-05-19 15:30:00+00:00,,,,,,False,False,,,
2026-05-19 15:35:00+00:00,,,,,,False,False,,,
2026-05-19 15:40:00+00:00,,,,,,False,False,,,
2026-05-19 15:55:00+00:00,,,,,,False,False,,,
2026-05-19 16:00:00+00:00,,,,,,False,False,,,
2026-05-19 16:05:00+00:00,,,,,,False,False,,,
2026-05-19 16:10:00+00:00,,,,,,False,False,,,
2026-05-19 16:15:00+00:00,,,,,,False,False,,,
2026-05-19 16:20:00+00:00,,,,,,False,False,,,
2026-05-19 16:25:00+00:00,,,,,,False,False,,,
2026-05-19 16:30:00+00:00,,,,,,False,False,,,
2026-05-19 16:35:00+00:00,,,,,,False,False,,,
2026-05-19 16:40:00+00:00,,,,,,False,False,,,
2026-05-19 17:00:00+00:00,,,,,,False,False,,,
2026-05-19 17:05:00+00:00,,,,,,False,False,,,
2026-05-19 17:10:00+00:00,,,,,,False,False,,,
2026-05-19 17:15:00+00:00,,,,,,False,False,,,
2026-05-19 17:35:00+00:00,,,,,,False,False,,,
2026-05-19 17:55:00+00:00,,,,,,False,False,,,
2026-05-19 18:05:00+00:00,,,,,,False,False,,,
2026-05-19 18:25:00+00:00,,,,,,False,False,,,
2026-05-19 18:30:00+00:00,,,,,,False,False,,,
2026-05-19 18:35:00+00:00,,,,,,False,False,,,
2026-05-19 18:40:00+00:00,,,,,,False,False,,,
2026-05-19 18:45:00+00:00,,,,,,False,False,,,
2026-05-19 19:00:00+00:00,,,,,,False,False,,,
2026-05-19 19:05:00+00:00,,,,,,False,False,,,
2026-05-19 19:10:00+00:00,,,,,,False,False,,,
2026-05-19 19:20:00+00:00,,,,,,False,False,,,
2026-05-19 19:35:00+00:00,,,,,,False,False,,,
2026-05-19 19:50:00+00:00,,,,,,False,False,,,
