variant,halflife_bars,min_periods,entry_z,exit_z,stop_z,train_gross_return,train_cost_return,train_net_return,train_gross_to_cost,train_tstat,train_sharpe,train_max_drawdown,train_mean_gross_exposure,train_turnover,embargo_gross_return,embargo_cost_return,embargo_net_return,embargo_gross_to_cost,embargo_tstat,embargo_sharpe,embargo_max_drawdown,embargo_mean_gross_exposure,embargo_turnover,test_gross_return,test_cost_return,test_net_return,test_gross_to_cost,test_tstat,test_sharpe,test_max_drawdown,test_mean_gross_exposure,test_turnover,train_score,entries,closed_trades,decay_exits,flip_exits,stop_exits,invalid_exits,mean_hold_bars,std_hold_bars,max_hold_bars,open_trades_at_end
ewma1440_entry2.5_exit0.25_stop4,1440,1440,2.5,0.25,4.0,0.041144173567068294,0.19854882677475255,-0.15740465320768432,0.20722446078084902,-0.7469914777158174,-0.7469914777158174,-0.24555063147450912,0.4452152331353243,883.4166666666665,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.30998505262837983,0.11572695199348038,0.1942581006348994,2.6785899679259093,1.481933426558643,1.481933426558643,-0.05926039076451988,0.41942641137316133,514.75,-inf,837.0,836.0,694.0,9.0,133.0,0.0,357.3444976076555,323.0532989352953,1995.0,1.0
ewma1440_entry2.5_exit0.5_stop4,1440,1440,2.5,0.5,4.0,-0.0003454083047778056,0.20581835474706967,-0.20616376305184753,-0.0016782191520395649,-1.0423179251955044,-1.0423179251955044,-0.2612585505947879,0.3831533427106704,915.7083333333333,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.22029331500626395,0.11843213629587723,0.1018611787103867,1.8600805650917962,0.8579022446381512,0.8579022446381512,-0.06215309945775713,0.35704111540252553,526.2083333333333,-inf,853.0,852.0,716.0,3.0,133.0,0.0,291.5023474178404,268.08495998309473,1705.0,1.0
ewma1440_entry2.5_exit0.75_stop4,1440,1440,2.5,0.75,4.0,-0.02312554614905337,0.2139456908954683,-0.23707123704452177,-0.10809073112088188,-1.2951285239610713,-1.2951285239610713,-0.27724726813012895,0.3168454948095277,950.0694444444443,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.18202631696946653,0.12248366512969572,0.05954265183977084,1.4861272870690323,0.5403120336048491,0.5403120336048491,-0.05599834271865871,0.2998876927712493,545.5416666666666,-inf,874.0,874.0,740.0,1.0,133.0,0.0,231.45652173913044,211.3548775525354,1651.0,0.0
ewma720_entry2.5_exit0.75_stop4,720,720,2.5,0.75,4.0,0.08247944121003328,0.4391209331065447,-0.3566414918965115,0.18782853421843396,-1.8942542449491284,-1.8942542449491284,-0.4092401990038195,0.3352969554653988,1947.9722222222222,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.26707487726628043,0.22764973999155225,0.0394251372747281,1.17318331782936,0.3370956802529599,0.3370956802529599,-0.10880636551228666,0.3237529788807626,1012.7083333333333,-inf,1711.0,1711.0,1464.0,3.0,244.0,0.0,122.6656925774401,108.02185195775161,704.0,0.0
ewma1440_entry2_exit0.25_stop4,1440,1440,2.0,0.25,4.0,0.0012109910594758355,0.35996521673723936,-0.35875422567776355,0.0033641891026371363,-1.373091854975886,-1.373091854975886,-0.49933346398557016,0.7042244516001535,1604.1111111111109,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.4964464704716651,0.19967390904976567,0.2967725614218994,2.4862861293907628,1.9246588851659587,1.9246588851659587,-0.06878096964882076,0.6572712082614293,882.4166666666667,-inf,1626.0,1625.0,1473.0,17.0,135.0,0.0,354.3544615384615,316.09923060296586,2244.0,1.0
ewma1440_entry2_exit0.5_stop4,1440,1440,2.0,0.5,4.0,0.03824291913795756,0.3973617442588878,-0.3591188251209304,0.09624207586788139,-1.45496022389696,-1.45496022389696,-0.4847770154051897,0.6209705543866175,1766.75,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.44391712182979265,0.21823514286367407,0.2256819789661185,2.0341229923133706,1.5731783193636424,1.5731783193636424,-0.07113779331986383,0.5702125619744158,963.5,-inf,1727.0,1726.0,1587.0,4.0,135.0,0.0,274.2862108922364,251.74585601505484,1791.0,1.0
ewma720_entry2.5_exit0.5_stop4,720,720,2.5,0.5,4.0,0.06004191996528174,0.42603370541237884,-0.3659917854470972,0.1409323234347485,-1.8152724343282636,-1.8152724343282636,-0.42308077086289475,0.3997622728805087,1890.2777777777776,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.28838053002764386,0.21733785560990487,0.07104267441773897,1.3268766695906486,0.5632513386761304,0.5632513386761304,-0.09979317550564859,0.38140630564001426,969.1527777777777,-inf,1673.0,1673.0,1423.0,6.0,244.0,0.0,153.7925881649731,132.10199791454517,910.0,0.0
ewma720_entry2.5_exit0.25_stop4,720,720,2.5,0.25,4.0,0.022639637506135388,0.41309326360477006,-0.39045362609863477,0.05480514813670751,-1.7861657334048529,-1.7861657334048529,-0.44505029313548106,0.48278076793415714,1834.1944444444443,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.2997201724497466,0.20986634810153737,0.08985382434820914,1.42814784343003,0.6660960799313727,0.6660960799313727,-0.11572493738484077,0.4544813323472211,936.8333333333333,-inf,1646.0,1646.0,1380.0,22.0,244.0,0.0,192.95990279465371,166.15459897816382,1268.0,0.0
ewma1440_entry2_exit0.75_stop4,1440,1440,2.0,0.75,4.0,0.04353719082010141,0.4399844022066517,-0.39644721138655026,0.098951668744959,-1.7024222628474055,-1.7024222628474055,-0.4888407379100114,0.5356416307266662,1948.1944444444443,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.41351317545700506,0.24070091705215363,0.17281225840485137,1.7179542999722244,1.2753089365149444,1.2753089365149444,-0.0825779578997653,0.49171391787876295,1058.6944444444443,-inf,1854.0,1854.0,1717.0,2.0,135.0,0.0,208.722761596548,194.54435674644523,1693.0,0.0
ewma1440_entry2.5_exit0.25_stop3,1440,1440,2.5,0.25,3.0,-0.004361513927107111,0.4107976504707056,-0.41515916439781275,-0.010617183233909793,-2.0346795493741,-2.0346795493741,-0.4420394945253459,0.4380572637550423,1815.6944444444443,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.29548208160911554,0.2506225265277767,0.044859555081338764,1.1789925099824057,0.35680399461910367,0.35680399461910367,-0.11345042153512132,0.4095310488399485,1114.8194444444443,-inf,1768.0,1767.0,689.0,8.0,1070.0,0.0,163.71194114318052,254.5134203574978,1908.0,1.0
ewma1440_entry2.5_exit0.5_stop3,1440,1440,2.5,0.5,3.0,-0.04532154342912845,0.42247492651362306,-0.4677964699427515,-0.10727629164441553,-2.456757337254912,-2.456757337254912,-0.4934388678270616,0.37547806981853693,1862.0694444444443,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.2080750723905375,0.25525745856105764,-0.04718238617052013,0.8151576591081897,-0.4143206149590799,-0.4143206149590799,-0.1256732044131807,0.3491179773742022,1135.986111111111,-inf,1784.0,1783.0,710.0,3.0,1070.0,0.0,134.2361189007291,208.20899267141277,1705.0,1.0
ewma720_entry2_exit0.5_stop4,720,720,2.0,0.5,4.0,0.3004708497227545,0.7730618914642349,-0.47259104174148053,0.38867631820997034,-1.9366010184514617,-1.9366010184514617,-0.5111644391064685,0.6238825662904107,3393.652777777778,-0.0014044534102872763,0.0002123284013375624,-0.0016167818116248388,-6.614533908040208,-6.958097240497279,-6.958097240497279,-0.0037775820357818513,0.08888888888888889,1.0,0.6526397427048328,0.4042736199849357,0.2483661227198971,1.614351544206995,1.6524913170199718,1.6524913170199718,-0.10830146601027014,0.5842509655682472,1783.4444444444443,-inf,3258.0,3257.0,3001.0,9.0,247.0,0.0,145.69941664108075,127.4252533389036,921.0,0.0
ewma720_entry2_exit0.75_stop4,720,720,2.0,0.75,4.0,0.35090601025746165,0.8375841106308304,-0.48667810037336884,0.4189501756345105,-2.1026236252148114,-2.1026236252148114,-0.5113019614080788,0.5372196970577636,3674.9027777777774,-0.0018935852161314215,0.0002123284013375624,-0.002105913617468984,-8.918190897698022,-9.609925999061355,-9.609925999061355,-0.0037775820357818513,0.07222222222222222,1.0,0.6024274118647475,0.44099542005273984,0.16143199181200757,1.366062740045467,1.1305481934213062,1.1305481934213062,-0.09225005702928721,0.5094776344262744,1943.125,-inf,3450.0,3449.0,3199.0,3.0,247.0,0.0,111.70919106987533,102.40232611012317,737.0,0.0
ewma1440_entry1.5_exit0.25_stop4,1440,1440,1.5,0.25,4.0,0.10724888345990602,0.6012977957427019,-0.49404891228279596,0.17836234261832934,-1.7771710439260402,-1.7771710439260402,-0.612259565544219,0.8668059704962626,2626.4583333333335,-0.00031003967792170295,0.0002123284013375624,-0.0005223680792592654,-1.4601893857279975,-2.1669710683670114,-2.1669710683670114,-0.0037775820357818513,0.10555555555555556,1.0,0.6760963561240312,0.33630077656080487,0.33979557956322637,2.010391896914902,2.0274816980380175,2.0274816980380175,-0.1090992707105222,0.8306078286356041,1465.3333333333333,-inf,3001.0,2999.0,2839.0,25.0,135.0,0.0,304.1120373457819,299.06788524538314,2407.0,1.0
ewma1440_entry2.5_exit0.75_stop3,1440,1440,2.5,0.75,3.0,-0.06290987266214676,0.4352781955664341,-0.49818806822858097,-0.14452796694831266,-2.875755236737169,-2.875755236737169,-0.5221984840886331,0.308850539971868,1918.7222222222222,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.1679206619855222,0.2601668903153497,-0.0922462283298275,0.6454344047468326,-0.8805385490778529,-0.8805385490778529,-0.13942316995058174,0.2908346344536664,1158.4166666666665,-inf,1804.0,1804.0,733.0,1.0,1070.0,0.0,107.17849223946784,163.01831295230406,1651.0,0.0
ewma720_entry2_exit0.25_stop4,720,720,2.0,0.25,4.0,0.18643236528489512,0.7082256629504433,-0.5217932976655482,0.26323864699878907,-2.011427886533397,-2.011427886533397,-0.5534623329106546,0.7197261197586692,3117.3888888888887,-0.001233257992186182,0.0002123284013375624,-0.0014455863935237444,-5.80825732411338,-6.105433627016211,-6.105433627016211,-0.0037775820357818513,0.09513888888888888,1.0,0.6456552940820867,0.37492820231979396,0.2707270917622927,1.7220771606062772,1.6998064354478424,1.6998064354478424,-0.09560045077568347,0.6826019667461035,1653.2777777777778,-inf,3113.0,3111.0,2822.0,42.0,247.0,0.0,187.7746705239473,161.8802938048732,1274.0,1.0
ewma1440_entry1.5_exit0.5_stop4,1440,1440,1.5,0.5,4.0,0.16280376246886438,0.7182841234625705,-0.555480360993706,0.2266564958780521,-2.047039100661559,-2.047039100661559,-0.6513016884161668,0.7918579914673982,3152.7361111111113,-0.0005353974814939488,0.0002123284013375624,-0.0007477258828315113,-2.5215537729348183,-3.1120892126897473,-3.1120892126897473,-0.0037775820357818513,0.10416666666666667,1.0,0.675076751522125,0.3995434973473667,0.2755332541747583,1.6896201690280725,1.7002551430379433,1.7002551430379433,-0.09126317603680854,0.7569644177828909,1735.7638888888887,-inf,3406.0,3404.0,3263.0,6.0,135.0,0.0,222.48237367802585,231.3293278314051,1826.0,1.0
ewma1440_entry2_exit0.25_stop3,1440,1440,2.0,0.25,3.0,-0.03664978396079142,0.5457125812968563,-0.5823623652576478,-0.06715949973829666,-2.254270093846961,-2.254270093846961,-0.6564546133795552,0.7019053043953362,2412.958333333333,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.4784844402044719,0.3175786912673201,0.16090574893715176,1.5066641854812302,1.0553167012310314,1.0553167012310314,-0.09533335703101399,0.6553743117758238,1403.2916666666665,-inf,2579.0,2578.0,1473.0,16.0,1089.0,0.0,220.16873545384018,273.1971396520688,2244.0,1.0
ewma1440_entry2_exit0.5_stop3,1440,1440,2.0,0.5,3.0,-0.00035449655897815124,0.5905350223113326,-0.5908895188703107,-0.0006002972653351949,-2.426638982878186,-2.426638982878186,-0.6433269453859679,0.6181370098694535,2607.458333333333,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.4231593437820605,0.3382526427395668,0.08490670104249363,1.2510156324421284,0.6010910906035379,0.6010910906035379,-0.0993180769693412,0.567199441203057,1506.1805555555557,-inf,2680.0,2679.0,1586.0,4.0,1089.0,0.0,173.642030608436,214.90501014309498,1791.0,1.0
ewma1440_entry2_exit0.75_stop3,1440,1440,2.0,0.75,3.0,-0.0006838491383945235,0.6405225859955983,-0.6412064351339929,-0.001067642505270256,-2.8159384695162424,-2.8159384695162424,-0.6861418955736192,0.5322936888971554,2829.1111111111113,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.3930069353832327,0.36314447078683143,0.02986246459640124,1.0822330146778711,0.22448870861693884,0.22448870861693884,-0.11555952928251546,0.4884474210425398,1612.3194444444443,-inf,2807.0,2807.0,1716.0,2.0,1089.0,0.0,134.92732454577842,165.37035243437836,1693.0,0.0
ewma1440_entry1.5_exit0.25_stop3,1440,1440,1.5,0.25,3.0,0.08208524063083375,0.7558540375397635,-0.6737687969089299,0.1085993281163302,-2.431529926111853,-2.431529926111853,-0.7342775879929557,0.8659341106448275,3310.4166666666665,-0.00031003967792170295,0.0002123284013375624,-0.0005223680792592654,-1.4601893857279975,-2.1669710683670114,-2.1669710683670114,-0.0037775820357818513,0.10555555555555556,1.0,0.652748757085943,0.43386115666226543,0.21888760042367766,1.5045107105406725,1.3092259779991717,1.3092259779991717,-0.10627933175771236,0.8297381324129619,1908.8888888888887,-inf,3958.0,3956.0,2839.0,24.0,1093.0,0.0,228.4643579373104,264.0414393466144,2249.0,1.0
ewma1440_entry1.5_exit0.75_stop4,1440,1440,1.5,0.75,4.0,0.16786529565682526,0.8715137730597619,-0.7036484774029367,0.19261347421679167,-2.688361892271953,-2.688361892271953,-0.7887210796851994,0.7097084500656801,3809.9444444444443,-0.001233257992186182,0.0002123284013375624,-0.0014455863935237444,-5.80825732411338,-6.105433627016211,-6.105433627016211,-0.0037775820357818513,0.09513888888888888,1.0,0.6733339736514508,0.4930021142138804,0.18033185943757035,1.3657831360928738,1.166137462902524,1.166137462902524,-0.12482302514804247,0.6653655463335799,2147.625,-inf,3975.0,3974.0,3837.0,2.0,135.0,0.0,155.86235530951183,175.6601050276576,1711.0,0.0
ewma1440_entry1.5_exit0.5_stop3,1440,1440,1.5,0.5,3.0,0.1350559953929241,0.8816570541430215,-0.7466010587500975,0.1531842735883282,-2.7618839741778363,-2.7618839741778363,-0.8166818236033754,0.7905240458947026,3876.2222222222217,-0.0005353974814939488,0.0002123284013375624,-0.0007477258828315113,-2.5215537729348183,-3.1120892126897473,-3.1120892126897473,-0.0037775820357818513,0.10416666666666667,1.0,0.6530019002546389,0.503107758238295,0.14989414201634382,1.2979364550871169,0.929606953291687,0.929606953291687,-0.09196168439984777,0.7557454734708412,2204.6111111111113,-inf,4363.0,4361.0,3262.0,6.0,1093.0,0.0,171.77321715202936,202.5311097755405,1826.0,1.0
ewma720_entry2.5_exit0.75_stop3,720,720,2.5,0.75,3.0,0.014164186421080319,0.7690882928195188,-0.7549241063984385,0.01841685350475646,-4.135090877619924,-4.135090877619924,-0.773975960015667,0.32580530788277556,3427.222222222222,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.17141923808015685,0.40464478490900896,-0.23322554682885216,0.4236289320241784,-2.0847659084990844,-2.0847659084990844,-0.2560596881162005,0.31305640014243846,1780.6249999999998,-inf,3017.0,3017.0,1449.0,3.0,1565.0,0.0,66.26582698044415,90.03557431711326,689.0,0.0
