root,horizon,test_start,test_end,train_rows,test_rows,train_target_mean,train_target_std,train_pred_std,test_pred_std,train_r2,threshold_q80,threshold_q90,threshold_q95
GC,15m,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,25279,7520,1.741743295377911e-05,0.001385290790372207,7.092505545385267e-05,6.61472784132428e-05,0.0265054633744376,3.081980362393591e-05,7.493244240433577e-05,0.00015181841687437417
GC,15m,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,26831,6670,2.4856349420324398e-05,0.0014716551428002082,7.393332679073698e-05,6.56427343271793e-05,0.027381174853730483,3.937657167641403e-05,8.865604265596424e-05,0.00015949779259410727
GC,15m,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,27777,6483,2.2579557582251616e-05,0.0014638099188893116,7.103081141568053e-05,7.64286856424035e-05,0.028509922557428347,4.4182272456801937e-05,8.955564533064377e-05,0.00015311871949563632
GC,15m,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,27195,4172,3.038178439484273e-05,0.0015309332923856703,7.901605127586698e-05,0.0001382578973599694,0.02810897508334298,4.532961215311429e-05,0.00010305378905193833,0.00017911090076090836
GC,15m,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,25371,4568,3.928748107351758e-05,0.0017884383854724103,0.00012387897011058326,0.00012191143046036164,0.042661442877967914,4.7677836574638533e-05,0.00010980457446800784,0.00022942556550985534
GC,15m,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,22085,2880,3.922788320053914e-05,0.0019095142053335435,0.00016459301954192327,0.0005254094994338976,0.05448955281800438,5.312141123769076e-05,0.00012679688638852143,0.00032971481920978854
GC,15m,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,18463,2327,6.824540797811331e-05,0.0023476052038351744,0.0001645655183275168,0.0003974759257515133,0.05210966597884614,0.00011130925212354853,0.00021329944540270297,0.00037771821202303187
GC,15m,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,14282,4240,0.00010519513107814686,0.003820226638186169,0.00042511647105139327,0.0004308691773096638,0.0939310497416519,0.0002955501508917297,0.0005843355039356756,0.0009300567325554623
GC,15m,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,14414,1606,3.046628349748995e-05,0.004054992520953211,0.00029117667767029844,0.0001956034110229213,0.05148590246345841,0.00018290847086245118,0.00035920521013841706,0.0005676839500790078
GC,1h,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,25278,7520,6.938215275331987e-05,0.0027722589754127897,0.00045723076450080553,0.000334966567743923,0.14727346041465417,0.00027699904053364393,0.0005869039432181082,0.0009571624082603773
