variant,root,events,mean_event_return,median_event_return,event_tstat,win_rate,mean_duration_days
neg_z2.5_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z2.5_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z2.5_root1.5_exit0.5_mdq95_normq50_post2020_topo_exit,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z2.5_root1.5_exit0.5_mdq95_normq50_post2020_topo_hold,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z2_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_exit,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_hold,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z3_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z3_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z3_root1.5_exit0.5_mdq95_normq50_post2020_topo_exit,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z3_root1.5_exit0.5_mdq95_normq50_post2020_topo_hold,PL,7,0.02697870177084005,0.020773667252554615,3.1714927065956666,1.0,1.5714285714285714
neg_z2.5_root2_exit0.25_mdq95_normq50_post2020_topo_exit,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z2.5_root2_exit0.25_mdq95_normq50_post2020_topo_hold,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z2.5_root2_exit0.5_mdq95_normq50_post2020_topo_exit,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z2.5_root2_exit0.5_mdq95_normq50_post2020_topo_hold,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_exit,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z2_root2_exit0.25_mdq95_normq50_post2020_topo_hold,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z2_root2_exit0.5_mdq95_normq50_post2020_topo_exit,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z2_root2_exit0.5_mdq95_normq50_post2020_topo_hold,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z3_root2_exit0.25_mdq95_normq50_post2020_topo_exit,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z3_root2_exit0.25_mdq95_normq50_post2020_topo_hold,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z3_root2_exit0.5_mdq95_normq50_post2020_topo_exit,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z3_root2_exit0.5_mdq95_normq50_post2020_topo_hold,PL,6,0.02464903652694367,0.015638204585022963,2.5462918765352893,1.0,1.6666666666666667
neg_z3_root2_exit0.25_mdq90_normq50_post2020_topo_exit,HG,15,0.019835547340383303,0.021287555472115388,3.5076355898101164,0.8,1.2666666666666666
neg_z3_root2_exit0.25_mdq90_normq50_post2020_topo_hold,HG,15,0.019835547340383303,0.021287555472115388,3.5076355898101164,0.8,1.2666666666666666
neg_z3_root2_exit0.5_mdq90_normq50_post2020_topo_exit,HG,15,0.019835547340383303,0.021287555472115388,3.5076355898101164,0.8,1.2666666666666666
neg_z3_root2_exit0.5_mdq90_normq50_post2020_topo_hold,HG,15,0.019835547340383303,0.021287555472115388,3.5076355898101164,0.8,1.2666666666666666
neg_z2.5_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,PL,12,0.019607302008104805,0.015638204585022963,2.1667788255032745,0.9166666666666666,1.9166666666666667
neg_z2.5_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,PL,12,0.019410423970621486,0.015638204585022963,2.1116905500216907,0.9166666666666666,1.75
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,PL,14,0.01849117008233066,0.015638204585022963,2.368673753425521,0.9285714285714286,1.8571428571428572
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,PL,14,0.01832241747877353,0.015638204585022963,2.3120207494200264,0.9285714285714286,1.7142857142857142
neg_z3_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,HG,18,0.018025157831734348,0.01783248782476808,3.3501554334033417,0.7222222222222222,1.2777777777777777
neg_z3_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,HG,18,0.018025157831734348,0.01783248782476808,3.3501554334033417,0.7222222222222222,1.2777777777777777
neg_z3_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,HG,18,0.018025157831734348,0.01783248782476808,3.3501554334033417,0.7222222222222222,1.2777777777777777
neg_z3_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,HG,18,0.018025157831734348,0.01783248782476808,3.3501554334033417,0.7222222222222222,1.2777777777777777
neg_z2.5_root2_exit0.25_mdq90_normq50_post2020_topo_exit,HG,18,0.01733429493792914,0.01603002619543894,3.493870505135813,0.7777777777777778,1.2777777777777777
neg_z2.5_root2_exit0.25_mdq90_normq50_post2020_topo_hold,HG,18,0.01733429493792914,0.01603002619543894,3.493870505135813,0.7777777777777778,1.2777777777777777
neg_z2.5_root2_exit0.5_mdq90_normq50_post2020_topo_exit,HG,18,0.01733429493792914,0.01603002619543894,3.493870505135813,0.7777777777777778,1.2777777777777777
neg_z2.5_root2_exit0.5_mdq90_normq50_post2020_topo_hold,HG,18,0.01733429493792914,0.01603002619543894,3.493870505135813,0.7777777777777778,1.2777777777777777
neg_z2.5_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,PL,12,0.0173298509741023,0.008984775413830193,1.879257566568836,0.8333333333333334,1.6666666666666667
neg_z2.5_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,PL,12,0.017132972936618984,0.008984775413830193,1.8309363171123687,0.8333333333333334,1.5
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,PL,14,0.016539069196042797,0.008984775413830193,2.0846710903790937,0.8571428571428571,1.6428571428571428
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,PL,14,0.016370316592485668,0.008984775413830193,2.034352343711856,0.8571428571428571,1.5
neg_z2.5_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,HG,22,0.0154433623013226,0.01156177631102628,3.3558911359224237,0.7272727272727273,1.3181818181818181
neg_z2.5_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,HG,22,0.0154433623013226,0.01156177631102628,3.3558911359224237,0.7272727272727273,1.3181818181818181
neg_z2.5_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,HG,22,0.0154433623013226,0.01156177631102628,3.3558911359224237,0.7272727272727273,1.3181818181818181
neg_z2.5_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,HG,22,0.0154433623013226,0.01156177631102628,3.3558911359224237,0.7272727272727273,1.3181818181818181
neg_z3_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,PL,10,0.014826511524462465,0.008984775413830193,1.5066106142758462,0.9,1.8
neg_z3_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,PL,10,0.014826511524462465,0.008984775413830193,1.5066106142758462,0.9,1.8
neg_z3_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,PL,10,0.014590257879482487,0.008984775413830193,1.456015340656083,0.9,1.6
neg_z3_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,PL,10,0.014590257879482487,0.008984775413830193,1.456015340656083,0.9,1.6
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_exit,HG,20,0.014497505059250062,0.01603002619543894,2.683186840196853,0.75,1.35
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_hold,HG,20,0.014497505059250062,0.01603002619543894,2.683186840196853,0.75,1.35
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_exit,HG,20,0.014497505059250062,0.01603002619543894,2.683186840196853,0.75,1.35
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_hold,HG,20,0.014497505059250062,0.01603002619543894,2.683186840196853,0.75,1.35
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,HG,24,0.013236948455473907,0.01156177631102628,2.7087499742888563,0.7083333333333334,1.375
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,HG,24,0.013236948455473907,0.01156177631102628,2.7087499742888563,0.7083333333333334,1.375
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,HG,24,0.013236948455473907,0.01156177631102628,2.7087499742888563,0.7083333333333334,1.375
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,HG,24,0.013236948455473907,0.01156177631102628,2.7087499742888563,0.7083333333333334,1.375
neg_z2.5_root2_exit0.25_mdq90_normq50_post2020_topo_hold,PL,10,0.013182636016103252,0.008984775413830193,1.3895599920700887,0.9,2.1
