variant,split,start,end,bars,net_return_after_all_costs,carry_adjusted_net,total_cost_return,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,events
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.3526082184207529,0.352599495990507,0.08169321581240593,0.6886928652894615,2.7578442690971325,-0.03900898757952781,148
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.04641464867569131,0.04641464867569131,0.05157007422233662,0.19134342075229663,0.6046006111134903,-0.03639910777879512,92
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.3061935697450616,0.3061848473148157,0.030123141590069312,1.218917991550888,2.9985351132127813,-0.039008987579527865,56
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.066295637345323,0.06628691491507707,0.007718487563131838,1.1020374525101937,1.4710222925755776,-0.027844760142118778,15
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.3418344613370836,0.34183861228617696,0.08168396747802364,0.6695248564760242,2.681086710074181,-0.04599179573996269,148
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.03682196071452373,0.03682196071452373,0.05156102499035249,0.1529909938905843,0.4834158814420448,-0.04599179573996269,92
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.30501250062255986,0.30501665157165325,0.030122942487671153,1.2142697449408635,2.9871004385491506,-0.039008987579527865,56
neg_z2_root1.5_exit0.25_mdq90_normq50_all_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.06511456822282126,0.06511871917191464,0.00771828846073368,1.0826836007268825,1.445188372543544,-0.02808971088131678,15
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.3061935697450616,0.30618484731481566,0.03012314159006931,0.7475796941893453,2.9936543257884995,-0.039008987579527865,56
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.3061935697450616,0.3061848473148157,0.030123141590069312,1.218917991550888,2.9985351132127813,-0.039008987579527865,56
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.066295637345323,0.06628691491507707,0.007718487563131838,1.1020374525101937,1.4710222925755776,-0.027844760142118778,15
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.30501250062255986,0.30501665157165325,0.030122942487671153,0.7447392328377257,2.9822798068193457,-0.039008987579527865,56
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.30501250062255986,0.30501665157165325,0.030122942487671153,1.2142697449408635,2.9871004385491506,-0.039008987579527865,56
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.06511456822282126,0.06511871917191464,0.00771828846073368,1.0826836007268825,1.445188372543544,-0.02808971088131678,15
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.0989350808751021,0.09891431405715127,0.04492783379580179,0.24365846827788346,0.9757210277976566,-0.06498495433966806,87
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.01698545947447018,-0.01698545947447018,0.030110628683562762,-0.07657060543077375,-0.24194526602880384,-0.06406602228915248,58
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.6442908126698655,1.584953736266461,-0.04446356996688167,29
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.0893423929139345,0.08932162609598368,0.04491878456381766,0.22101840599076963,0.8850597632813237,-0.07457764230083563,87
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.02657814743563777,-0.02657814743563777,0.030101579451578632,-0.12094940318362424,-0.38217192308533265,-0.07365871025032004,58
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.6442908126698655,1.584953736266461,-0.04446356996688167,29
