root,date,target_months,min_volume,anchor,far,anchor_months_out,far_months_out,months_from_anchor,anchor_close,far_close,anchor_volume,far_volume,anchor_last_ts,far_last_ts,leg_ts_gap_minutes,log_spread,carry_pct_ann,next_date,anchor_next_close,far_next_close,next_leg_ts_gap_minutes,spread_return
GC,2023-06-22 00:00:00+00:00,1,10.0,GCQ3,GCV3,2.0,4.0,2.0,1924.3,1943.3,160019.0,649.0,2023-06-22 23:59:00+00:00,2023-06-22 23:20:00+00:00,39.0,0.009825293644144382,5.89517618648663,2023-06-23 00:00:00+00:00,1930.3,1950.0,6.0,0.0003286476798184377
GC,2023-06-23 00:00:00+00:00,1,10.0,GCQ3,GCV3,2.0,4.0,2.0,1930.3,1950.0,172134.0,743.0,2023-06-23 20:59:00+00:00,2023-06-23 20:53:00+00:00,6.0,0.010153941323963037,6.092364794377822,2023-06-25 00:00:00+00:00,1935.1,,,
GC,2023-06-25 00:00:00+00:00,1,10.0,GCQ3,GCZ3,2.0,6.0,4.0,1935.1,1973.2,4898.0,41.0,2023-06-25 23:59:00+00:00,2023-06-25 23:46:00+00:00,13.0,0.019497585644481622,5.849275693344487,2023-06-26 00:00:00+00:00,1932.2,1970.9,7.0,0.00033345547055791997
GC,2023-06-26 00:00:00+00:00,1,10.0,GCQ3,GCV3,2.0,4.0,2.0,1932.2,1950.6,137993.0,361.0,2023-06-26 23:59:00+00:00,2023-06-26 23:43:00+00:00,16.0,0.009477767454505468,5.686660472703281,2023-06-27 00:00:00+00:00,1924.5,1943.1,76.0,0.00014067467867483457
GC,2023-06-27 00:00:00+00:00,1,10.0,GCQ3,GCV3,2.0,4.0,2.0,1924.5,1943.1,169739.0,734.0,2023-06-27 23:59:00+00:00,2023-06-27 22:43:00+00:00,76.0,0.009618442133180275,5.771065279908165,2023-06-28 00:00:00+00:00,1917.5,1937.5,32.0,0.0007577858529106713
GC,2023-06-28 00:00:00+00:00,1,10.0,GCQ3,GCV3,2.0,4.0,2.0,1917.5,1937.5,147592.0,636.0,2023-06-28 23:59:00+00:00,2023-06-28 23:27:00+00:00,32.0,0.010376227986090798,6.225736791654478,2023-06-29 00:00:00+00:00,1916.7,1935.0,61.0,-0.0008738587986160033
GC,2023-06-29 00:00:00+00:00,1,10.0,GCQ3,GCV3,2.0,4.0,2.0,1916.7,1935.0,193821.0,727.0,2023-06-29 23:59:00+00:00,2023-06-29 22:58:00+00:00,61.0,0.009502369187474918,5.70142151248495,2023-06-30 00:00:00+00:00,1927.8,1945.3,10.0,-0.00046561873357118394
GC,2023-06-30 00:00:00+00:00,1,10.0,GCQ3,GCU3,2.0,3.0,1.0,1927.8,1934.0,167607.0,23.0,2023-06-30 20:59:00+00:00,2023-06-30 14:30:00+00:00,389.0,0.003210940663371823,3.853128796046188,2023-07-02 00:00:00+00:00,1926.1,,,
GC,2023-07-02 00:00:00+00:00,1,10.0,GCQ3,GCZ3,1.0,5.0,4.0,1926.1,1964.6,2825.0,15.0,2023-07-02 23:59:00+00:00,2023-07-02 23:59:00+00:00,0.0,0.019791429150592534,5.937428745177761,2023-07-03 00:00:00+00:00,1929.0,1966.8,55.0,-0.00038530651853733696
GC,2023-07-03 00:00:00+00:00,1,10.0,GCQ3,GCU3,1.0,2.0,1.0,1929.0,1938.3,141245.0,33.0,2023-07-03 23:59:00+00:00,2023-07-03 17:09:00+00:00,410.0,0.004809566326500414,5.771479591800497,2023-07-04 00:00:00+00:00,1933.9,1942.2,359.0,
