root,side,events,mean_weighted_net_return,mean_gross_spread_return,win_rate,event_tstat,mean_duration_days,mean_rolls
GC,fade_backwardation,25,0.0002654074801500768,0.0014636328688652567,0.64,3.042409509004184,2.72,0.12
GC,fade_contango,2,0.0011263096436528851,0.005741705853840935,1.0,4.859451048658425,4.5,0.0
HG,fade_backwardation,8,0.00025844509740957693,0.001452302323929499,0.625,0.49520291608111144,3.125,0.0
HG,fade_contango,6,0.0006617389908757671,0.0034687717912604507,0.8333333333333334,2.919957039014812,10.666666666666666,0.0
PA,fade_backwardation,4,0.0026172112162245837,0.014204832885150514,1.0,4.279049651371181,1.75,0.0
PA,fade_contango,20,0.0013539453532394425,0.007888503570224808,0.9,5.367523358575901,2.55,0.0
PL,fade_backwardation,11,0.0004827086098441576,0.0030193861731343486,0.8181818181818182,3.039319604183284,10.727272727272727,0.09090909090909091
PL,fade_contango,33,0.00033522796614993226,0.0022509140765138084,0.7878787878787878,3.924653964919514,6.575757575757576,0.06060606060606061
SI,fade_backwardation,12,0.0006655768098555358,0.003701785713140168,0.9166666666666666,4.073211133089974,2.6666666666666665,0.0
SI,fade_contango,6,0.0015749878500748375,0.008248840914236675,1.0,1.9921235644917257,5.0,0.0
