variant,target_months,min_volume,lookback,entry_z,exit_z,side_mode,cost_multiplier,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
target3m_minv10_lb252_entry1p5_exit0p25_both_costx1p0,3,10.0,252,1.5,0.25,both,1.0,0.10059829770117451,0.02548186093365363,0.08127919274187831,0.027111621140612836,0.009928076092833782,2.7308031170492706,4.72827075056929,-0.006480720220838663,0.11634408602150537,0.23268817204301073,0.05548387096774195,0.4860215053763441,127,0.8031496062992126,0.000679391490986024,7.7724300227217675,930,310.2123287671233
target3m_minv10_lb126_entry1p5_exit0p25_both_costx1p0,3,10.0,126,1.5,0.25,both,1.0,0.09922601947721305,0.02434489650530672,0.08003684752263143,0.02669722242706953,0.009458629669558849,2.8225253931857006,4.887084014229299,-0.0067710750249830864,0.13333333333333333,0.26666666666666666,0.058494623655913985,0.5397849462365591,132,0.8333333333333334,0.000647981995728893,7.805289612279049,930,310.2123287671233
target1m_minv10_lb252_entry1p5_exit0p25_both_costx1p0,1,10.0,252,1.5,0.25,both,1.0,0.08704877130985403,0.01446658550350557,0.07510611850993255,0.025052520352285723,0.008792972170333188,2.8491526945588435,4.933188066719639,-0.0049385462374566735,0.06402569593147751,0.12805139186295503,0.04325481798715204,0.28051391862955033,98,0.8979591836734694,0.0007716709410815995,7.415044975739625,934,311.54657534246576
target1m_minv10_lb126_entry1p5_exit0p25_both_costx1p0,1,10.0,126,1.5,0.25,both,1.0,0.07710262673470014,0.01337792386481621,0.06611444511902737,0.022053242995182416,0.008038313616691052,2.7435161212658143,4.750282782712382,-0.00497927707067195,0.046895074946466817,0.09379014989293363,0.04325481798715204,0.20235546038543897,97,0.8762886597938144,0.0007147172906054977,7.207594139849105,934,311.54657534246576
target3m_minv10_lb126_entry2p0_exit0p25_both_costx1p0,3,10.0,126,2.0,0.25,both,1.0,0.07305875413744031,0.012812721295802465,0.06278256748807554,0.020941856415543005,0.00892307165961684,2.346933568887449,4.063616771937171,-0.006742034912217053,0.07548387096774194,0.15096774193548387,0.031827956989247314,0.3473118279569892,74,0.918918918918919,0.0009001125734501148,6.87089994588615,930,310.2123287671233
target3m_minv10_lb252_entry2p0_exit0p25_both_costx1p0,3,10.0,252,2.0,0.25,both,1.0,0.07156064302334451,0.013654692502607643,0.06100160056011161,0.020347794159434492,0.008945365643394026,2.2746743923722037,3.938503046731512,-0.006408811345149256,0.07763440860215053,0.15526881720430105,0.031397849462365596,0.35591397849462364,73,0.821917808219178,0.0008833449194797803,6.433538466022475,930,310.2123287671233
target1m_minv10_lb252_entry1p5_exit0p25_both_costx3p0,1,10.0,252,1.5,0.25,both,3.0,0.08704877130985403,0.0433997565105167,0.05122081291008958,0.017085298552886045,0.008226861931519966,2.0767698175930644,3.595839598572289,-0.005729778570134457,0.06402569593147751,0.12805139186295503,0.04325481798715204,0.28051391862955033,98,0.826530612244898,0.0006185051613494466,6.2118967176274955,934,311.54657534246576
target1m_minv10_lb126_entry2p0_exit0p25_both_costx1p0,1,10.0,126,2.0,0.25,both,1.0,0.05775245710844047,0.00810444421828456,0.051176750147021555,0.017070600905205135,0.007558018219720551,2.2586080648316167,3.910684876280137,-0.004938546237456674,0.022483940042826552,0.044967880085653104,0.023982869379014986,0.10278372591006424,54,0.9259259259259259,0.0009950469346279268,6.4168227089682865,934,311.54657534246576
target3m_minv10_lb252_entry1p5_exit0p25_contango_only_costx1p0,3,10.0,252,1.5,0.25,contango_only,1.0,0.06406564803800865,0.017690423514757914,0.05083475888888572,0.01695652573896394,0.006869357549884296,2.4684296334596154,4.273982098107804,-0.002437703788244365,0.06946236559139785,0.1389247311827957,0.02967741935483871,0.3161290322580645,69,0.855072463768116,0.0007973243722441094,6.544954847037924,930,310.2123287671233
target6m_minv10_lb126_entry1p5_exit0p25_both_costx1p0,6,10.0,126,1.5,0.25,both,1.0,0.055563922238352687,0.008428967125990242,0.05044192440865759,0.016856278948089835,0.007816863810964945,2.1563992101851692,3.7303031995796716,-0.003622355312385861,0.03174971031286211,0.06349942062572422,0.03198146002317498,0.14716106604866744,68,0.8088235294117647,0.0007148088109309982,5.25958855540894,863,288.39043915828
target1m_minv10_lb252_entry2p0_exit0p25_both_costx1p0,1,10.0,252,2.0,0.25,both,1.0,0.05642272339216053,0.007927612689393515,0.049923384508332856,0.016652526202437054,0.007664033682939587,2.172814850684461,3.7621375341020427,-0.004938546237456674,0.02762312633832976,0.05524625267665952,0.023982869379014986,0.12633832976445397,55,0.8909090909090909,0.0009312769491645034,5.748388220052672,934,311.54657534246576
target1m_minv500_lb126_entry1p5_exit0p25_both_costx1p0,1,500.0,126,1.5,0.25,both,1.0,0.06544606055960396,0.020342791075323274,0.04660817617563364,0.015575147619533566,0.007034428721973009,2.2141311306321785,3.830172262109548,-0.0070969001449745,0.2012406947890819,0.4024813895781638,0.07220843672456576,0.6240694789081885,134,0.8880597014925373,0.0003740892892884427,5.960685107066645,806,269.3426349496798
target1m_minv10_lb126_entry1p5_exit0p25_both_costx3p0,1,10.0,126,1.5,0.25,both,3.0,0.07710262673470014,0.04013377159444863,0.04413808188768182,0.014722771150206197,0.007549255030597666,1.950228345781638,3.3767383619564235,-0.005364992994705487,0.046895074946466817,0.09379014989293363,0.04325481798715204,0.20235546038543897,97,0.8247422680412371,0.0005717946651709448,6.00440156865601,934,311.54657534246576
target6m_minv10_lb252_entry1p5_exit0p25_both_costx1p0,6,10.0,252,1.5,0.25,both,1.0,0.04857368856179539,0.007860912948206103,0.04399818124669782,0.014702960384589552,0.008435905149650208,1.742902524834482,3.015005215285379,-0.00602747007600438,0.03545770567786791,0.07091541135573581,0.031517960602549244,0.17149478563151796,67,0.746268656716418,0.0006253849635170544,4.247746520622005,863,288.39043915828
target3m_minv10_lb126_entry1p5_exit0p25_contango_only_costx1p0,3,10.0,126,1.5,0.25,contango_only,1.0,0.055229516276135884,0.014787106650610763,0.043800015607318145,0.014610005206002698,0.006200249885911362,2.3563574815267625,4.07993388034026,-0.002437703788244365,0.0756989247311828,0.1513978494623656,0.02967741935483871,0.32688172043010755,69,0.8260869565217391,0.0006914696250119151,5.727287533336578,930,310.2123287671233
target3m_minv10_lb252_entry1p5_exit0p25_both_costx3p0,3,10.0,252,1.5,0.25,both,3.0,0.10059829770117451,0.07644558280096089,0.04264098282328593,0.014223396325301542,0.00946817784134106,1.5022316398829867,2.601050906633453,-0.0071475541115439065,0.11634408602150537,0.23268817204301073,0.05548387096774195,0.4860215053763441,127,0.7165354330708661,0.0004743868440259593,5.617311117734223,930,310.2123287671233
target3m_minv10_lb126_entry2p0_exit0p25_both_costx3p0,3,10.0,126,2.0,0.25,both,3.0,0.07305875413744031,0.0384381638874074,0.04223019418934598,0.014086372993295545,0.008559170624008882,1.6457637792361086,2.849570769538589,-0.00695900511894228,0.07548387096774194,0.15096774193548387,0.031827956989247314,0.3473118279569892,74,0.8783783783783784,0.0007257767977168218,5.809602849181242,930,310.2123287671233
target3m_minv10_lb126_entry1p5_exit0p25_both_costx3p0,3,10.0,126,1.5,0.25,both,3.0,0.09922601947721305,0.07303468951592018,0.04165850361346818,0.013895678945040414,0.00908910954269104,1.5288273157863466,2.6471002009529045,-0.007673805916458186,0.13333333333333333,0.26666666666666666,0.058494623655913985,0.5397849462365591,132,0.7424242424242424,0.0004636825638921237,5.817822859976745,930,310.2123287671233
target6m_minv10_lb126_entry1p5_exit0p25_both_costx3p0,6,10.0,126,1.5,0.25,both,3.0,0.055563922238352687,0.02528690137797073,0.04019792874926742,0.013433022393110637,0.007535387149243334,1.7826585584868746,3.0837782230084625,-0.0036664183666164675,0.03174971031286211,0.06349942062572422,0.03198146002317498,0.14716106604866744,68,0.7058823529411765,0.0005893893387183219,4.363109432159038,863,288.39043915828
target1m_minv500_lb252_entry1p5_exit0p25_both_costx1p0,1,500.0,252,1.5,0.25,both,1.0,0.058938305815931444,0.02024222592963449,0.04017606921688143,0.013425717549374149,0.007113894617850586,1.8872528018176682,3.2647132923182736,-0.007181752165014016,0.1992555831265509,0.3985111662531018,0.06774193548387097,0.6464019851116626,127,0.8661417322834646,0.00035707296429150136,5.550398608748184,806,269.3426349496798
target3m_minv10_lb252_entry2p0_exit0p25_both_costx3p0,3,10.0,252,2.0,0.25,both,3.0,0.07156064302334451,0.04096407750782293,0.03988351563364581,0.013303611036702407,0.008526145092570853,1.5603312977038515,2.7016480207122275,-0.006717750831447133,0.07763440860215053,0.15526881720430105,0.031397849462365596,0.35591397849462364,73,0.7808219178082192,0.0006894691961559296,5.23385078794923,930,310.2123287671233
target3m_minv500_lb126_entry1p5_exit0p25_both_costx1p0,3,500.0,126,1.5,0.25,both,1.0,0.050946396753626465,0.014391776534246396,0.03841712173389352,0.012837926544651976,0.008564402904912005,1.4989867580014185,2.593061188804691,-0.008104664472577624,0.14954007884362683,0.29908015768725366,0.048883048620236534,0.5492772667542707,93,0.7741935483870968,0.00042985470742510615,3.7782683469955933,761,254.30489478499544
target1m_minv10_lb252_entry1p5_exit0p25_contango_only_costx1p0,1,10.0,252,1.5,0.25,contango_only,1.0,0.04523967663384594,0.008357862345629118,0.03822844318108556,0.012751542348759361,0.005821180898795276,2.1905421890253165,3.7928316748986455,-0.0025124841210168655,0.019057815845824416,0.03811563169164883,0.018843683083511777,0.09100642398286937,44,0.8863636363636364,0.0009262082628943679,6.043700944420204,934,311.54657534246576
target1m_minv10_lb126_entry2p0_exit0p25_both_costx3p0,1,10.0,126,2.0,0.25,both,3.0,0.05775245710844047,0.024313332654853678,0.03802533622418373,0.012683793658340737,0.007107461609021317,1.784574346802173,3.089915429464763,-0.005130638441714612,0.022483940042826552,0.044967880085653104,0.023982869379014986,0.10278372591006424,54,0.9074074074074074,0.0008427512145672168,5.6322066903833505,934,311.54657534246576
target6m_minv10_lb126_entry2p0_exit0p25_both_costx1p0,6,10.0,126,2.0,0.25,both,1.0,0.03959890347096758,0.0035103634422697745,0.03730416852015256,0.01246600873923671,0.007493742692764532,1.6635223879881913,2.8776874231705487,-0.003622355312385861,0.015527230590961763,0.031054461181923527,0.014368482039397452,0.07300115874855156,30,0.8,0.0011700427405927666,4.310861528199107,863,288.39043915828
target1m_minv10_lb252_entry2p0_exit0p25_both_costx3p0,1,10.0,252,2.0,0.25,both,3.0,0.05642272339216053,0.023782838068180545,0.03692470674067751,0.012316665878568455,0.0072158041469523185,1.7069013553770782,2.9554279114259923,-0.005130638441714611,0.02762312633832976,0.05524625267665952,0.023982869379014986,0.12633832976445397,55,0.8545454545454545,0.0007830000192850387,5.023539362035365,934,311.54657534246576
target1m_minv10_lb252_entry1p5_exit0p25_backwardation_only_costx1p0,1,10.0,252,1.5,0.25,backwardation_only,1.0,0.04180909467600809,0.006108723157876451,0.03687767532884699,0.012300978003526359,0.006302696475363025,1.951700839729529,3.3792879233000206,-0.00497927707067195,0.044967880085653104,0.08993576017130621,0.02441113490364026,0.21627408993576017,57,0.9122807017543859,0.0006765990094264711,5.031526172490004,934,311.54657534246576
target3m_minv10_lb252_entry2p0_exit0p25_contango_only_costx1p0,3,10.0,252,2.0,0.25,contango_only,1.0,0.043793799322148365,0.009121183800946944,0.036620147512885046,0.012215076601900698,0.005859568134180915,2.0846376937996283,3.6094624953327097,-0.002437703788244365,0.04365591397849463,0.08731182795698926,0.015913978494623657,0.2,37,0.8648648648648649,0.0010548149412402368,5.374280360966243,930,310.2123287671233
target3m_minv10_lb126_entry1p5_exit0p25_backwardation_only_costx1p0,3,10.0,126,1.5,0.25,backwardation_only,1.0,0.043996503201077175,0.00955778985469596,0.036236831915313295,0.012087217221066834,0.007141488687459579,1.6925346730986115,2.930552605265731,-0.006986777669050157,0.05763440860215053,0.11526881720430106,0.028817204301075268,0.25806451612903225,67,0.835820895522388,0.0005832348262628476,5.416758990362769,930,310.2123287671233
target3m_minv500_lb252_entry1p5_exit0p25_both_costx1p0,3,500.0,252,1.5,0.25,both,1.0,0.047585793238528504,0.013259659863711698,0.03593807844140987,0.012009499680443693,0.008515170093703171,1.410365212707204,2.4397569061833315,-0.007261815754328397,0.16662286465177398,0.33324572930354796,0.040473061760841,0.5834428383705651,76,0.7763157894736842,0.0004366869741225141,3.5275534431958686,761,254.30489478499544
target1m_minv10_lb126_entry1p5_exit0p25_contango_only_costx1p0,1,10.0,126,1.5,0.25,contango_only,1.0,0.041830561859403495,0.008028046879664037,0.03528277183320366,0.011768979371760399,0.005432651870182647,2.1663415313532184,3.750929253921785,-0.0025124841210168655,0.02119914346895075,0.0423982869379015,0.021413276231263382,0.09850107066381156,50,0.84,0.000752229676475707,5.674970324675635,934,311.54657534246576
target6m_minv10_lb252_entry1p5_exit0p25_both_costx3p0,6,10.0,252,1.5,0.25,both,3.0,0.04857368856179539,0.02358273884461831,0.03484716661650267,0.011644947490098445,0.00825001930141742,1.4115054843687156,2.441729434742624,-0.006177030741549374,0.03545770567786791,0.07091541135573581,0.031517960602549244,0.17149478563151796,67,0.6716417910447762,0.000506571979447236,3.4577223609771846,863,288.39043915828
target1m_minv1000_lb126_entry1p5_exit0p25_both_costx1p0,1,1000.0,126,1.5,0.25,both,1.0,0.04587056557237576,0.01190411636008927,0.03429514792840708,0.011460478299039968,0.006032178941861969,1.8998903065535435,3.2865746082231757,-0.007764939611056065,0.1671794871794872,0.3343589743589744,0.05384615384615385,0.5641025641025641,95,0.8526315789473684,0.0003727935004527786,8.169961658760506,780,260.6541628545288
target1m_minv500_lb126_entry2p0_exit0p25_both_costx1p0,1,500.0,126,2.0,0.25,both,1.0,0.04573145038817775,0.012671830108608631,0.03379644882043685,0.011293827018906275,0.006658465433829465,1.6961606440916654,2.934147558472229,-0.007235571555823497,0.1270471464019851,0.2540942928039702,0.04491315136476427,0.4640198511166253,84,0.9166666666666666,0.00043712403857327895,5.135010672063702,806,269.3426349496798
target3m_minv10_lb126_entry2p0_exit0p25_contango_only_costx1p0,3,10.0,126,2.0,0.25,contango_only,1.0,0.03951646460746628,0.007344211523666409,0.03357531354706957,0.011199436779056769,0.00550570208344978,2.0341523404839563,3.5220492292776377,-0.002437703788244365,0.039354838709677424,0.07870967741935485,0.015913978494623657,0.18494623655913978,37,0.918918918918919,0.0009681710086085883,5.055118013359064,930,310.2123287671233
target3m_minv500_lb126_entry2p0_exit0p25_both_costx1p0,3,500.0,126,2.0,0.25,both,1.0,0.04121411117232959,0.009286227130633835,0.03321463303666517,0.011099400472682484,0.008161424514017633,1.359983230086701,2.3526023245628482,-0.0077484914579616275,0.09934296977660971,0.19868593955321942,0.03153745072273324,0.3902759526938239,60,0.7833333333333333,0.0005544238762115951,3.6391328606294686,761,254.30489478499544
target6m_minv10_lb126_entry2p0_exit0p25_both_costx3p0,6,10.0,126,2.0,0.25,both,3.0,0.03959890347096758,0.010531090326809323,0.03271469861852252,0.010932336386473332,0.00724837710305593,1.50824608474968,2.6090786757485978,-0.0036664183666164675,0.015527230590961763,0.031054461181923527,0.014368482039397452,0.07300115874855156,30,0.7333333333333333,0.001049712059701383,3.9211327545495274,863,288.39043915828
target6m_minv10_lb252_entry2p0_exit0p25_both_costx1p0,6,10.0,252,2.0,0.25,both,1.0,0.03429120771040878,0.003060318889653435,0.03230962114436314,0.010796970835296101,0.007483134873435077,1.4428406032911492,2.495935304334612,-0.004534342942161748,0.015990730011587486,0.03198146002317497,0.013904982618771728,0.07647740440324449,29,0.7586206896551724,0.0010358841469188856,3.5389962938969144,863,288.39043915828
target1m_minv1000_lb252_entry1p5_exit0p25_both_costx1p0,1,1000.0,252,1.5,0.25,both,1.0,0.042703200378358515,0.011611121091069931,0.03129271653390387,0.010457149784088187,0.0060568408159687595,1.7265023304753335,2.9866349129764638,-0.007638245304381568,0.18641025641025646,0.37282051282051293,0.046666666666666676,0.6307692307692307,80,0.8375,0.0003696236658457718,6.750325364776368,780,260.6541628545288
target1m_minv10_lb126_entry1p5_exit0p25_backwardation_only_costx1p0,1,10.0,126,1.5,0.25,backwardation_only,1.0,0.03527206487529664,0.005349876985152171,0.030831673285823702,0.010284263623422017,0.005605601410257819,1.834640544474426,3.1766029451512567,-0.00497927707067195,0.02569593147751606,0.05139186295503212,0.021841541755888653,0.12312633832976445,51,0.9019607843137255,0.0006354615063325402,4.43745153462808,934,311.54657534246576
target3m_minv10_lb252_entry1p5_exit0p25_backwardation_only_costx1p0,3,10.0,252,1.5,0.25,backwardation_only,1.0,0.03653264966316587,0.0077914374188957185,0.030444433852992607,0.010155095401648906,0.007089835974985041,1.4323456053819823,2.4800461770206392,-0.007039549464436372,0.046881720430107535,0.09376344086021507,0.025806451612903226,0.21397849462365592,60,0.75,0.0005411384845746506,4.525711333664303,930,310.2123287671233
target3m_minv500_lb252_entry2p0_exit0p25_both_costx1p0,3,500.0,252,2.0,0.25,both,1.0,0.03670114549280083,0.008471965850023662,0.029231292975856603,0.009768279743304322,0.008161598253361983,1.1968586838099393,2.0704170900144017,-0.007607443911574163,0.11038107752956636,0.22076215505913271,0.025229960578186602,0.4152431011826544,47,0.8085106382978723,0.0005389100297300542,2.9401154593517416,761,254.30489478499544
target3m_minv10_lb126_entry2p0_exit0p25_backwardation_only_costx1p0,3,10.0,126,2.0,0.25,backwardation_only,1.0,0.03354228952997405,0.005468509772136057,0.02920725394100597,0.00974241963648624,0.0069268379312072475,1.4064743152996326,2.4352511262855114,-0.006708190450109802,0.03612903225806452,0.07225806451612904,0.015913978494623657,0.17096774193548386,37,0.918918918918919,0.000832054138291641,4.603886357669706,930,310.2123287671233
target1m_minv10_lb126_entry2p0_exit0p25_contango_only_costx1p0,1,10.0,126,2.0,0.25,contango_only,1.0,0.032859275441010714,0.005264394728812271,0.02861761162227794,0.009545737575376271,0.005146112318454227,1.8549415528970792,3.211753287456274,-0.0025124841210168655,0.011349036402569594,0.022698072805139188,0.011991434689507495,0.05353319057815846,28,0.9285714285714286,0.0010758768135254112,5.456692988447678,934,311.54657534246576
target6m_minv10_lb252_entry2p0_exit0p25_both_costx3p0,6,10.0,252,2.0,0.25,both,3.0,0.03429120771040878,0.009180956668960304,0.02834644801227186,0.009472589328895057,0.007276721313702981,1.3017661279753812,2.251893957925362,-0.00453434294216175,0.015990730011587486,0.03198146002317497,0.013904982618771728,0.07647740440324449,29,0.6896551724137931,0.0009284423255432107,3.2375043216218233,863,288.39043915828
