root,side,events,mean_weighted_net_return,mean_gross_spread_return,win_rate,event_tstat,mean_duration_days,mean_rolls
GC,fade_backwardation,28,0.00012581417784047764,0.0009831490035554558,0.6428571428571429,3.071249333400481,9.821428571428571,1.1071428571428572
GC,fade_contango,16,0.00023817603696943743,0.0014387348648943346,0.875,3.163802526096063,8.5625,0.625
HG,fade_backwardation,13,0.0004937464149731186,0.0029243353798363413,0.8461538461538461,0.7953272699220453,7.769230769230769,0.9230769230769231
HG,fade_contango,21,0.0004406985099518294,0.002897158842912809,0.7142857142857143,3.215203737316966,9.047619047619047,1.6666666666666667
PA,fade_backwardation,10,0.0006632206573359987,0.00465863545151311,0.8,3.458209971764943,3.9,0.1
PA,fade_contango,31,0.0005477574116734064,0.003857563862394628,0.8064516129032258,4.017575383246505,6.32258064516129,0.0
PL,fade_backwardation,12,0.0005196007521719553,0.003366958495057757,0.8333333333333334,4.403333265452045,16.0,0.25
PL,fade_contango,15,3.302023405696407e-05,0.0008144407236075593,0.5333333333333333,0.20260565317683524,16.266666666666666,0.13333333333333333
SI,fade_backwardation,27,0.00043504113065361396,0.002770678673493516,0.8148148148148148,3.4287662308588858,8.074074074074074,0.2962962962962963
SI,fade_contango,23,0.00035870786421625405,0.002264980549429626,0.8260869565217391,3.9977092280719373,4.565217391304348,0.13043478260869565
