variant,target_months,min_volume,lookback,entry_z,exit_z,side_mode,cost_multiplier,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
target3m_minv10_lb126_entry1p5_exit0p25_both_costx1p0,3,10.0,126,1.5,0.25,both,1.0,0.10638452356345807,0.04540085242956662,0.06536363742694105,0.021802802347205684,0.008234832422281143,2.6476315763528375,4.584262725714075,-0.00914549558411869,0.30000000000000004,0.6000000000000001,0.08903225806451613,0.8408602150537634,196,0.7653061224489796,0.00037421722424213396,6.672719694136708,930,310.2123287671233
target1m_minv10_lb126_entry1p5_exit0p25_both_costx1p0,1,10.0,126,1.5,0.25,both,1.0,0.11121464169580422,0.054929307495843495,0.059973514386374896,0.0200048640453182,0.006705083736904771,2.983536795403681,5.165868485677406,-0.005183009750476782,0.24753747323340472,0.49507494646680944,0.11306209850107066,0.7516059957173448,239,0.8242677824267782,0.0002957078519622735,8.857306288073032,934,311.54657534246576
target1m_minv10_lb252_entry1p5_exit0p25_both_costx1p0,1,10.0,252,1.5,0.25,both,1.0,0.10662467823213076,0.05338472100323428,0.057070279036750826,0.019036456089655925,0.00675864064340892,2.816610187467272,4.876842084297614,-0.005065880946432684,0.24775160599571738,0.49550321199143477,0.10920770877944326,0.7398286937901499,231,0.8354978354978355,0.000285404170026915,7.412413847107384,934,311.54657534246576
target3m_minv10_lb252_entry1p5_exit0p25_both_costx1p0,3,10.0,252,1.5,0.25,both,1.0,0.09497244139848393,0.04269910050076417,0.056126215403054465,0.018721552672114745,0.008295809529421092,2.256748133587054,3.9074644835514074,-0.008498044850797182,0.2982795698924732,0.5965591397849463,0.07870967741935482,0.8268817204301075,174,0.7701149425287356,0.0003648275060636854,5.807990171880694,930,310.2123287671233
target3m_minv10_lb126_entry2p0_exit0p25_both_costx1p0,3,10.0,126,2.0,0.25,both,1.0,0.07515908096239014,0.024506108147748944,0.052906778461021244,0.017647671993505035,0.007246200915500918,2.4354378520961943,4.21685821617874,-0.008688072048969864,0.19333333333333336,0.3866666666666667,0.052473118279569894,0.6827956989247311,120,0.775,0.0004922888553877039,5.947347060011486,930,310.2123287671233
target3m_minv10_lb252_entry2p0_exit0p25_both_costx1p0,3,10.0,252,2.0,0.25,both,1.0,0.06834102008773595,0.024053402633314035,0.04628786516612847,0.015439856394455182,0.007265508815148496,2.1250894861297627,3.6795030725125644,-0.0065908864471692415,0.17913978494623659,0.35827956989247317,0.046021505376344085,0.635483870967742,104,0.7692307692307693,0.0005001432765304607,5.661987516217423,930,310.2123287671233
target1m_minv10_lb252_entry2p0_exit0p25_both_costx1p0,1,10.0,252,2.0,0.25,both,1.0,0.07547601445347145,0.036450951732862114,0.041456420585048726,0.01382827179788954,0.0061355181136017005,2.2538066943741777,3.902371505259422,-0.0049056621726315175,0.17708779443254818,0.35417558886509637,0.06595289079229122,0.6006423982869379,148,0.7972972972972973,0.000323103454007888,5.86924574934548,934,311.54657534246576
target1m_minv10_lb126_entry2p0_exit0p25_both_costx1p0,1,10.0,126,2.0,0.25,both,1.0,0.07168520111977278,0.03454853690152798,0.039386265929516016,0.013137747607996096,0.005964560404955933,2.202634681523216,3.813769317097135,-0.005183009750476782,0.16531049250535335,0.3306209850107067,0.06766595289079229,0.6059957173447538,151,0.8079470198675497,0.00030232417056435173,6.558177676783115,934,311.54657534246576
target3m_minv10_lb126_entry1p5_exit0p25_contango_only_costx1p0,3,10.0,126,1.5,0.25,contango_only,1.0,0.05745106114758279,0.026535474144238368,0.03318352903096044,0.011068752491834066,0.005248467731920833,2.1089493271559325,3.6515570660395817,-0.0031220185363424516,0.1524731182795699,0.3049462365591398,0.04774193548387096,0.5333333333333333,111,0.7747747747747747,0.00038209977794626725,6.66127226581583,930,310.2123287671233
target3m_minv10_lb126_entry2p0_exit0p25_contango_only_costx1p0,3,10.0,126,2.0,0.25,contango_only,1.0,0.04687404235967021,0.014843420294003899,0.033161086316054474,0.011061266462957898,0.004476559164776883,2.4709304749039775,4.278312199893379,-0.001990768728082996,0.09010752688172044,0.18021505376344088,0.028817204301075264,0.36236559139784946,67,0.835820895522388,0.0005749705684086878,7.957458845297602,930,310.2123287671233
