root,min_volume,target_months,rows,entry_marked,return_marked,median_common_5m_obs
GC,10.0,1,927,927,913,93.0
GC,10.0,3,884,884,850,59.0
GC,10.0,6,837,837,788,46.0
GC,500.0,1,746,746,746,197.0
GC,500.0,3,420,420,418,143.5
GC,500.0,6,170,170,167,112.5
GC,1000.0,1,670,670,670,219.0
GC,1000.0,3,192,192,192,186.5
GC,1000.0,6,37,37,35,123.0
HG,10.0,1,903,903,824,22.0
HG,10.0,3,865,865,815,87.0
HG,10.0,6,780,780,686,41.0
HG,500.0,1,765,765,763,207.0
HG,500.0,3,622,622,608,160.0
HG,500.0,6,132,132,123,95.0
HG,1000.0,1,693,693,691,216.0
HG,1000.0,3,439,439,432,186.0
HG,1000.0,6,34,34,31,115.0
PA,10.0,1,730,730,669,30.0
PA,10.0,3,730,730,675,34.0
PA,10.0,6,64,64,42,6.0
PA,500.0,1,76,76,76,136.5
PA,500.0,3,76,76,76,136.5
PA,1000.0,1,34,34,34,169.5
PA,1000.0,3,34,34,34,169.5
PL,10.0,1,894,894,872,115.0
PL,10.0,3,894,894,885,141.0
PL,10.0,6,748,748,691,44.0
PL,500.0,1,554,554,550,168.5
PL,500.0,3,554,554,550,169.0
PL,500.0,6,27,27,25,102.0
PL,1000.0,1,309,309,309,203.0
PL,1000.0,3,309,309,309,203.0
PL,1000.0,6,3,3,3,163.0
SI,10.0,1,915,915,893,50.0
SI,10.0,3,871,871,835,67.0
SI,10.0,6,668,668,585,15.0
SI,500.0,1,682,682,681,176.0
SI,500.0,3,339,339,337,155.0
SI,500.0,6,8,8,8,78.5
SI,1000.0,1,466,466,466,212.0
SI,1000.0,3,184,184,184,196.0
