root,side,events,mean_weighted_net_return,mean_gross_spread_return,win_rate,event_tstat,mean_duration_days,mean_rolls
GC,fade_backwardation,36,0.00012872402545698267,0.0009740930340144433,0.6666666666666666,3.7126109424740923,8.61111111111111,1.0
GC,fade_contango,21,0.0001875751693288945,0.00118441912626809,0.9047619047619048,3.2384449097408936,8.380952380952381,0.6190476190476191
HG,fade_backwardation,20,0.00043738500229138983,0.0025711094199728233,0.9,1.0860940382446025,6.35,0.7
HG,fade_contango,33,0.0003370756928358305,0.0023208349984667727,0.696969696969697,3.38171403650709,9.969696969696969,1.4848484848484849
PA,fade_backwardation,15,0.0005003713368534279,0.0037698037288317492,0.8666666666666667,3.0704948846799063,3.533333333333333,0.06666666666666667
PA,fade_contango,38,0.0004987242905599961,0.0036123982568275767,0.8157894736842105,4.4291745625666445,5.947368421052632,0.0
PL,fade_backwardation,16,0.0004361338752729715,0.0028855445493796727,0.875,4.647917926928949,12.375,0.1875
PL,fade_contango,23,3.052300068135819e-05,0.0007544056649530366,0.6086956521739131,0.2726029697597706,13.652173913043478,0.08695652173913043
SI,fade_backwardation,43,0.00029691704473162005,0.0019976130880275623,0.813953488372093,3.7961730165777796,6.511627906976744,0.18604651162790697
SI,fade_contango,30,0.00038641016985081533,0.002430586401070729,0.8333333333333334,3.424633548008856,4.5,0.16666666666666666
