variant,base_variant,detector,target_months,min_volume,cost_multiplier,net_return,net_return_baseline,net_delta,sharpe,sharpe_baseline,sharpe_delta,tstat,tstat_baseline,tstat_delta,cost_return,cost_return_baseline,cost_delta,event_count,event_count_baseline,hazard_exit_count,hazard_exit_fraction,event_tstat,event_tstat_baseline,active_fraction,active_fraction_baseline
mad_z_target1m_minv10_lb126_entry2p0_backwardation_only_costx3p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb126_entry2p0_backwardation_only_costx3p0,mad_z,1,10.0,3.0,-0.007851885306002344,-0.0097719392806559,0.0019200539746535555,-0.49706362824962813,-0.6117579012013399,0.11469427295171175,-0.8606447678161776,-1.0592330778520067,0.1985883100358291,0.06205518962522202,0.0649315852762833,-0.002876395651061285,122,115,10,0.08196721311475409,1.6239200815222883,1.190710450368576,0.5160599571734475,0.538543897216274
mad_z_target1m_minv10_lb252_entry2p0_both_costx3p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb252_entry2p0_both_costx3p0,mad_z,1,10.0,3.0,-0.05270678414419387,-0.0543398259761021,0.0016330418319082315,-2.2773755712687302,-2.335353175770808,0.057977604502077895,-3.9431800243901223,-4.043565808280489,0.10038578389036656,0.16641652787688452,0.1683411507845263,-0.001924622907641782,256,215,27,0.10546875,-0.6440302054211033,-0.8551941235472054,0.7259100642398287,0.7580299785867237
mad_z_target1m_minv10_lb252_entry2p0_backwardation_only_costx3p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb252_entry2p0_backwardation_only_costx3p0,mad_z,1,10.0,3.0,-0.009664053634782146,-0.0108400223872062,0.0011759687524240548,-0.6179231877203493,-0.6886554641633588,0.0707322764430095,-1.0699080121725042,-1.1923779741183655,0.12246996194586135,0.060017163765559094,0.0614432844095963,-0.0014261206440372085,116,109,13,0.11206896551724138,1.2319299334207043,1.01726941173206,0.5064239828693791,0.5353319057815846
rank_pct_target1m_minv10_lb126_entry0p1_contango_only_costx3p0_hazardexp_minh8_tail4,rank_pct_target1m_minv10_lb126_entry0p1_contango_only_costx3p0,rank_pct,1,10.0,3.0,-0.07206208393316874,-0.0728435240247383,0.0007814400915695657,-3.9670971877584,-3.922380198430858,-0.04471698932754187,-6.868861940443323,-6.791436354039497,-0.0774255864038258,0.16676675923010664,0.1675818037547295,-0.0008150445246228599,261,240,29,0.1111111111111111,-2.1862109088964554,-2.3307963084046737,0.5813704496788008,0.6209850107066381
mad_z_target1m_minv10_lb126_entry1p5_backwardation_only_costx3p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb126_entry1p5_backwardation_only_costx3p0,mad_z,1,10.0,3.0,-0.020488592509384375,-0.0211981385288896,0.0007095460195052257,-1.2125399561897106,-1.2362197134205783,0.023679757230867793,-2.0994619395862273,-2.140462443356076,0.04100050376984887,0.09136425193753298,0.0934676842250095,-0.002103432287476531,188,175,19,0.10106382978723404,1.3094227281260855,0.8955043383482488,0.5813704496788008,0.6027837259100642
rank_pct_target1m_minv10_lb126_entry0p1_contango_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv10_lb126_entry0p1_contango_only_costx1p0,rank_pct,1,10.0,1.0,0.028486640314318485,0.0279316608932209,0.0005549794210975845,1.856178302330942,1.812081715423544,0.04409658690739793,3.213894667088298,3.1375432813833197,0.07635138570497846,0.056142648973643475,0.0558606012515765,0.0002820477220669762,246,240,8,0.032520325203252036,5.761989315839407,5.726243158110264,0.6113490364025695,0.6209850107066381
rank_pct_target3m_minv1000_lb252_entry0p1_contango_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target3m_minv1000_lb252_entry0p1_contango_only_costx1p0,rank_pct,3,1000.0,1.0,0.004527589184162709,0.0040039105133229,0.0005236786708398087,0.5573411251002603,0.4861083608143194,0.07123276428594094,0.9641310256463637,0.8409071776335771,0.12322384801278652,0.004251471888535591,0.0041874411537829,6.403073475269149e-05,28,27,1,0.03571428571428571,1.0862522406811495,0.9839623023136412,0.43125,0.48125
quantile_band_target3m_minv1000_lb252_entry0p1_contango_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target3m_minv1000_lb252_entry0p1_contango_only_costx1p0,quantile_band,3,1000.0,1.0,0.004329249319513956,0.0038055706486742,0.0005236786708397562,0.5322172907361284,0.4614340794007647,0.07078321133536375,0.9206699080241849,0.7982237308628799,0.12244617716130501,0.004251471888535591,0.0041874411537829,6.403073475269149e-05,28,27,1,0.03571428571428571,1.046422601253288,0.944569350793114,0.4328125,0.4828125
quantile_band_target3m_minv1000_lb252_entry0p1_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target3m_minv1000_lb252_entry0p1_both_costx1p0,quantile_band,3,1000.0,1.0,0.0004777889476273154,-4.588972321243517e-05,0.0005236786708397506,0.026199992524460824,-0.002511954633178,0.028711947157638824,0.04532273777570496,-0.0043453699858006,0.04966810776150556,0.006935594367417383,0.0068715636326647,6.403073475268282e-05,41,37,1,0.024390243902439025,0.4148257493790802,0.1229532416754428,0.6734375,0.6828125
rank_pct_target3m_minv1000_lb252_entry0p1_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target3m_minv1000_lb252_entry0p1_both_costx1p0,rank_pct,3,1000.0,1.0,0.000616493665504146,9.281499466439544e-05,0.0005236786708397506,0.03380435295616025,0.0050803434144981,0.02872400954166215,0.05847733823889545,0.0087883640489919,0.04968897418990355,0.006786033701872387,0.0067220029671197,6.403073475268715e-05,40,37,1,0.025,0.4371699069286524,0.2632653805755482,0.6703125,0.6796875
mad_z_target1m_minv10_lb252_entry2p0_contango_only_costx3p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb252_entry2p0_contango_only_costx3p0,mad_z,1,10.0,3.0,-0.043042730509411736,-0.0434998035888958,0.0004570730794840605,-2.6076912968125203,-2.584688026060725,-0.023003270751795313,-4.515107811417618,-4.475278615535981,-0.03982919588163725,0.10639936411132542,0.1068978663749301,-0.0004985022636046776,140,132,14,0.1,-1.2789079875616385,-1.404793648739751,0.4400428265524625,0.4753747323340471
rank_pct_target3m_minv500_lb252_entry0p05_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target3m_minv500_lb252_entry0p05_both_costx1p0,rank_pct,3,500.0,1.0,0.005897389286315697,0.0054671232003201,0.00043026608599559726,0.28789756705310027,0.2664159201680118,0.021481646885088468,0.49802708629130127,0.4608665013081501,0.03716058498315117,0.011860805148494372,0.0117967744137417,6.403073475267154e-05,55,53,1,0.01818181818181818,1.0537863145302948,0.752418284985723,0.7542706964520368,0.7542706964520368
quantile_band_target3m_minv500_lb252_entry0p05_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target3m_minv500_lb252_entry0p05_both_costx1p0,quantile_band,3,500.0,1.0,0.005690138684204392,0.0052598725982088,0.00043026608599559205,0.27737223176767284,0.2559417323919568,0.02143049937571606,0.4798195615869552,0.4427474554517656,0.03707210613518963,0.012215420409825494,0.0121513896750728,6.40307347526941e-05,57,55,1,0.017543859649122806,1.0495241845586811,0.7483158021464775,0.7582128777923784,0.7582128777923784
rank_pct_target3m_minv500_lb252_entry0p05_contango_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target3m_minv500_lb252_entry0p05_contango_only_costx1p0,rank_pct,3,500.0,1.0,-0.00047848848110630904,-0.0009087545671018,0.00043026608599549095,-0.047886832277794215,-0.0904126093980164,0.04252577712022219,-0.08283828097314681,-0.1564026013953172,0.07356432042217038,0.006813807010722145,0.0067497762759694,6.403073475274527e-05,32,31,1,0.03125,0.17755147615625239,0.1101804932565105,0.42575558475689884,0.4323258869908016
quantile_band_target3m_minv500_lb252_entry0p05_contango_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target3m_minv500_lb252_entry0p05_contango_only_costx1p0,quantile_band,3,500.0,1.0,-0.0006857390832176146,-0.0011160051692131,0.00043026608599548526,-0.0682184674999807,-0.1103770711926764,0.042158603692695695,-0.11800948840254315,-0.1909386443315003,0.07292915592895714,0.0071684222720532695,0.0071043915373006,6.403073475266981e-05,34,33,1,0.029411764705882353,0.17317375473489158,0.1057743673890145,0.4323258869908016,0.4388961892247043
mad_z_target1m_minv10_lb126_entry2p0_both_costx3p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb126_entry2p0_both_costx3p0,mad_z,1,10.0,3.0,-0.0449233096594875,-0.0453452162385546,0.0004219065790670995,-1.982143282060228,-1.9790730559450247,-0.003070226115203356,-3.4319977319088775,-3.426681764511771,-0.00531596739710638,0.16727690428853265,0.169307156773393,-0.0020302524848603565,272,219,20,0.07352941176470588,0.044786804291033246,-0.150797990683458,0.7558886509635975,0.7698072805139187
rank_pct_target6m_minv10_lb252_entry0p05_backwardation_only_costx3p0_hazardexp_minh8_tail4,rank_pct_target6m_minv10_lb252_entry0p05_backwardation_only_costx3p0,rank_pct,6,10.0,3.0,0.0018931962251475167,0.0014727605006775,0.0004204357244700168,0.09562689223270794,0.0744419545654787,0.021184937667229245,0.16542266403023756,0.1287753491964619,0.036647314833775646,0.03610982540803776,0.0361098254080377,6.245004513516506e-17,80,76,5,0.0625,0.7657661872888349,0.6922652584848243,0.5550405561993047,0.5654692931633836
