root,side,events,mean_weighted_net_return,mean_gross_spread_return,win_rate,event_tstat,mean_duration_days,mean_rolls
GC,fade_backwardation,46,0.00011224811563315801,0.0008198715486497698,0.6086956521739131,3.617387663876332,6.391304347826087,0.6521739130434783
GC,fade_contango,22,0.00019346958171394328,0.001212699005990125,0.9090909090909091,3.4834571022677325,8.045454545454545,0.5909090909090909
HG,fade_backwardation,21,0.00040754881212622676,0.002418879386539739,0.8571428571428571,1.0607245311400058,6.285714285714286,0.7142857142857143
HG,fade_contango,34,0.00035005113049933626,0.002376438573239467,0.7058823529411765,3.587818408788359,9.735294117647058,1.4411764705882353
PA,fade_backwardation,18,0.0005172738713612112,0.004015917495285762,0.8888888888888888,3.7110589518869537,3.1666666666666665,0.1111111111111111
PA,fade_contango,40,0.00047055277246029067,0.0035274795065304296,0.8,4.2699396386758774,5.85,0.0
PL,fade_backwardation,17,0.00040619531213431046,0.002754698663446122,0.8235294117647058,4.36357741456884,12.176470588235293,0.23529411764705882
PL,fade_contango,30,-1.902564807984007e-06,0.0005714751973541095,0.5333333333333333,-0.018325419799150006,9.5,0.06666666666666667
SI,fade_backwardation,48,0.0002648475888168184,0.0018928800578749613,0.7916666666666666,2.6711031559360157,6.0625,0.25
SI,fade_contango,35,0.0003994014950866597,0.0024991039954772127,0.8285714285714286,3.9435779777797206,3.942857142857143,0.14285714285714285
