variant,base_variant,detector,target_months,min_volume,lookback,side_mode,cost_multiplier,entry_level,exit_level,md_entry,component_entry,hazard_exit,hazard_min_history_events,hazard_min_tail_events,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,hazard_exit_count,hazard_exit_fraction,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
rank_pct_target3m_minv10_lb126_entry0p1_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target3m_minv10_lb126_entry0p1_both_costx1p0,rank_pct,3,10.0,126,both,1.0,0.1,0.25,,1.25,True,8,4,0.13033511179448348,0.06401998183420378,0.07155477177526003,0.02386792729763811,0.009186078471344984,2.5982716533602037,4.498798094932268,-0.009384060926352656,0.37526881720430105,0.7505376344086021,0.13376344086021508,0.8655913978494624,311,21,0.06752411575562701,0.7556270096463023,0.0002943827271532404,7.350304626534622,930,310.2123287671233
quantile_band_target3m_minv10_lb126_entry0p1_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target3m_minv10_lb126_entry0p1_both_costx1p0,quantile_band,3,10.0,126,both,1.0,0.1,0.25,,1.25,True,8,4,0.1293977746607976,0.0641406777742215,0.07054948750721361,0.023532603024666462,0.009266431169368025,2.539554073682435,4.397131075145574,-0.009384060926352656,0.3787096774193549,0.7574193548387098,0.13462365591397848,0.8688172043010752,313,22,0.07028753993610223,0.7476038338658147,0.00028921190950027706,7.270340935747716,930,310.2123287671233
quantile_band_target3m_minv10_lb126_entry0p05_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target3m_minv10_lb126_entry0p05_both_costx1p0,quantile_band,3,10.0,126,both,1.0,0.05,0.25,,1.25,True,8,4,0.10923010888528285,0.04538904323260802,0.06798393080923021,0.02267683171513364,0.00841492516347812,2.6948346271163603,4.665992822940552,-0.009171619941029616,0.2956989247311828,0.5913978494623656,0.09419354838709677,0.8150537634408602,219,13,0.0593607305936073,0.7671232876712328,0.00037357904751937875,7.334620554076772,930,310.2123287671233
mad_z_target1m_minv10_lb126_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb126_entry1p5_both_costx1p0,mad_z,1,10.0,126,both,1.0,1.5,0.25,,1.25,True,8,4,0.14073936712728854,0.08229656575871765,0.06464597717784368,0.021563418414801284,0.00769680367715974,2.8016069162307873,4.850864551128917,-0.005285537048369846,0.32505353319057817,0.6501070663811563,0.17130620985010706,0.8522483940042827,400,19,0.0475,0.79,0.00021386226799982325,8.753185846053373,934,311.54657534246576
rank_pct_target1m_minv10_lb126_entry0p1_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv10_lb126_entry0p1_both_costx1p0,rank_pct,1,10.0,126,both,1.0,0.1,0.25,,1.25,True,8,4,0.1506046664232577,0.09375481588598233,0.06393729839993127,0.021327030356689404,0.007620677803050951,2.798573946814953,4.845613092139901,-0.005307568575485148,0.3471092077087795,0.694218415417559,0.1910064239828694,0.8468950749464668,446,26,0.05829596412556054,0.7847533632286996,0.00019842648508790057,8.894786084637449,934,311.54657534246576
rank_pct_target3m_minv10_lb126_entry0p05_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target3m_minv10_lb126_entry0p05_both_costx1p0,rank_pct,3,10.0,126,both,1.0,0.05,0.25,,1.25,True,8,4,0.10388176423318549,0.04421263220164284,0.06381199718809802,0.02128523467849571,0.008303239658760722,2.563485525319954,4.438567377195286,-0.009171619941029616,0.2879569892473119,0.5759139784946238,0.09118279569892475,0.7989247311827957,212,11,0.05188679245283019,0.7735849056603774,0.00036376275002302747,7.166160912995795,930,310.2123287671233
quantile_band_target1m_minv10_lb126_entry0p1_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv10_lb126_entry0p1_both_costx1p0,quantile_band,1,10.0,126,both,1.0,0.1,0.25,,1.25,True,8,4,0.1518069570632869,0.09544053285249778,0.06335134477555192,0.02113157870252999,0.00770472942049768,2.7426762900085095,4.748828650210286,-0.005307568575485149,0.352676659528908,0.705353319057816,0.19443254817987154,0.8479657387580299,454,28,0.06167400881057269,0.7775330396475771,0.00019360754705299708,8.713892975651579,934,311.54657534246576
mad_z_target3m_minv10_lb126_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target3m_minv10_lb126_entry1p5_both_costx1p0,mad_z,3,10.0,126,both,1.0,1.5,0.25,,1.25,True,8,4,0.1099095294018236,0.053661393727899145,0.061797062780502635,0.020613129845277252,0.008693118241443533,2.371200905447979,4.105634644605105,-0.00914549558411869,0.31935483870967746,0.6387096774193549,0.11268817204301075,0.8365591397849462,262,27,0.10305343511450382,0.732824427480916,0.00029845680057222554,6.809109304728967,930,310.2123287671233
mad_z_target1m_minv10_lb126_entry2p0_both_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb126_entry2p0_both_costx1p0,mad_z,1,10.0,126,both,1.0,2.0,0.25,,1.25,True,8,4,0.11324343721044444,0.05715897650080598,0.05918298834482054,0.019741174879402468,0.007123868009700794,2.771131476961714,4.798097609708984,-0.005285537048369846,0.2541755888650964,0.5083511777301928,0.11349036402569593,0.7633832976445396,265,9,0.033962264150943396,0.8264150943396227,0.00027938332096098567,8.489878103473165,934,311.54657534246576
mad_z_target1m_minv10_lb252_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb252_entry1p5_both_costx1p0,mad_z,1,10.0,252,both,1.0,1.5,0.25,,1.25,True,8,4,0.13266337860913213,0.0806850085888849,0.058167293587003226,0.019402378066349705,0.007698019575935152,2.520437610603596,4.364031723286155,-0.0052317533171533995,0.33683083511777306,0.6736616702355461,0.16402569593147753,0.8511777301927195,383,31,0.08093994778067885,0.7806788511749347,0.000205168827827091,7.785046881572999,934,311.54657534246576
quantile_band_target1m_minv10_lb126_entry0p05_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv10_lb126_entry0p05_both_costx1p0,quantile_band,1,10.0,126,both,1.0,0.05,0.25,,1.25,True,8,4,0.11716595964020049,0.0652336539891285,0.056835308743642725,0.01895807901243425,0.006912862774673111,2.742435316652257,4.748411414978306,-0.005183009750476782,0.26081370449678803,0.5216274089935761,0.1323340471092077,0.7665952890792291,309,19,0.061488673139158574,0.8187702265372169,0.00024009150820968514,8.08311520657899,934,311.54657534246576
rank_pct_target1m_minv10_lb252_entry0p05_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv10_lb252_entry0p05_both_costx1p0,rank_pct,1,10.0,252,both,1.0,0.05,0.25,,1.25,True,8,4,0.11433122033264641,0.062359264197172165,0.05657718929222579,0.018871980263913672,0.006992761111461967,2.6987880699914446,4.672838043012845,-0.005343228524277947,0.2728051391862955,0.545610278372591,0.12419700214132762,0.7890792291220556,290,21,0.07241379310344828,0.7965517241379311,0.0002503084642492131,7.734935234529369,934,311.54657534246576
rank_pct_target1m_minv10_lb252_entry0p1_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv10_lb252_entry0p1_both_costx1p0,rank_pct,1,10.0,252,both,1.0,0.1,0.25,,1.25,True,8,4,0.14001536476559376,0.09152279255233747,0.05633699620936795,0.018791861064357665,0.007836250667117885,2.3980678850934676,4.152153689944107,-0.005609895293994178,0.3518201284796575,0.703640256959315,0.1910064239828694,0.8447537473233405,446,58,0.13004484304932734,0.7443946188340808,0.00017850756021045165,7.677491904324724,934,311.54657534246576
mad_z_target3m_minv10_lb126_entry2p0_both_costx1p0_hazardexp_minh8_tail4,mad_z_target3m_minv10_lb126_entry2p0_both_costx1p0,mad_z,3,10.0,126,both,1.0,2.0,0.25,,1.25,True,8,4,0.08335257252893516,0.02967080632783336,0.056198175982256515,0.018745555961204745,0.007763787152389757,2.4144860740334315,4.180581093610628,-0.008688072048969864,0.22709677419354837,0.45419354838709675,0.0632258064516129,0.7204301075268817,147,5,0.034013605442176874,0.7755102040816326,0.0004435703997941955,6.283587734104143,930,310.2123287671233
quantile_band_target1m_minv10_lb252_entry0p05_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv10_lb252_entry0p05_both_costx1p0,quantile_band,1,10.0,252,both,1.0,0.05,0.25,,1.25,True,8,4,0.11448682087028683,0.06303816082545305,0.05618843586685473,0.018742307032300173,0.007035771706168096,2.663859462050088,4.612360627319227,-0.005343228524277947,0.2768736616702356,0.5537473233404712,0.12676659528907924,0.7944325481798715,296,22,0.07432432432432433,0.793918918918919,0.0002441445803656981,7.629054246234429,934,311.54657534246576
quantile_band_target1m_minv10_lb252_entry0p1_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv10_lb252_entry0p1_both_costx1p0,quantile_band,1,10.0,252,both,1.0,0.1,0.25,,1.25,True,8,4,0.1392189514474873,0.0917585875703323,0.055304787873266675,0.0184475559549869,0.007858138297884603,2.3475733380707933,4.064724505372011,-0.005609895293994178,0.3578158458244112,0.7156316916488225,0.18886509635974308,0.854389721627409,441,50,0.11337868480725624,0.746031746031746,0.000177417451894488,7.545114753694787,934,311.54657534246576
rank_pct_target1m_minv10_lb126_entry0p05_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv10_lb126_entry0p05_both_costx1p0,rank_pct,1,10.0,126,both,1.0,0.05,0.25,,1.25,True,8,4,0.11356915848584868,0.0634902075715585,0.05491792327210826,0.018318512762682686,0.0068555290128652704,2.672078657723667,4.626591818961699,-0.005183009750476782,0.25674518201284796,0.5134903640256959,0.12805139186295503,0.7623126338329764,299,17,0.056856187290969896,0.8127090301003345,0.00023949762021187144,7.883629307699137,934,311.54657534246576
quantile_band_target3m_minv10_lb252_entry0p05_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target3m_minv10_lb252_entry0p05_both_costx1p0,quantile_band,3,10.0,252,both,1.0,0.05,0.25,,1.25,True,8,4,0.09446505301893435,0.04376259230635498,0.054501640534251196,0.018179656808342694,0.008335183797876785,2.181074496878351,3.7764387641192476,-0.00871160001043271,0.28860215053763444,0.5772043010752689,0.08645161290322581,0.8096774193548387,201,23,0.11442786069651742,0.7164179104477612,0.0003332881294366087,5.87120393266144,930,310.2123287671233
