detector,target_months,min_volume,cost_multiplier,variant,base_variant,net_return,cost_return,sharpe,tstat,max_drawdown,event_count,hazard_exit_count,hazard_exit_fraction,event_tstat,active_fraction
curve_md,1,10.0,1.0,curve_md_target1m_minv10_lb126_md2p5_comp1p25_both_costx1p0_hazardexp_minh8_tail4,curve_md_target1m_minv10_lb126_md2p5_comp1p25_both_costx1p0,0.054397041532880316,0.06516581700457028,2.628042006069771,4.550344208627524,-0.004468769448637261,353,12,0.0339943342776204,9.036391821094984,0.6734475374732334
curve_md,6,10.0,3.0,curve_md_target6m_minv10_lb126_md3p0_comp1p25_both_costx3p0_hazardexp_minh8_tail4,curve_md_target6m_minv10_lb126_md3p0_comp1p25_both_costx3p0,-0.010384644268067948,0.0687784968421265,-0.4713158381254852,-0.8153179479327951,-0.019456049751532357,158,13,0.08227848101265822,0.36748182228170706,0.5758980301274623
curve_md,3,500.0,1.0,curve_md_target3m_minv500_lb252_md3p0_comp1p25_both_costx1p0_hazardexp_minh8_tail4,curve_md_target3m_minv500_lb252_md3p0_comp1p25_both_costx1p0,0.014426370135218712,0.009906516685699645,0.7536305594848145,1.3036874035516919,-0.006964307281743499,60,0,0.0,2.217234885088145,0.5229960578186597
curve_md,6,500.0,3.0,curve_md_target6m_minv500_lb126_md3p0_comp1p25_both_costx3p0_hazardexp_minh8_tail4,curve_md_target6m_minv500_lb126_md3p0_comp1p25_both_costx3p0,0.006641250922352687,0.005522866012742185,0.7911474915667128,1.3616828682886692,-0.0016275695423850845,20,0,0.0,1.2769734180488352,0.2867132867132867
curve_md,1,1000.0,1.0,curve_md_target1m_minv1000_lb126_md3p0_comp1p25_both_costx1p0_hazardexp_minh8_tail4,curve_md_target1m_minv1000_lb126_md3p0_comp1p25_both_costx1p0,0.0035506765147574914,0.004472806356751907,0.24446938642036814,0.4229017197074888,-0.007506578229095915,44,0,0.0,2.0350723095658054,0.23974358974358975
curve_md,6,1000.0,3.0,curve_md_target6m_minv1000_lb126_md2p5_comp1p25_both_costx3p0_hazardexp_minh8_tail4,curve_md_target6m_minv1000_lb126_md2p5_comp1p25_both_costx3p0,-0.0031618740321599855,0.0019456882016984966,-0.7550805985497225,-1.294190060548639,-0.004233794118000866,10,0,0.0,-1.0387383506633656,0.36619718309859156
mad_z,1,10.0,1.0,mad_z_target1m_minv10_lb126_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv10_lb126_entry1p5_both_costx1p0,0.06464597717784368,0.08229656575871765,2.8016069162307873,4.850864551128917,-0.005285537048369846,400,19,0.0475,8.753185846053373,0.8522483940042827
mad_z,3,10.0,3.0,mad_z_target3m_minv10_lb126_entry2p0_contango_only_costx3p0_hazardexp_minh8_tail4,mad_z_target3m_minv10_lb126_entry2p0_contango_only_costx3p0,0.004990624642131032,0.04802469446826671,0.3470762775221447,0.6009479778965762,-0.0069737584017510856,71,1,0.014084507042253521,4.8715275943588985,0.34623655913978496
mad_z,1,500.0,1.0,mad_z_target1m_minv500_lb126_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv500_lb126_entry1p5_both_costx1p0,0.020642305694000492,0.02450570458742822,1.1379706759209764,1.968548139586522,-0.008692963253514879,163,5,0.03067484662576687,3.605572905958492,0.8039702233250621
mad_z,6,500.0,3.0,mad_z_target6m_minv500_lb126_entry1p5_backwardation_only_costx3p0_hazardexp_minh8_tail4,mad_z_target6m_minv500_lb126_entry1p5_backwardation_only_costx3p0,0.002851759338119055,0.0028234923785346163,0.3986174786178079,0.6860801524623473,-0.0021048216321284396,4,0,0.0,0.6506887400370092,0.3986013986013986
mad_z,1,1000.0,1.0,mad_z_target1m_minv1000_lb126_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv1000_lb126_entry1p5_both_costx1p0,0.015779592558163462,0.013058555495918863,0.9712924042740132,1.6802154008763805,-0.008066213444463004,100,0,0.0,4.5371012171978915,0.7346153846153847
mad_z,3,1000.0,3.0,mad_z_target3m_minv1000_lb126_entry2p0_contango_only_costx3p0_hazardexp_minh8_tail4,mad_z_target3m_minv1000_lb126_entry2p0_contango_only_costx3p0,0.0005351853878662524,0.006181542998978476,0.08523169111581558,0.1474402552983739,-0.003937603536281909,14,0,0.0,0.6653425770949931,0.2046875
quantile_band,3,10.0,1.0,quantile_band_target3m_minv10_lb126_entry0p1_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target3m_minv10_lb126_entry0p1_both_costx1p0,0.07054948750721361,0.0641406777742215,2.539554073682435,4.397131075145574,-0.009384060926352656,313,22,0.07028753993610223,7.270340935747716,0.8688172043010752
quantile_band,6,10.0,3.0,quantile_band_target6m_minv10_lb252_entry0p05_backwardation_only_costx3p0_hazardexp_minh8_tail4,quantile_band_target6m_minv10_lb252_entry0p05_backwardation_only_costx3p0,0.0010464296907097938,0.03637420373342139,0.05305841929051051,0.09178448513113463,-0.012006508337907288,84,11,0.13095238095238096,0.7132937855239048,0.4901506373117034
