root,time_bin,time_utc,signal_window,horizon,n,ic,ic_tstat,ic_p_value,signed_mean,signed_tstat,signed_p_value,quintile_spread_mean,quintile_spread_tstat,quintile_spread_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,ic_q_value,signed_q_value,quintile_spread_q_value
PA,1200,20:00,5,5,2181,-0.23659730276018165,-11.367040620327353,6.1021561216610744e-30,-0.00016991565801329164,-6.959419794683248,3.4167697132422375e-12,-0.000339949960921753,-6.656258662116527,2.8088574945533858e-11,2024-02-06 00:00:00+00:00,611,-0.0003980419851044804,-6.248588069051126,263,-0.0002049909237519948,-2.479574450927302,5.011476918189567e-28,1.8484724148640506e-08,1.5195919045533817e-07
HG,1260,21:00,15,120,2406,-0.1573777683569817,-7.813697424358159,5.553431864109584e-15,-0.00015988418223533175,-5.955016274473495,2.600459517212129e-09,-0.00031488968180393194,-5.951626237780464,2.6549112532834855e-09,2023-04-28 00:00:00+00:00,674,-0.00026577185208089286,-5.008196657125918,290,-0.0004290462929533401,-3.424130114593196,1.1875125053293616e-13,3.5836328863101754e-06,4.874256300371545e-06
PA,1260,21:00,5,5,1909,-0.20518704934037665,-9.155152802235804,5.428093517665768e-20,-7.637943760613508e-05,-5.593906479431288,2.2201657464020066e-08,-0.00016622480332661598,-5.948693347969092,2.7029147691524274e-09,2024-03-22 00:00:00+00:00,534,-0.00016910898202179993,-5.043707296251914,230,-0.00015952849279084107,-3.1489006068685894,2.1914914873561052e-18,1.501387086004357e-05,4.874256300371545e-06
PA,1200,20:00,5,15,2181,-0.16779853468593728,-7.945451445928294,1.934848313425059e-15,-0.0002006255180957097,-5.696634528331152,1.2219547878027295e-08,-0.00042401597734645705,-5.891291140481133,3.831897548694342e-09,2024-02-06 00:00:00+00:00,611,-0.000455774636508081,-5.4198620789858225,263,-0.0003502344535907452,-2.535528324887516,4.379719404029109e-14,1.1017959003354611e-05,5.1826414346090975e-06
HG,1260,21:00,15,rest,2406,-0.1456175679048649,-7.216639607563203,5.328795367822107e-13,-0.00021113844537569643,-5.9519516770012615,2.6496361451461554e-09,-0.0004101997276044671,-5.7912901280539675,6.984780006360935e-09,2023-04-28 00:00:00+00:00,674,-0.0003342656134347673,-4.492395037639359,290,-0.0005866810826057694,-3.6773801903428573,8.63137213769988e-12,3.5836328863101754e-06,7.5575319668825314e-06
PA,1200,20:00,15,15,2181,-0.19229706857893228,-9.147095456701589,5.848483187694076e-20,-0.0001955051002335948,-5.387856518511771,7.13029378528114e-08,-0.0004231298640617419,-5.752668742436783,8.78455119683744e-09,2024-02-13 00:00:00+00:00,611,-0.0005502364384659723,-6.37332187003467,263,-0.0001278366436777696,-0.9246413453357986,2.343725484846293e-18,2.967299182951613e-05,7.920736995815091e-06
PA,1080,18:00,30,60,2275,-0.1460732900267961,-7.03969809416552,1.9265680577197992e-12,-0.0003800039068321304,-4.403364505334915,1.06584861885773e-05,-0.0009205607047256202,-5.651987294932616,1.586033168483622e-08,2024-02-05 00:00:00+00:00,637,-0.0010490474786095689,-5.805649142695611,273,-0.00062075823232974,-1.8155493327374186,2.919533107076783e-11,0.0009320376146508936,1.2257770630709136e-05
HG,1320,22:00,60,60,809,-0.253661177126905,-7.449595049973051,9.362716577412299e-14,-0.00010264796481080939,-4.6044222385615745,4.136125260109393e-06,-0.00023437468758693439,-5.519120155395508,3.4070118542102586e-08,2023-02-01 00:00:00+00:00,226,-0.000269712643879525,-5.485130755714251,98,-0.00015288103327953145,-1.8510422123262467,1.6716929598614037e-12,0.0004864442968954743,2.3039917664096873e-05
PA,1260,21:00,15,5,1909,-0.1961208537760564,-8.734060770243184,2.4568900836005527e-18,-9.025614473427294e-05,-6.507889689942848,7.621384806256745e-11,-0.00015223805029172861,-5.418432064172513,6.012397658294039e-08,2024-05-13 00:00:00+00:00,534,-0.0001864716952703059,-5.608535225001093,230,-7.275645716755348e-05,-1.394064231865804,7.552145086522153e-17,2.0615845900924495e-07,3.614119036818972e-05
PA,1200,20:00,30,15,2181,-0.15852877014426298,-7.494862296701142,6.63680026950121e-14,-0.00021305558005560544,-5.755522876547502,8.637402355752877e-09,-0.0004120101049236918,-5.309693708950878,1.0980961854778583e-07,2024-02-22 00:00:00+00:00,611,-0.0005269356405855775,-5.898288530338896,263,-0.00014501579964075595,-0.9538534027509328,1.217942773365102e-12,9.345669348924612e-06,5.2615377927796205e-05
