root,time_bin,time_utc,horizon,n,mean,tstat,p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,q_value
GC,1230,20:30,rest,2317,0.0002841649021122308,6.521712791968419,6.950901877242854e-11,2023-08-15 00:00:00+00:00,1621,0.00022510566666417882,5.911457503089126,696,0.00042171521915431733,3.677464116585304,9.453226553050281e-08
GC,1200,20:00,rest,2348,0.0002835890440648793,5.842887443413716,5.1303683801561524e-09,2023-08-04 00:00:00+00:00,1643,0.00019777581595467822,4.712166059667984,705,0.00048357646787347547,3.764684501757113,3.4886504985061834e-06
GC,1170,19:30,rest,2352,0.00031034224844750835,5.731129435856934,9.976409890430823e-09,2023-08-15 00:00:00+00:00,1646,0.00022326455369023533,4.69270747380263,706,0.0005133590835331618,3.61389897567641,4.52263915032864e-06
SI,1200,20:00,120,2381,0.0003536668645174422,5.582345347949591,2.3729658948276038e-08,2023-07-25 00:00:00+00:00,1666,0.00031034666342023577,6.164638397313246,715,0.00045460596245862545,2.5919265034101175,8.068084042413853e-06
SI,1230,20:30,120,2362,0.00032986430779561633,5.4136057634610655,6.17680822065529e-08,2023-07-31 00:00:00+00:00,1653,0.0003513692081392637,6.613474061226869,709,0.00027972664874336084,1.738596864263042,1.6649635361436626e-05
GC,1260,21:00,rest,2322,0.00021263325254253113,5.382510051852505,7.345427365339688e-08,2023-08-14 00:00:00+00:00,1625,0.00015958314785295504,4.6061063528272985,697,0.00033631534740703777,3.23975254205091,1.6649635361436626e-05
GC,1230,20:30,120,2317,0.00015629898453260003,5.170902190604941,2.329664884835097e-07,2023-08-15 00:00:00+00:00,1621,0.0001482505782797268,5.046335530413648,696,0.00017504390771637513,2.3711987464333903,4.526206061965331e-05
HG,270,04:30,30,2460,-0.00011185187364169344,-5.0704115895113375,3.9695628671336713e-07,2023-07-26 00:00:00+00:00,1722,-0.0001164588318403961,-4.667820012721276,738,-0.00010110230451138721,-2.2493243852387748,6.064380657660622e-05
HG,240,04:00,60,2464,-0.00015428972113061632,-5.068330891227212,4.0131930822754113e-07,2023-07-24 00:00:00+00:00,1724,-0.00013411087026345868,-3.9686942857980854,740,-0.000201300989907616,-3.1525287359243546,6.064380657660622e-05
SI,1200,20:00,rest,2381,0.00048785972710321823,4.955841343851713,7.201796612113395e-07,2023-07-25 00:00:00+00:00,1666,0.0004302639573874736,4.920117259011612,715,0.0006220618982171071,2.4217428587154797,9.794443392474218e-05
SI,1230,20:30,rest,2362,0.00045275706973798804,4.883124752056723,1.0441776149830823e-06,2023-07-31 00:00:00+00:00,1653,0.0004483871818692117,5.5094831819917855,709,0.0004629452568283792,1.8983062394815957,0.00012909832330699927
GC,1140,19:00,rest,2374,0.0002917814093335092,4.808777829360374,1.5185586456031596e-06,2023-08-09 00:00:00+00:00,1661,0.00019946631187555802,3.6603072111429262,713,0.0005068380388954404,3.229258509660383,0.00017210331316835808
PA,1200,20:00,rest,2181,0.0005030440446406109,4.744733202295828,2.087813284357116e-06,2023-10-04 00:00:00+00:00,1526,0.0006662224079057166,6.2677611986490325,655,0.0001228758273237386,0.48928869615162235,0.00021841738974812905
PA,990,16:30,rest,2510,0.0008222876268502777,4.679660628684171,2.873501584154408e-06,2023-07-03 00:00:00+00:00,1757,0.0010457241515972955,5.437896187137213,753,0.00030093573577390323,0.8003588227118712,0.00026900616033154147
PA,1140,19:00,rest,2118,0.0006089083753105354,4.662581684092784,3.1226707852185895e-06,2023-10-27 00:00:00+00:00,1482,0.0007649638661705101,6.131867379795536,636,0.0002452696371745564,0.758825571323092,0.00026900616033154147
SI,1170,19:30,rest,2385,0.0005397679520143695,4.659825324391424,3.164778356841664e-06,2023-08-04 00:00:00+00:00,1669,0.000520505940143345,5.224269401272185,716,0.0005846678092947327,1.896534398718892,0.00026900616033154147
PA,1080,18:00,rest,2275,0.0007103576796290466,4.589539342835236,4.442252680332444e-06,2023-09-27 00:00:00+00:00,1592,0.0009667832621086436,6.032385861854058,683,0.00011265705399578391,0.31781929878070597,0.0003553802144265955
PA,1170,19:30,rest,1795,0.0006304835279725076,4.565304525811715,4.987697673680273e-06,2024-03-08 00:00:00+00:00,1256,0.0008439435027757774,6.191098819237619,539,0.00013307030282796783,0.4009774896413053,0.0003768482686780651
PA,510,08:30,30,2319,-0.00043420526389770995,-4.533978770551789,5.788284937124794e-06,2023-09-14 00:00:00+00:00,1623,-0.0004879850757950163,-4.137207329536467,696,-0.0003087963059820086,-1.908763538163591,0.00041431934286788
PA,1110,18:30,rest,2089,0.0006733426905234832,4.512906073966177,6.3945345387299654e-06,2023-11-24 00:00:00+00:00,1462,0.0008266249968901622,5.645921753575803,627,0.0003159284450560434,0.8747281972983064,0.00043482834863363764
GC,1110,18:30,rest,2401,0.00030129675538484305,4.442636324077718,8.886329494206187e-06,2023-08-10 00:00:00+00:00,1680,0.00020924698422356293,3.3179432484909985,721,0.0005157816590616122,3.010489161538213,0.0005754956243866864
GC,1200,20:00,120,2348,0.00014844314039188616,4.431361365747023,9.364000870963267e-06,2023-08-04 00:00:00+00:00,1643,0.00010949482697182701,3.4865526309543062,705,0.00023921204670274742,2.8426004487011047,0.0005788655083868202
PA,1050,17:30,rest,2428,0.0006821042132531167,4.376399494575359,1.2065578706662493e-05,2023-07-27 00:00:00+00:00,1699,0.0009020029328794781,5.384839172760003,729,0.00016961048945999155,0.49652426979487724,0.0007134429148287387
HG,210,03:30,60,2483,-0.00013535918279286625,-4.257248947538362,2.0695785885347332e-05,2023-07-17 00:00:00+00:00,1738,-0.00011772029348106668,-3.2394927506558173,745,-0.00017650869906656776,-2.7754735808674447,0.0011727612001696823
PL,1320,22:00,60,830,0.00014037008180321398,4.210003599859238,2.553666193197963e-05,2023-11-06 00:00:00+00:00,581,0.0001462710012096689,4.117018992687056,249,0.00012660126985481916,1.707443895738532,0.001389194409099692
GC,1260,21:00,60,2322,7.921664918287915e-05,4.178808876467653,2.9303981284350628e-05,2023-08-14 00:00:00+00:00,1625,7.46733399321624e-05,4.314894660226204,697,8.980901293096341e-05,1.8475861562218683,0.0015328236364121868
SI,1260,21:00,60,2362,0.00016864830444895368,4.160082650440668,3.181324487987227e-05,2023-07-31 00:00:00+00:00,1653,0.00020894708276367847,7.665324054306358,709,7.469360691123847e-05,0.6268557550317849,0.0015932967705020883
SI,1260,21:00,120,2362,0.00023258810358925354,4.15151602480833,3.3028013380214006e-05,2023-07-31 00:00:00+00:00,1653,0.00022277477154943225,4.233556142905888,709,0.00025546742356361826,1.8152545551995565,0.0015932967705020883
GC,1080,18:00,rest,2417,0.0003009248766687296,4.145044917688715,3.3974710547470996e-05,2023-08-04 00:00:00+00:00,1691,0.00022483094242016738,3.215354720935586,726,0.00047816295217054604,2.6786865233330563,0.0015932967705020883
GC,1050,17:30,rest,2448,0.0003118393061236,4.070831110981018,4.6845704227678636e-05,2023-07-21 00:00:00+00:00,1713,0.00023734833147801273,3.1156067862770067,735,0.0004854488837669891,2.6503018308148185,0.0021236719249880984
HG,180,03:00,120,2482,-0.0002229113690699745,-4.016678885737706,5.9024063619752705e-05,2023-07-18 00:00:00+00:00,1737,-0.00022154784465523855,-3.4826048480153453,745,-0.00022609048572554014,-2.0469631331660785,0.0025894427910601184
PA,1230,20:30,rest,1540,0.000489299931834531,3.9509969841720403,7.782630527680212e-05,2024-04-26 00:00:00+00:00,1078,0.000674964020533471,6.148656858225442,462,5.608372487033758e-05,0.1735764622731477,0.00330761797426409
PA,1020,17:00,rest,2517,0.00064692825883639,3.928642984552219,8.542655244819322e-05,2023-06-28 00:00:00+00:00,1761,0.0008099959536615044,4.565681049621563,756,0.0002670840649382071,0.7416936715279776,0.0035206094342285694
SI,1140,19:00,rest,2405,0.000499700248943293,3.884257058744238,0.00010264326691026124,2023-08-01 00:00:00+00:00,1683,0.0004686417735737407,4.12665327376559,722,0.0005720983293407396,1.6968583751583957,0.004005947000915064
SI,1230,20:30,30,2362,0.00014205587047369845,3.8831917011757264,0.00010309422428825533,2023-07-31 00:00:00+00:00,1653,0.00010936466132969992,2.94412979883077,709,0.00021827387994482613,2.546146809850297,0.004005947000915064
PL,1260,21:00,120,2448,0.0001743743351691089,3.8514216205460565,0.00011743411682266079,2023-06-27 00:00:00+00:00,1713,0.00016961680168665598,4.200357010536691,735,0.00018546230095882569,1.5732882609041867,0.004436399968856074
PA,960,16:00,rest,2508,0.000734149189427934,3.833992777117449,0.000126079845037888,2023-07-03 00:00:00+00:00,1755,0.0008802910442486366,4.204076004690578,753,0.0003935396871565753,0.9585229404283291,0.004634286195987234
HG,690,11:30,30,2496,0.00016262160473062818,3.824748763693288,0.00013090550966801114,2023-07-11 00:00:00+00:00,1747,0.00018631034271624985,3.972922832732177,749,0.00010736896753319018,1.191827703162259,0.004685039293381451
GC,1260,21:00,120,2322,0.00010450044912274498,3.8173290354674787,0.0001349042061014958,2023-08-14 00:00:00+00:00,1625,7.30318400431582e-05,3.02529519089408,697,0.0001778670054417242,2.479890873975182,0.0047043518025136994
SI,1260,21:00,rest,2362,0.0003106311760496677,3.744576072429024,0.00018069862210545688,2023-07-31 00:00:00+00:00,1653,0.00033892246316931396,4.443044885226093,709,0.0002446713768835531,1.1561334769574554,0.006143753151585534
GC,1290,21:30,120,775,0.00017619503816891692,3.7286731225046945,0.00019249064697461363,2023-11-21 00:00:00+00:00,542,0.00016647499466833344,3.991411939939081,233,0.00019880561146211966,1.6051888735010216,0.006385055606962794
HG,210,03:30,120,2483,-0.00017827343942864886,-3.716429017841473,0.00020205837310552949,2023-07-17 00:00:00+00:00,1738,-0.0002065658296287349,-3.7502400166908334,745,-0.00011227052108267626,-1.1800555577430643,0.00654284255770286
SI,1320,22:00,60,794,0.00015403441311922055,3.708496575197193,0.0002084934799547242,2023-11-13 00:00:00+00:00,555,0.00013441519791507857,4.201775122742487,239,0.00019959367855143308,1.7144965092860016,0.0065942123892656955
GC,1230,20:30,60,2317,8.30126204583143e-05,3.694943132776675,0.00021993600611341265,2023-08-15 00:00:00+00:00,1621,6.857534893108892e-05,3.128690723233558,696,0.00011663735773652165,2.1333924409492173,0.006798022007141846
PA,30,00:30,5,1202,0.00018626046247730024,3.6703623256234224,0.0002422068980365083,2024-09-16 00:00:00+00:00,841,7.386050331377358e-05,1.51557210125862,361,0.0004481118908887294,3.608208830549627,0.007320030696214473
SI,1050,17:30,rest,2461,0.0005827228089013708,3.6552417977363776,0.00025693969380071054,2023-07-20 00:00:00+00:00,1722,0.0005725247973811095,3.7792019224772506,739,0.0006064859697104233,1.5286314410601392,0.007446841266219227
HG,210,03:30,30,2483,-9.317579706844156e-05,-3.6548283799614945,0.00025735407317081154,2023-07-17 00:00:00+00:00,1738,-0.00010121423297813725,-3.5165832648252673,745,-7.442304322810452e-05,-1.428627575402428,0.007446841266219227
PL,1260,21:00,rest,2448,0.00024832596399144643,3.6259037074329963,0.00028795264908404005,2023-06-27 00:00:00+00:00,1713,0.00026432085106817857,3.9520469928751782,735,0.00021104808431465444,1.2666623103933212,0.008158658390714469
