rule,kind,root,time_utc,signal_window,horizon,date,decision_ts,entry_ts,exit_ts,signal,base_forward_return,cost_1x,gross_exposure,turnover,holding_minutes,low_threshold,high_threshold,direction,gross_return,weight_GC,weight_SI,weight_HG,weight_PL,weight_PA,variant,cost_multiplier,cost_return,net_return
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-06-22 00:00:00+00:00,2016-06-22 04:30:00+00:00,2016-06-22 04:31:00+00:00,2016-06-22 05:31:00+00:00,0.0030736517873535263,-0.0016538692488083928,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,-1,0.0016538692488083928,0.0,0.0,-1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,0.0014937924119267784
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-06-24 00:00:00+00:00,2016-06-24 04:30:00+00:00,2016-06-24 04:31:00+00:00,2016-06-24 05:31:00+00:00,-0.007644566612098669,0.0009585430880104662,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,1,0.0009585430880104662,0.0,0.0,1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,0.0007984662511288517
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-06-28 00:00:00+00:00,2016-06-28 04:30:00+00:00,2016-06-28 04:31:00+00:00,2016-06-28 05:31:00+00:00,-0.0013921115937324258,0.000928720754006962,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,1,0.000928720754006962,0.0,0.0,1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,0.0007686439171253475
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-07-13 00:00:00+00:00,2016-07-13 04:30:00+00:00,2016-07-13 04:31:00+00:00,2016-07-13 05:31:00+00:00,-0.006842538561402822,0.004419896698151238,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,1,0.004419896698151238,0.0,0.0,1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,0.004259819861269623
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-07-20 00:00:00+00:00,2016-07-20 04:30:00+00:00,2016-07-20 04:31:00+00:00,2016-07-20 05:31:00+00:00,0.0011149516151109928,-0.0013377928416599127,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,-1,0.0013377928416599127,0.0,0.0,-1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,0.0011777160047782983
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-07-21 00:00:00+00:00,2016-07-21 04:30:00+00:00,2016-07-21 04:31:00+00:00,2016-07-21 05:31:00+00:00,0.0008841733555674525,0.00022092124247596878,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,-1,-0.00022092124247596878,0.0,0.0,-1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,-0.0003809980793575833
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-07-26 00:00:00+00:00,2016-07-26 04:30:00+00:00,2016-07-26 04:31:00+00:00,2016-07-26 05:31:00+00:00,0.0018075016217897755,0.0,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,-1,-0.0,0.0,0.0,-1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,-0.0001600768368816145
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-07-27 00:00:00+00:00,2016-07-27 04:30:00+00:00,2016-07-27 04:31:00+00:00,2016-07-27 05:31:00+00:00,0.0008992806361441952,-0.0038275404152324777,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,-1,0.0038275404152324777,0.0,0.0,-1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,0.003667463578350863
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-07-28 00:00:00+00:00,2016-07-28 04:30:00+00:00,2016-07-28 04:31:00+00:00,2016-07-28 05:31:00+00:00,0.0018115946983506825,0.0009047727375869341,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,-1,-0.0009047727375869341,0.0,0.0,-1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,-0.0010648495744685486
hg_0430_s60_h60,individual,HG,04:30,60,60,2016-08-03 00:00:00+00:00,2016-08-03 04:30:00+00:00,2016-08-03 04:31:00+00:00,2016-08-03 05:31:00+00:00,-0.0011326312231333402,0.0006797326646672541,0.0001600768368816145,1.0,2.0,60,-0.0010321460625787758,0.0007259528449489405,1,0.0006797326646672541,0.0,0.0,1.0,0.0,0.0,hg_core_tailq0p2_costx1p0,1.0,0.0001600768368816145,0.0005196558277856397
