root,target_months,price_bars,observed_funding_bars,usable_return_bars,observed_funding_fraction,usable_fraction,first_ts,last_ts
GC,1,58526,51378,58460,0.8778662474797526,0.99887229607354,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
GC,3,58526,44806,58381,0.7655742746813382,0.9975224686464136,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
GC,6,58526,36918,57873,0.6307965690462358,0.9888425656972969,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
SI,1,58396,42575,58118,0.7290739091718611,0.9952393999589013,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
SI,3,58396,44630,58194,0.7642646756627166,0.9965408589629426,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
SI,6,58396,20319,48133,0.34795191451469276,0.8242516610726762,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
HG,1,58651,32579,57712,0.55547219996249,0.9839900427955193,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
HG,3,58651,42433,57690,0.723482975567339,0.9836149426267242,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
HG,6,58651,29743,56356,0.5071183782032702,0.9608702323916046,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
PL,1,58876,46769,58788,0.7943644269311774,0.9985053332427475,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
PL,3,58876,49686,58856,0.843909232964196,0.9996603030097153,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
PL,6,58876,18374,36899,0.31207962497452274,0.6267239622256947,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
PA,1,58234,28043,49538,0.48155716591681835,0.85067142906206,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
PA,3,58234,28614,49577,0.49136243431672216,0.8513411409142425,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
PA,6,58234,810,3464,0.01390940000686884,0.05948415015283168,2016-06-22 00:00:00+00:00,2026-06-21 23:00:00+00:00
