root,target_months,first_ts,last_ts,accounted_years,intervals,cum_realized_log_return,cum_funding_paid_log,cum_excess_after_funding_log,ann_realized_log_return_pct,ann_funding_paid_pct,ann_excess_after_funding_pct
GC,1,2016-06-22 00:00:00+00:00,2026-06-21 22:00:00+00:00,9.997260273972604,58460,0.8394534438725012,0.32266391252631993,0.5167895313461794,8.396834941448695,3.2275233782435393,5.169311563205138
GC,3,2016-06-22 00:00:00+00:00,2026-06-21 22:00:00+00:00,9.988584474885844,58381,0.8518653949469348,0.31571203795141217,0.5361533569955236,8.528389553983027,3.160728517090709,5.367661036892328
GC,6,2016-06-22 01:00:00+00:00,2026-06-21 22:00:00+00:00,9.920091324200913,57873,0.8508122990891627,0.3076803075612898,0.5431319915278799,8.576657928677866,3.101587450215073,5.475070478462864
HG,1,2016-06-22 01:00:00+00:00,2026-06-21 22:00:00+00:00,9.898287671232877,57712,0.8888912778576826,0.23227892999918784,0.6566123478584883,8.980253023369315,2.346657701960449,6.6335953214088015
HG,3,2016-06-22 01:00:00+00:00,2026-06-21 22:00:00+00:00,9.895205479452056,57690,0.877732877009294,0.21769850222620413,0.660034374783091,8.870284491130125,2.2000402384595974,6.670244252670539
HG,6,2016-06-22 00:00:00+00:00,2026-06-21 22:00:00+00:00,9.694520547945206,56356,1.010271407037922,0.19175701840714568,0.8185143886307693,10.421055915468177,1.9779938312451086,8.443062084222998
PA,1,2016-06-22 13:00:00+00:00,2026-06-21 22:00:00+00:00,8.507648401826485,49538,0.9301836812422568,0.07644432214339748,0.8537393590988678,10.933499332701127,0.8985364525288311,10.034962880172396
PA,3,2016-06-22 13:00:00+00:00,2026-06-21 22:00:00+00:00,8.512100456621004,49577,0.9976767057148592,0.07363141421862247,0.9240452914962379,11.720687635198573,0.86502050338644,10.855667131812146
PA,6,2016-08-12 14:00:00+00:00,2026-06-19 05:00:00+00:00,0.5715753424657535,3464,0.36516124554406026,0.003673826084588065,0.3614874194594754,63.886808687157334,0.6427544737565697,63.24405421340133
PL,1,2016-06-22 13:00:00+00:00,2026-06-21 22:00:00+00:00,9.994406392694064,58788,0.3429982619035066,0.22240926419145896,0.12058899771204751,3.431902290407554,2.2253374082730986,1.2065648821344543
PL,3,2016-06-22 00:00:00+00:00,2026-06-21 22:00:00+00:00,10.00216894977169,58856,0.24961215215792532,0.2160788822134344,0.03353326994449009,2.4955802427594764,2.1603202595209776,0.3352599832384907
PL,6,2016-06-22 13:00:00+00:00,2026-06-21 22:00:00+00:00,6.211187214611872,36899,-0.6212140253721827,0.14205196013411003,-0.7632659855062821,-10.00153439121544,2.2870339473898254,-12.288568338605094
SI,1,2016-06-22 00:00:00+00:00,2026-06-21 22:00:00+00:00,9.967922374429223,58118,1.1094027959429469,0.33822705067025166,0.7711757452726954,11.12972948895454,3.393154942076071,7.736574546878471
SI,3,2016-06-22 00:00:00+00:00,2026-06-21 22:00:00+00:00,9.975114155251141,58194,0.9951702911320224,0.3336749230372139,0.6614953680948075,9.976530349862118,3.3450737289212813,6.631456620940828
SI,6,2016-06-22 13:00:00+00:00,2026-06-18 10:00:00+00:00,8.344748858447488,48133,0.9741054635896367,0.2720985686411934,0.7020068949484565,11.673274775711652,3.260716089325382,8.41255868638643
