root,target_months,horizon,signal,decile,n,mean_excess_bp,median_excess_bp,mean_signal
GC,1,1d,funding_pct_ann,1,5795,-2.296852536799591,-0.18181524642648456,0.36572322628704196
GC,1,1d,funding_pct_ann,2,5794,7.042606771439706,9.375809351313668,1.227966217714945
GC,1,1d,funding_pct_ann,3,5794,-1.061632347815161,1.5149606197437495,1.7409167345763266
GC,1,1d,funding_pct_ann,4,5796,1.0056521056059164,6.802742255264304,2.2124262480209063
GC,1,1d,funding_pct_ann,5,5792,-0.4692945511955411,-0.787373572562625,2.644068700387385
GC,1,1d,funding_pct_ann,6,5795,-0.36814064895742465,-0.5359672591728027,3.0755581663692757
GC,1,1d,funding_pct_ann,7,5794,1.3260008395831653,2.2057491397428937,4.218376852102169
GC,1,1d,funding_pct_ann,8,5793,7.479436015438297,7.118931766437942,5.02368097994287
GC,1,1d,funding_pct_ann,9,5794,6.222576285616427,6.379606774175241,5.543938015285057
GC,1,1d,funding_pct_ann,10,5794,1.4231956294517576,-0.18743243051074215,6.363113489734431
GC,1,1d,funding_z_126d,1,5755,7.609765955611191,9.557906971105863,-1.9228604468132278
GC,1,1d,funding_z_126d,2,5732,9.64588111316509,13.134007880989655,-1.1599463629929763
GC,1,1d,funding_z_126d,3,5724,14.514456350749766,9.442954351513134,-0.7223334970800407
GC,1,1d,funding_z_126d,4,5729,-8.251066474115861,-4.112682099300521,-0.3454608282630726
GC,1,1d,funding_z_126d,5,5752,2.3567228038816803,5.355076770617821,-0.044569292559784125
GC,1,1d,funding_z_126d,6,5738,4.07797868466042,6.942299561124473,0.26810806748928584
GC,1,1d,funding_z_126d,7,5734,-0.8287719733525103,0.9065418913483068,0.5736463533630337
GC,1,1d,funding_z_126d,8,5720,3.9571047151479473,-0.13224491530801408,0.9045829757279471
GC,1,1d,funding_z_126d,9,5733,-3.5432795915578463,-4.037676297188815,1.3064085164814168
GC,1,1d,funding_z_126d,10,5729,-11.185937997773062,-6.709876379294478,2.1587171641443708
GC,1,1d,funding_change_24h_pct_ann,1,5792,2.2354345569051173,5.496888042116777,-1.8823767727172145
GC,1,1d,funding_change_24h_pct_ann,2,5792,3.785554393597216,4.4162329827613185,-0.5895035981826741
GC,1,1d,funding_change_24h_pct_ann,3,5791,1.303753055800437,2.595285241767762,-0.29215895945955456
GC,1,1d,funding_change_24h_pct_ann,4,5792,0.8120216936532272,1.1638398656703908,-0.1448339047743117
GC,1,1d,funding_change_24h_pct_ann,5,5792,2.243881410530413,2.9329641054568416,-0.04105779051586773
GC,1,1d,funding_change_24h_pct_ann,6,5791,0.49011190272613325,0.8941160069359211,0.048871824953324816
GC,1,1d,funding_change_24h_pct_ann,7,5792,2.9326633067523957,3.5876040254210753,0.1515819215231943
GC,1,1d,funding_change_24h_pct_ann,8,5791,1.7162962456418205,1.862092393934653,0.3007845042889948
GC,1,1d,funding_change_24h_pct_ann,9,5792,2.8510811626751478,2.940645701114675,0.5876515470214758
GC,1,1d,funding_change_24h_pct_ann,10,5792,2.014130269117672,4.88236543919024,1.8696993491186351
GC,1,1d,funding_z_change_24h,1,5749,8.08668371477951,9.444899365181016,-1.3975584675121149
GC,1,1d,funding_z_change_24h,2,5716,3.183133606695702,7.391974740890544,-0.44704444463759085
GC,1,1d,funding_z_change_24h,3,5749,8.005563708373655,8.846236113219003,-0.21811826750713684
GC,1,1d,funding_z_change_24h,4,5720,4.845993836991127,4.992740069023719,-0.09722382759496666
GC,1,1d,funding_z_change_24h,5,5746,-1.2691735559038748,-0.6910318176542001,-0.020015214477139668
GC,1,1d,funding_z_change_24h,6,5723,3.3229845606784747,4.275297575895271,0.038456370146116754
GC,1,1d,funding_z_change_24h,7,5736,-5.935488014524047,-2.3577015966402466,0.11811140580129494
GC,1,1d,funding_z_change_24h,8,5732,-2.3520015563896894,0.9326659254915881,0.23698058630701516
GC,1,1d,funding_z_change_24h,9,5721,-2.7773652884323505,-3.147108008406564,0.44871584890432564
GC,1,1d,funding_z_change_24h,10,5730,3.1241122956060723,1.0337603834303863,1.3324312440797006
GC,1,1d,abs_funding_z_126d,1,5738,4.08025733611543,6.813936481823284,0.07232868851257288
GC,1,1d,abs_funding_z_126d,2,5744,-1.8790950564156155,7.2214032975331,0.23003519461083227
GC,1,1d,abs_funding_z_126d,3,5725,-6.697066071617041,-5.6230165228911675,0.3794814939124511
GC,1,1d,abs_funding_z_126d,4,5740,4.673741665536236,3.9407685600561733,0.5492035646264556
GC,1,1d,abs_funding_z_126d,5,5746,7.856375235769873,7.125086565025127,0.7245148798776839
GC,1,1d,abs_funding_z_126d,6,5715,14.007932836935266,6.488267312825709,0.9196804137565204
GC,1,1d,abs_funding_z_126d,7,5738,-4.95555593706662,-1.7543974295536358,1.1319056114832617
GC,1,1d,abs_funding_z_126d,8,5739,6.908181276310347,5.486651785385677,1.343253494021951
GC,1,1d,abs_funding_z_126d,9,5730,-2.976102813537507,-0.9673024262414203,1.6341323335909352
GC,1,1d,abs_funding_z_126d,10,5731,-2.6394952067457065,1.2993730855725345,2.457426020982223
GC,1,1h,funding_pct_ann,1,5846,0.020104236149880845,-0.006830960168543128,0.36651801822727637
GC,1,1h,funding_pct_ann,2,5846,0.08361615088892806,-0.013321383100348349,1.229106505870043
GC,1,1h,funding_pct_ann,3,5846,-0.16073277335476155,-0.020432849460512537,1.743284903543782
GC,1,1h,funding_pct_ann,4,5846,0.29196691424407684,0.4927142726153157,2.2155342273084555
GC,1,1h,funding_pct_ann,5,5846,0.0011120709287071855,-0.029701721367889972,2.6443800174357994
GC,1,1h,funding_pct_ann,6,5846,-0.24953569429650715,-0.03351686630572366,3.0779020828472095
GC,1,1h,funding_pct_ann,7,5846,0.013576131170784916,0.504170236459097,4.218598465519849
GC,1,1h,funding_pct_ann,8,5846,0.2589267415318602,0.48055648599110307,5.024430251173856
GC,1,1h,funding_pct_ann,9,5846,0.35824203148674194,0.36134277840897727,5.543130237270987
GC,1,1h,funding_pct_ann,10,5846,0.2667295476412972,-0.06652348146132875,6.363430072626931
GC,1,1h,funding_z_126d,1,5793,0.30009316729807656,0.5952334499800609,-1.9243520627085597
GC,1,1h,funding_z_126d,2,5799,0.489943309736144,0.6274004732107444,-1.1573059564538473
GC,1,1h,funding_z_126d,3,5790,0.9549918668553691,0.6294154424557103,-0.7175753265130771
GC,1,1h,funding_z_126d,4,5782,-0.10614663959631203,-0.0071030423935354225,-0.34344903779077657
GC,1,1h,funding_z_126d,5,5770,0.2360409667434421,0.37752509531103623,-0.04225168157399585
GC,1,1h,funding_z_126d,6,5789,0.2713896105795854,0.7329770707655907,0.26962008448730734
GC,1,1h,funding_z_126d,7,5783,-0.1963612679342788,-0.03968408163193953,0.5741137836449058
GC,1,1h,funding_z_126d,8,5808,-0.1979841457285955,-0.05935824391156198,0.9064266888183891
GC,1,1h,funding_z_126d,9,5765,-0.12773159033297712,-0.061926525279954264,1.3107620791156402
GC,1,1h,funding_z_126d,10,5786,-0.8197159880318114,-0.5348369821822835,2.164328478695437
GC,1,1h,funding_change_24h_pct_ann,1,5844,-0.09368710835086227,-0.008995394739958648,-1.8830025760991371
GC,1,1h,funding_change_24h_pct_ann,2,5844,0.5340719153131968,-0.013987399806265151,-0.5890649902495362
GC,1,1h,funding_change_24h_pct_ann,3,5843,0.20823179886403906,-0.003841240114415827,-0.291613869678915
GC,1,1h,funding_change_24h_pct_ann,4,5844,0.040881148330769605,-0.020076080774713064,-0.144201207352844
GC,1,1h,funding_change_24h_pct_ann,5,5843,-0.14851730800145926,-0.03281792928434121,-0.040721315261192347
GC,1,1h,funding_change_24h_pct_ann,6,5844,-0.12311075422750381,-0.029883507659043178,0.04901234743214977
GC,1,1h,funding_change_24h_pct_ann,7,5843,0.19239250996794793,-0.019035987232088027,0.15178749524996396
GC,1,1h,funding_change_24h_pct_ann,8,5845,-0.1665677181450459,-0.032257385714908125,0.3012371760947744
GC,1,1h,funding_change_24h_pct_ann,9,5842,0.08422725115893209,0.7170667764742582,0.588404414520062
GC,1,1h,funding_change_24h_pct_ann,10,5844,0.360870661836644,0.7489210104167559,1.8696487341770789
GC,1,1h,funding_z_change_24h,1,5804,0.2598912898209821,0.6167793851314396,-1.404333921600011
GC,1,1h,funding_z_change_24h,2,5773,0.7700628319137932,0.6985277771912843,-0.44593543322908186
GC,1,1h,funding_z_change_24h,3,5788,0.7422132476148681,0.4520249656833809,-0.2173828457261731
GC,1,1h,funding_z_change_24h,4,5777,0.4068416498744454,0.3425335258351377,-0.0966629053436187
GC,1,1h,funding_z_change_24h,5,5796,0.48348866353725745,0.2371115427789235,-0.019387330860080595
GC,1,1h,funding_z_change_24h,6,5772,0.013986343909352553,-0.020578073947524162,0.03829299062470232
GC,1,1h,funding_z_change_24h,7,5793,-0.46271339491548186,-0.03332258205820692,0.11841632279437406
GC,1,1h,funding_z_change_24h,8,5773,-0.23406806691795146,-0.028055873290936093,0.237623844258739
GC,1,1h,funding_z_change_24h,9,5781,-0.6018805570856004,-0.03310059071984588,0.45137344335411034
GC,1,1h,funding_z_change_24h,10,5784,-0.5702415208513927,-0.05768746858258692,1.3398343392638459
GC,1,1h,abs_funding_z_126d,1,5809,0.3277195563666431,0.4375353313111318,0.07262190623525906
GC,1,1h,abs_funding_z_126d,2,5777,0.23029591719251058,0.4330648992980269,0.230970225769775
GC,1,1h,abs_funding_z_126d,3,5786,-0.231347977992725,-0.0065620315345656524,0.38028000370224996
GC,1,1h,abs_funding_z_126d,4,5793,0.028525036657673215,-0.030811655714367073,0.5490724320763365
GC,1,1h,abs_funding_z_126d,5,5781,0.4917396335732137,0.24259056261370332,0.723724359035582
GC,1,1h,abs_funding_z_126d,6,5787,0.8424117116972841,0.5555145664349358,0.9186160972278435
GC,1,1h,abs_funding_z_126d,7,5784,-0.53119929077848,-0.049731601526074504,1.131903892226304
GC,1,1h,abs_funding_z_126d,8,5784,0.2878962296165834,0.29836172361031327,1.34497331510388
GC,1,1h,abs_funding_z_126d,9,5783,-0.07092770377554895,-0.052362909985648125,1.6354806381777243
GC,1,1h,abs_funding_z_126d,10,5781,-0.5704092277615507,-0.029369548939681526,2.4636981835092167
GC,1,1m,funding_pct_ann,1,4649,19.053634002858054,-37.54348870585941,0.3192791340963983
GC,1,1m,funding_pct_ann,2,4649,25.388565770869956,28.2377551241518,1.2069086168064722
GC,1,1m,funding_pct_ann,3,4649,-132.32138368222087,-145.21433487939103,1.6985652331819876
GC,1,1m,funding_pct_ann,4,4650,-81.32042748652073,-129.94091314399068,2.225821067397712
GC,1,1m,funding_pct_ann,5,4647,-81.58181974815454,-174.65769845331172,2.6780811171026015
GC,1,1m,funding_pct_ann,6,4649,4.4412038526509985,-97.27042681966569,3.089537114879178
GC,1,1m,funding_pct_ann,7,4648,115.86863987500514,106.19863309670467,4.2074105509681115
GC,1,1m,funding_pct_ann,8,4649,291.55939233596916,354.31331310832064,5.0365331748160225
GC,1,1m,funding_pct_ann,9,4649,195.64198844031677,133.8699593351013,5.582392566101032
GC,1,1m,funding_pct_ann,10,4649,126.57571230385963,128.98342952706145,6.413845358781029
GC,1,1m,funding_z_126d,1,4596,131.39416594148705,61.01575367312694,-2.0273962928640397
GC,1,1m,funding_z_126d,2,4586,214.3400057349547,283.0025020367574,-1.2659912540525387
GC,1,1m,funding_z_126d,3,4598,181.5469898173519,212.38220752247847,-0.8427727580569825
GC,1,1m,funding_z_126d,4,4599,43.37573774934872,-44.12099637433999,-0.440605983226571
GC,1,1m,funding_z_126d,5,4568,-2.440470539215301,-53.806918720288905,-0.13849550699946456
GC,1,1m,funding_z_126d,6,4606,-32.848850481919115,-65.36132522276337,0.16035748710256867
GC,1,1m,funding_z_126d,7,4589,29.954290923629006,-21.382627143741004,0.4799511343683031
GC,1,1m,funding_z_126d,8,4577,57.25320123944074,66.5535394654989,0.8052179397649437
GC,1,1m,funding_z_126d,9,4587,23.829160469337126,-30.924781879669165,1.2411565534678175
GC,1,1m,funding_z_126d,10,4587,-156.54570393153412,-284.9697478914089,2.1799321224870187
GC,1,1m,funding_change_24h_pct_ann,1,4647,60.94462315166969,33.749994717297454,-1.9991804466775813
GC,1,1m,funding_change_24h_pct_ann,2,4646,61.13012360394718,13.827706272922617,-0.6374483835550919
GC,1,1m,funding_change_24h_pct_ann,3,4646,51.09150991977178,-7.070188188051781,-0.3144257150990612
GC,1,1m,funding_change_24h_pct_ann,4,4647,49.811652149400445,-16.93698888838059,-0.15292547455903124
GC,1,1m,funding_change_24h_pct_ann,5,4647,45.0077712347063,-17.310033504107622,-0.04321927339596046
GC,1,1m,funding_change_24h_pct_ann,6,4645,25.89485462677718,-41.48914683509025,0.051573175636960907
GC,1,1m,funding_change_24h_pct_ann,7,4647,49.750817955588985,-14.775443905462861,0.16006015497357529
GC,1,1m,funding_change_24h_pct_ann,8,4646,27.21610446643827,-52.76671602558711,0.32268104360334987
GC,1,1m,funding_change_24h_pct_ann,9,4646,58.69284348686963,-2.13071811054331,0.6364841720709578
GC,1,1m,funding_change_24h_pct_ann,10,4647,50.54677719610962,18.17547774461756,1.995690568051602
GC,1,1m,funding_z_change_24h,1,4590,133.01154266693172,104.11072194724186,-1.4437734905409632
GC,1,1m,funding_z_change_24h,2,4585,75.21055714806815,39.12350948052593,-0.4906854909684649
GC,1,1m,funding_z_change_24h,3,4590,11.489897605327009,-19.098737731187565,-0.23121031063704892
GC,1,1m,funding_z_change_24h,4,4588,19.723148338928954,-112.80091793415855,-0.10344276264693678
GC,1,1m,funding_z_change_24h,5,4588,14.697971315340709,-81.98332659334825,-0.02164941642902892
GC,1,1m,funding_z_change_24h,6,4598,47.670053382547415,-28.284951559088594,0.03873153189985101
GC,1,1m,funding_z_change_24h,7,4589,-50.685921764612644,-155.22871790920385,0.12351851230515307
GC,1,1m,funding_z_change_24h,8,4583,60.014358076080015,-0.7319953378081331,0.25221508272022514
GC,1,1m,funding_z_change_24h,9,4582,95.4111268400073,55.81742943840812,0.48944061354762225
GC,1,1m,funding_z_change_24h,10,4576,84.6195928935715,67.29501804791151,1.4158553793689215
GC,1,1m,abs_funding_z_126d,1,4611,28.99569621735619,-18.379148790250962,0.0704739677490516
GC,1,1m,abs_funding_z_126d,2,4584,-49.537485423004526,-93.43535465810085,0.2282904354341426
GC,1,1m,abs_funding_z_126d,3,4591,4.767144471758966,-15.944620565894597,0.3754789969119988
GC,1,1m,abs_funding_z_126d,4,4575,60.12940969004873,-65.51193520806625,0.5465313079046478
GC,1,1m,abs_funding_z_126d,5,4593,59.81984687724402,26.68172598798124,0.7239058690696877
GC,1,1m,abs_funding_z_126d,6,4591,160.54629445316806,177.12739428673487,0.9219229337578386
GC,1,1m,abs_funding_z_126d,7,4584,176.52217231818756,181.58320483420295,1.1406371366743655
GC,1,1m,abs_funding_z_126d,8,4598,89.88850309098568,49.22825303414676,1.3705311858371247
GC,1,1m,abs_funding_z_126d,9,4576,-97.6352658993216,-230.44873692978737,1.6900890938615079
GC,1,1m,abs_funding_z_126d,10,4590,56.26415882096242,109.76472985608422,2.5184338922097145
GC,1,1w,funding_pct_ann,1,5532,0.8832839084180374,18.727576291429045,0.35962541793876873
GC,1,1w,funding_pct_ann,2,5533,30.745904088187245,57.12649131511295,1.222858721671104
GC,1,1w,funding_pct_ann,3,5532,-20.968635953163474,0.7648855679639446,1.7279854528267866
GC,1,1w,funding_pct_ann,4,5531,-6.534585047007522,6.492199670551242,2.2055670328418064
GC,1,1w,funding_pct_ann,5,5532,-16.530641066178763,-19.28670899558809,2.6493072278753047
GC,1,1w,funding_pct_ann,6,5540,-3.0461059436246973,2.2339484332948607,3.0750721492082547
GC,1,1w,funding_pct_ann,7,5524,15.810255280918986,2.633491172036548,4.205645960277547
GC,1,1w,funding_pct_ann,8,5532,61.212045115249836,67.89055148443785,5.014580768528259
GC,1,1w,funding_pct_ann,9,5533,33.97618856341143,23.258012663585077,5.5491982655609
GC,1,1w,funding_pct_ann,10,5531,25.16837669824749,18.988691126984563,6.370984930797582
GC,1,1w,funding_z_126d,1,5484,59.11297078298146,52.22742171993852,-1.9420974730027776
GC,1,1w,funding_z_126d,2,5483,87.91566508263203,85.90709788095845,-1.1843718043927105
GC,1,1w,funding_z_126d,3,5454,25.62600728259365,19.793053316045118,-0.7444681599851051
GC,1,1w,funding_z_126d,4,5488,-49.75424414175618,-15.833628996584498,-0.3566212951350014
GC,1,1w,funding_z_126d,5,5466,12.444155932771313,36.644313496415805,-0.05867928016023737
GC,1,1w,funding_z_126d,6,5467,1.9833028722479302,10.922778361483042,0.2455816202641266
GC,1,1w,funding_z_126d,7,5468,36.10315377407344,43.21654536923061,0.5530819613158329
GC,1,1w,funding_z_126d,8,5493,18.945499568413226,16.01043681207717,0.8893682140445949
GC,1,1w,funding_z_126d,9,5462,-29.03577205163439,-37.601143188293925,1.3012460753167994
GC,1,1w,funding_z_126d,10,5460,-50.76535219255425,-44.611515616100746,2.168060811702167
GC,1,1w,funding_change_24h_pct_ann,1,5530,13.431516021047988,30.167919557022948,-1.8970105433364863
GC,1,1w,funding_change_24h_pct_ann,2,5530,15.67764185278483,21.040028539503513,-0.5990184970574415
GC,1,1w,funding_change_24h_pct_ann,3,5529,12.722503067435897,16.47628166319601,-0.29744052287542283
GC,1,1w,funding_change_24h_pct_ann,4,5530,14.302824144731282,13.807621778030397,-0.14646477542851358
GC,1,1w,funding_change_24h_pct_ann,5,5529,7.694726259522875,9.261673684089823,-0.041133146973275025
GC,1,1w,funding_change_24h_pct_ann,6,5530,0.6646408787279314,-0.41218651647472293,0.05028073413752483
