target_months,lookback,root,pressure_state,observations,next_excess_bp,next_return_bp,next_funding_paid_bp,positive_excess_fraction
1,1d,GC,longs_pay_and_lose,28136,-0.09844886111637115,-0.04302256034588269,0.05542630077048846,0.49879158373613874
1,1d,GC,longs_pay_and_win,30030,0.22209372737426042,0.2775719264099531,0.05547819903569269,0.4953046953046953
1,1d,GC,shorts_pay_and_lose,170,5.687013515908934,5.687546688061563,0.0005331721526287591,0.5470588235294118
1,1d,GC,shorts_pay_and_win,100,3.2720586298283596,3.2785609722261633,0.006502342397803712,0.54
1,1d,HG,longs_pay_and_lose,24913,0.20294032656122163,0.2550800245156256,0.05213969795440407,0.4943603741018745
1,1d,HG,longs_pay_and_win,25101,-0.006548658918551624,0.04341140929419261,0.04996006821274423,0.4752400302776782
1,1d,HG,shorts_pay_and_lose,4260,0.4054987395313254,0.3695342684359099,-0.03596447109541549,0.5044600938967136
1,1d,HG,shorts_pay_and_win,3414,-0.045268246137606084,-0.06773095945519135,-0.02246271331758536,0.5172817809021676
1,1d,PA,longs_pay_and_lose,15104,-0.1452844999574101,-0.09734098291287777,0.04794351704453233,0.4977489406779661
1,1d,PA,longs_pay_and_win,14709,-0.3269142192774681,-0.28116167876931963,0.04575254050814844,0.4816778842885308
1,1d,PA,shorts_pay_and_lose,11239,1.0585549905717018,1.025176643353047,-0.03337834721865469,0.5148144852744906
1,1d,PA,shorts_pay_and_win,8462,0.41738915338861904,0.38693664197493194,-0.030452511413687225,0.5316709997636493
1,1d,PL,longs_pay_and_lose,27566,-0.14434656251017053,-0.10328961383442724,0.0410569486757433,0.49441340782122906
1,1d,PL,longs_pay_and_win,28238,0.10260176146354488,0.14263769336399507,0.04003593190045021,0.4957149939797436
1,1d,PL,shorts_pay_and_lose,1577,1.2948677845071386,1.2782509075565647,-0.016616876950573914,0.4920735573874445
1,1d,PL,shorts_pay_and_win,1383,0.2977857226782027,0.28895853876985206,-0.008827183908350708,0.5003615328994938
1,1d,SI,longs_pay_and_lose,28001,-0.06277237460310685,-0.0036829351383654303,0.05908943946474137,0.4873040248562551
1,1d,SI,longs_pay_and_win,29216,0.29834943946739345,0.35717632289036927,0.058826883422975845,0.47833378970427165
1,1d,SI,shorts_pay_and_lose,461,2.0738567254171314,2.0826545513160664,0.00879782589893515,0.4880694143167028
1,1d,SI,shorts_pay_and_win,416,-0.49459278913576477,-0.48342901793191767,0.01116377120384695,0.49038461538461536
1,3d,GC,longs_pay_and_lose,28265,0.0803206877437004,0.1347260754644406,0.05440538772074019,0.4980010613833363
1,3d,GC,longs_pay_and_win,29943,0.06625316313374312,0.12261462402253416,0.05636146088879107,0.49610927428781354
1,3d,GC,shorts_pay_and_lose,179,2.561170981120764,2.5569857203123525,-0.004185260808411692,0.553072625698324
1,3d,GC,shorts_pay_and_win,1,17.93917834989763,17.932036620047498,-0.007141729850131624,1.0
1,3d,HG,longs_pay_and_lose,24272,0.18209411008612936,0.23463380910159942,0.05253969901547007,0.4880520764667106
1,3d,HG,longs_pay_and_win,25724,0.1552857034557401,0.20413366523447232,0.048847961778732275,0.4831674700668636
1,3d,HG,shorts_pay_and_lose,4132,-0.2169565997635137,-0.2521071819982433,-0.0351505822347296,0.49927395934172314
1,3d,HG,shorts_pay_and_win,3512,-0.2737359507380369,-0.2925388129353881,-0.018802862197351267,0.5113895216400911
1,3d,PA,longs_pay_and_lose,15455,-0.028669152241898303,0.021664981132258544,0.05033413337415688,0.4949854416046587
1,3d,PA,longs_pay_and_win,14573,-0.34071496018240954,-0.29786099569446617,0.04285396448794321,0.48603581966650655
1,3d,PA,shorts_pay_and_lose,11619,0.9653529658851707,0.9298406061599687,-0.0355123597252021,0.5213873827351752
1,3d,PA,shorts_pay_and_win,7819,0.3488038995550117,0.32000531740815363,-0.028798582146858154,0.5209106023788208
1,3d,PL,longs_pay_and_lose,28069,0.016717607877607912,0.057992672850410085,0.04127506497280209,0.49200185257757667
1,3d,PL,longs_pay_and_win,27827,0.005014170546721048,0.04454478277416474,0.039530612227443696,0.49843677004348297
1,3d,PL,shorts_pay_and_lose,1641,-0.4850474074074637,-0.5017835621483407,-0.016736154740877085,0.48080438756855576
1,3d,PL,shorts_pay_and_win,1179,1.2159132175958896,1.2084395316411018,-0.007473685954787492,0.5080576759966073
1,3d,SI,longs_pay_and_lose,27475,0.0051267474841713186,0.06354127312496731,0.05841452564079604,0.48043676069153773
1,3d,SI,longs_pay_and_win,29909,0.2874195308426383,0.3465282880132676,0.059108757170629286,0.48527199170818147
1,3d,SI,shorts_pay_and_lose,402,-0.9806828416073513,-0.9674523620255925,0.013230479581758995,0.4925373134328358
1,3d,SI,shorts_pay_and_win,260,-3.314654711041619,-3.3032224198034004,0.011432291238218678,0.43846153846153846
1,1w,GC,longs_pay_and_lose,27273,0.11532562361300172,0.17001455934480325,0.05468893573180151,0.49492171744949215
1,1w,GC,longs_pay_and_win,30865,0.0486126329553685,0.10471605932992441,0.056103426374555926,0.4991738214806415
1,1w,GC,shorts_pay_and_lose,143,0.03586355238955349,0.036651917189224156,0.0007883647996707082,0.5034965034965035
1,1w,GC,shorts_pay_and_win,11,0.8124687552426183,0.8169911364707229,0.004522381228104193,0.36363636363636365
1,1w,HG,longs_pay_and_lose,23721,0.13417711530017587,0.18648856113481138,0.0523114458346355,0.48530837654399056
1,1w,HG,longs_pay_and_win,26117,0.13082926788900046,0.17999242507923788,0.049163157190237415,0.4856223915457365
1,1w,HG,shorts_pay_and_lose,4077,-0.17014075585720748,-0.20651996402994274,-0.03637920817273522,0.5040470934510669
1,1w,HG,shorts_pay_and_win,3629,0.08935271094145426,0.07329819573967428,-0.01605451520178007,0.5048222650868007
1,1w,PA,longs_pay_and_lose,15830,0.1379167025547184,0.18720644181047397,0.049289739255755444,0.49639924194567275
1,1w,PA,longs_pay_and_win,14428,-0.33509250273420255,-0.29280672175711936,0.04228578097708302,0.4830191294704741
1,1w,PA,shorts_pay_and_lose,12090,0.47849618937300287,0.44247774526040295,-0.03601844411259993,0.5220016542597188
1,1w,PA,shorts_pay_and_win,7022,0.6601817508553368,0.6329316337088348,-0.02725011714650192,0.5227855311876958
1,1w,PL,longs_pay_and_lose,28477,0.06446532164063025,0.10659837054992663,0.04213304890929629,0.48881553534431293
1,1w,PL,longs_pay_and_win,27190,-0.10725770719461548,-0.06866747998189959,0.038590227212715864,0.5007723427730784
1,1w,PL,shorts_pay_and_lose,1925,-0.3614232234324939,-0.3749986742829058,-0.013575450850411739,0.48935064935064937
1,1w,PL,shorts_pay_and_win,1028,2.26176054307168,2.2592228564552204,-0.0025376866164596537,0.5204280155642024
1,1w,SI,longs_pay_and_lose,27512,0.022888800620971646,0.08299308512352385,0.060104284502552195,0.47895463797615584
1,1w,SI,longs_pay_and_win,30005,0.2234217955865334,0.2808071425750788,0.05738534698854534,0.4861856357273788
1,1w,SI,shorts_pay_and_lose,248,-1.6847080385718485,-1.6734231261313475,0.01128491244050183,0.4798387096774194
1,1w,SI,shorts_pay_and_win,185,-1.619865109371756,-1.6137548904365597,0.0061102189351954755,0.4864864864864865
1,2w,GC,longs_pay_and_lose,27889,0.038866562872069674,0.09272157979922536,0.053855016927155705,0.49349205780056654
1,2w,GC,longs_pay_and_win,30192,0.11892274857156436,0.17576868329692413,0.056845934725359766,0.5004636989931107
1,2w,GC,shorts_pay_and_lose,43,0.3822654704931896,0.3854137006084548,0.0031482301152653937,0.5813953488372093
1,2w,HG,longs_pay_and_lose,22365,0.22748945943616278,0.27778542398168027,0.05029596454551751,0.48710038005812656
1,2w,HG,longs_pay_and_win,27591,0.07642631772333532,0.1260968467756025,0.04967052905226721,0.4844695734116197
1,2w,HG,shorts_pay_and_lose,4068,-0.5383866446779315,-0.5743600887997932,-0.03597344412186173,0.5049164208456244
1,2w,HG,shorts_pay_and_win,3352,0.31760928632327745,0.3067443788017241,-0.010864907521553311,0.5020883054892601
1,2w,PA,longs_pay_and_lose,16517,0.07559463927497144,0.12383369863987735,0.04823905936490588,0.4949446025307259
1,2w,PA,longs_pay_and_win,13640,-0.32030259488458457,-0.2771995074847778,0.04310308739980672,0.48409090909090907
1,2w,PA,shorts_pay_and_lose,13218,0.48650343053810435,0.4494725674118496,-0.037030863126254775,0.5211075805719474
1,2w,PA,shorts_pay_and_win,5827,0.6900562052386366,0.6670299169088985,-0.023026288329738256,0.5235970482237858
1,2w,PL,longs_pay_and_lose,28301,0.011327110009976708,0.05265441011660702,0.0413273001066303,0.4917847425886011
1,2w,PL,longs_pay_and_win,27096,-0.05207653126882813,-0.012666805503129316,0.03940972576569876,0.49811780336581046
1,2w,PL,shorts_pay_and_lose,2391,0.01992256394652872,0.009330684062774375,-0.010591879883753966,0.49226265161020494
1,2w,PL,shorts_pay_and_win,664,1.926969440616325,1.9369233743169936,0.009953933700668834,0.5015060240963856
1,2w,SI,longs_pay_and_lose,28604,0.24070073957436955,0.29829601282725715,0.057595273252887574,0.4814361627744371
1,2w,SI,longs_pay_and_win,29178,-0.02370620293484839,0.035473717204870074,0.05917992013971859,0.4840976077866886
3,1d,GC,longs_pay_and_lose,28127,-0.09946367392109638,-0.04571973623499649,0.0537439376860999,0.4989511856934618
3,1d,GC,longs_pay_and_win,30095,0.2753701546349085,0.33003678799698977,0.05466663336208116,0.4951653098521349
3,1d,GC,shorts_pay_and_lose,75,-1.2856662393856013,-1.288315314536703,-0.0026490751511016315,0.5066666666666667
3,1d,GC,shorts_pay_and_win,60,-0.101033486469376,-0.10022879934753112,0.0008046871218458172,0.5
3,1d,HG,longs_pay_and_lose,24797,0.2530223468887884,0.29945875743267697,0.046436410543888515,0.4927208936564907
3,1d,HG,longs_pay_and_win,25396,-0.06278322515712932,-0.017158409271698427,0.04562481588543088,0.4749173098125689
3,1d,HG,shorts_pay_and_lose,3949,0.48611667770000777,0.46590494062922794,-0.0202117370707799,0.5097493036211699
3,1d,HG,shorts_pay_and_win,3524,-0.02845600376859811,-0.043673536269716456,-0.015217532501118531,0.5167423382519863
3,1d,PA,longs_pay_and_lose,15076,-0.09580569312690841,-0.04863581031148293,0.047169882815425626,0.49787742106659594
3,1d,PA,longs_pay_and_win,14729,-0.32375075216048044,-0.2790592989942719,0.044691453166208615,0.4817706565279381
3,1d,PA,shorts_pay_and_lose,11235,1.0680788720867629,1.034733138296445,-0.033345733790317945,0.5151757899421451
3,1d,PA,shorts_pay_and_win,8513,0.3925963667958219,0.36221944640088716,-0.03037692039493476,0.5313050628450605
3,1d,PL,longs_pay_and_lose,27655,-0.1755499337904533,-0.13621288026493472,0.03933705352551856,0.49372627011390346
3,1d,PL,longs_pay_and_win,28268,0.15102268148742118,0.1902459297997465,0.0392232483123252,0.49571954153105985
3,1d,PL,shorts_pay_and_lose,1521,0.4090119567425388,0.3944402568450751,-0.014571699897463848,0.4904667981591059
3,1d,PL,shorts_pay_and_win,1388,0.1964465420455331,0.18642756498770796,-0.0100189770578251,0.5050432276657061
3,1d,SI,longs_pay_and_lose,28405,-0.0619771804951151,-0.005425547657923199,0.05655163283719189,0.48611160007041015
3,1d,SI,longs_pay_and_win,29593,0.34014337319766386,0.39859742189012143,0.05845404869245765,0.47700469705673637
3,1d,SI,shorts_pay_and_lose,63,-16.025597003365743,-16.027155160329112,-0.0015581569633620698,0.3492063492063492
3,1d,SI,shorts_pay_and_win,109,-6.268252603309668,-6.266607691072295,0.0016449122373730137,0.4954128440366973
3,3d,GC,longs_pay_and_lose,28225,0.083483346941373,0.1367173009717093,0.053233954030336324,0.4973959255978742
3,3d,GC,longs_pay_and_win,29988,0.07664906687828761,0.13175686210999119,0.05510779523170359,0.49653194611177803
3,3d,GC,shorts_pay_and_lose,84,3.957930006905912,3.9569872793576177,-0.0009427275482948822,0.5476190476190477
3,3d,GC,shorts_pay_and_win,12,-5.265638384602953,-5.260277578125194,0.0053608064777587935,0.4166666666666667
3,3d,HG,longs_pay_and_lose,23953,0.11051268038039574,0.15745040598899707,0.04693772560860135,0.48803907652486117
3,3d,HG,longs_pay_and_win,26046,0.12173821301560361,0.1669651180173404,0.04522690500173676,0.48057283268064194
3,3d,HG,shorts_pay_and_lose,4119,-0.4160452102381064,-0.4354321294057197,-0.0193869191676133,0.5003641660597232
3,3d,HG,shorts_pay_and_win,3500,0.7104019204464685,0.6968116931325549,-0.013590227313913602,0.5202857142857142
3,3d,PA,longs_pay_and_lose,15341,0.0962129873292665,0.1460147227693448,0.049801735440078085,0.4959911348673489
