config,horizon,root,decile,n,signal_mean,forward_excess_mean_bp,forward_excess_median_bp,forward_price_mean_bp,forward_funding_paid_mean_bp,positive_excess_fraction
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,1,3505,-1.6862322010402206,0.18822498142434205,-0.02525399567858577,0.24929079165444373,0.061065810230101665,0.4961483594864479
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,2,3505,-0.9888649952565228,-0.5315541611220335,-0.062163365045408696,-0.46491316528485815,0.06664099583717535,0.48216833095577744
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,3,3504,-0.6268090635313156,0.3767444863992629,-0.020800221040948454,0.4427954123815899,0.06605092598232702,0.4988584474885845
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,4,3505,-0.3309248996587246,0.5709075159963009,0.5197190357427103,0.6405712640943103,0.06966374809800957,0.5112696148359487
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,5,3505,-0.07101181153028653,-0.16719227093193612,-0.03716914917931839,-0.10050032052846566,0.06669195040347045,0.48787446504992865
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,6,3504,0.18070854446989706,-0.1454568666776337,-0.06638013484947751,-0.07499677087153321,0.07046009580610049,0.4771689497716895
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,7,3505,0.4733480503826201,-0.1253258187668231,0.34423180195269654,-0.06005345386485163,0.06527236490197147,0.5027104136947218
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,8,3504,0.7896549949437907,0.5521223178437487,-0.02533332126506168,0.6181646739440672,0.0660423561003185,0.4957191780821918
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,9,3505,1.1796895076799823,0.4083458016487185,-0.018128354995720648,0.4789393990136394,0.070593597364921,0.498716119828816
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,GC,10,3505,1.8731860919451073,0.4335018229075489,0.6698627276690764,0.5013982269995386,0.06789640409198958,0.5178316690442225
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,1,1777,-1.5713123304739862,-0.35257229115472766,1.116046243818806,-0.30315905737587673,0.04941323377885089,0.5053460889138999
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,2,1777,-0.9528673961144721,1.0155965893949517,-0.024288357669665656,1.0700073522117848,0.05441076281683332,0.4952166572875633
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,3,1776,-0.6059286026057131,-0.7945594594351736,-0.026638568689689657,-0.7400567903911766,0.05450266904399669,0.49155405405405406
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,4,1777,-0.32957249054334087,-0.31463681459778176,-0.05840930513379932,-0.25401948140666075,0.060617333191120906,0.47326955543050087
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,5,1777,-0.05838880845286823,0.720102374741647,-0.03515690690824641,0.7750613220926694,0.05495894735102261,0.48733821046707937
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,6,1776,0.20244089580017646,0.18046916155407136,-0.038443154528579146,0.24192887211944758,0.0614597105653764,0.48367117117117114
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,7,1777,0.46386214480096954,0.5696680597852393,-0.030385144000295617,0.6204793786186021,0.05081131883336315,0.48958919527293193
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,8,1776,0.73272206180659,0.7640419493205248,-0.034974160018974826,0.8185696949127725,0.05452774559224785,0.48536036036036034
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,9,1777,1.0476825621040509,0.5441668226433456,-0.03964109104784337,0.5894743601572312,0.045307537513885394,0.4805852560495217
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,HG,10,1777,1.6729643321955754,0.35379209115561994,-0.030062196577819854,0.38788690854760693,0.03409481739198685,0.48733821046707937
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,1,260,-1.0975888460550194,2.3047247128468733,3.2116095762443138,2.326015659028654,0.021290946181780217,0.5423076923076923
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,2,259,-0.5186924548750533,3.7665110261203463,0.9029959990029701,3.7665500667340774,3.9040613730350367e-05,0.5019305019305019
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,3,259,-0.17486127204120017,-1.6345816862497395,1.3969599054627237,-1.6427136698115443,-0.008131983561804947,0.5212355212355212
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,4,259,0.06348480056581823,3.628284719431013,2.971938123299108,3.6192993871509342,-0.008985332280078967,0.5521235521235521
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,5,259,0.2636884514422914,3.710080413873137,3.3769493133192445,3.6942567094893133,-0.01582370438382328,0.5444015444015444
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,6,259,0.4557970510160089,0.32363258993047905,0.05462505598826685,0.30796160946459966,-0.01567098046587926,0.5173745173745173
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,7,259,0.6951147231724613,1.7964740131816672,3.8268791432358173,1.7486214693777704,-0.04785254380389705,0.5752895752895753
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,8,259,0.9415937677529224,3.680669330707193,1.3746317960169547,3.644007004149466,-0.03666232655772699,0.5444015444015444
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,9,259,1.2225624667825428,1.7337989398469777,0.8731078760478655,1.701738785695307,-0.03206015415167092,0.525096525096525
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PA,10,260,1.7716484179146186,0.5406380257405258,-0.8717401755593094,0.49892034686520426,-0.041717678875321844,0.49230769230769234
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PL,1,601,-1.9387860455463626,0.6154949439021009,0.9551265027868235,0.6645048990119543,0.04900995510985369,0.5041597337770383
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PL,2,600,-1.1465018828222002,-0.8947692672813617,-2.3774800730171894,-0.8256843517100284,0.06908491557133332,0.465
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PL,3,601,-0.7099139908079272,-0.9913057745858742,-1.4905034702798399,-0.9377679341833097,0.05353784040256448,0.454242928452579
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PL,4,600,-0.3632115604840555,2.3667781827791208,1.0495743970554754,2.413413450790728,0.04663526801160778,0.5133333333333333
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PL,5,601,-0.08250695784775433,0.9051594245676875,-0.029066374611832323,0.9537708009479003,0.04861137638021262,0.49916805324459235
robust_1m_3d_pressure_vol_scaled_filt0p02,1h,PL,6,600,0.20788102310566375,0.5953346023242767,0.9321348254023513,0.6491321053838057,0.053797503059529295,0.505
