config,target_months,lookback,score_method,funding_scaled_filter,horizon,root,n,corr_signal_forward_excess,mean_forward_excess_bp,high_minus_low_decile_bp,positive_excess_fraction
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1h,GC,35047,0.006780787279511292,0.1560227839652831,0.24527684148320686,0.4968470910491625
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1h,HG,17767,0.005985567298367013,0.26864376334575746,0.7063643823103476,0.4879270557775651
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1h,PA,2592,-0.007593662053450362,1.9845893028026864,-1.7640866871063476,0.5316358024691358
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1h,PL,6005,0.01373692180900162,0.7866181441604325,0.2688761327943915,0.4999167360532889
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1h,SI,19069,0.008465539423075248,0.4017174803473393,0.49921301133026363,0.4793119723110808
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,4h,GC,35047,0.014927706149406195,0.5146836371917847,0.6851143400936621,0.5040089023311553
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,4h,HG,17766,0.011676636733133997,0.9361965246528318,2.7289040926642114,0.5055161544523247
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,4h,PA,2592,0.009732385672803767,7.376719956438732,-5.165191527828208,0.5597993827160493
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,4h,PL,6005,0.020081104069115903,2.3845347263107084,3.5210237934603392,0.5122398001665279
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,4h,SI,19069,0.01789792794233846,1.4749606623317728,2.8820010744583486,0.49965913262363
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1d,GC,35047,0.01966437391883674,3.926861110623876,2.326487288390914,0.5160784089936371
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1d,HG,17766,0.011303029538066412,2.6170742262224143,-14.651068369926154,0.5077113587751886
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1d,PA,2592,0.04742114992214839,30.61083506112343,-1.0383548692603135,0.6084104938271605
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1d,PL,6005,0.04172972811409485,16.52657856870041,11.762847971110677,0.522564529558701
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,1d,SI,19069,0.03501056283315313,7.561070891084265,14.069876618618926,0.5154963553411296
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,3d,GC,35026,0.03561976475475336,12.493613471042169,20.677622271536325,0.5239821846628219
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,3d,HG,17735,0.025020501079751668,6.270219857197782,1.2696262590915115,0.5228080067662814
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,3d,PA,2592,0.12274044540348222,90.31051977048713,93.05690271919181,0.6678240740740741
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,3d,PL,6005,-0.03619683125297332,35.66661496430645,-23.86816942348983,0.5293921731890091
robust_1m_3d_pressure_vol_scaled_filt0p02,1,3d,pressure_vol_scaled,0.02,3d,SI,19069,0.030516883722459455,19.277872377382288,46.675653018858576,0.5300225496879752
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1h,GC,34669,0.009948019697006207,0.1193610707248763,0.5015194746993983,0.49513975020912054
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1h,HG,14288,0.005408591481058591,0.34638631029699973,-0.019921232536473488,0.48761198208286677
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1h,PA,2494,-0.017420455534073145,2.2568344701774503,-3.9781501251038276,0.5348837209302325
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1h,PL,5660,0.0049743828029262666,0.44094441399249806,-1.117137583220359,0.49664310954063606
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1h,SI,18416,0.009655522904558225,0.249958300036789,0.8975080044157955,0.4748588184187663
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,4h,GC,34669,0.01963749897597913,0.41244507418409615,1.4411488512033583,0.5027257780726297
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,4h,HG,14287,0.013093225421251863,1.3974062043509314,2.669630294355764,0.5068243858052776
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,4h,PA,2494,-0.011222485537821517,8.466292140145969,-13.434896792796604,0.5697674418604651
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,4h,PL,5660,0.011172150850402768,1.6805972608291078,-0.6529384700096381,0.5106007067137809
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,4h,SI,18416,0.020278047692264874,1.1623937873879062,3.0456470453125544,0.49674196350999134
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1d,GC,34669,0.02544471094699786,3.5765137400840845,4.459543581182178,0.5136000461507398
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1d,HG,14287,0.02006654751116583,5.1724091637657565,-9.177959411991594,0.5147336739693428
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1d,PA,2494,0.03271266351496487,35.26271642182893,-4.300008262410472,0.6146752205292703
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1d,PL,5660,-0.029505998126014614,12.252251472717573,-27.730431616520256,0.5192579505300353
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,1d,SI,18416,0.050039727817923145,6.352609153437078,20.226697520655343,0.5105343179843614
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,3d,GC,34648,0.04714002293021036,13.52254653625321,27.02232698516494,0.5274763334102979
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,3d,HG,14246,0.024841281721026856,14.31235710339523,-1.0325699575163654,0.5440825494875755
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,3d,PA,2494,0.13341351561854997,97.74780665488969,116.03794826368059,0.673616680032077
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,3d,PL,5660,-0.08065686209215202,34.706461087213796,-68.4783133343168,0.5339222614840989
robust_3m_3d_pressure_vol_scaled_filt0p02,3,3d,pressure_vol_scaled,0.02,3d,SI,18416,0.030152597012846314,18.466557054872887,57.41608240748196,0.5292137271937446
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,1h,GC,57801,0.004525320772775927,0.08618020989734759,0.10728424909852252,0.49703292330582516
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,1h,HG,56284,-0.002247289967886631,0.1459579937171615,-0.12904543176497224,0.48804278302892473
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,1h,PA,3392,-0.002426743209637399,1.0811408780891048,-0.7021209073273793,0.5103183962264151
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,1h,PL,36827,0.004556862169751995,-0.2068959012466079,1.3136653001039846,0.4936595432698835
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,1h,SI,48061,0.002233425616362479,0.14039395525310167,0.6528073069530038,0.4824910010195377
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,4h,GC,57798,0.00923007101486995,0.34637131667141546,0.273527676005924,0.5047579501020797
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,4h,HG,56281,-0.003226600638489465,0.5819844102422445,0.164146999780439,0.5012881789591515
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,4h,PA,3389,-0.0041549625800557525,4.2485308010213725,-9.983739861075534,0.5423428740041311
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,4h,PL,36824,0.01042746068602497,-0.8249975732257707,7.762660235710191,0.4988594394959809
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,4h,SI,48058,0.006595230288149629,0.572507199911395,3.9801328370394558,0.5003121228515544
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,1d,GC,57778,0.006177866196973996,2.106355016911376,-2.0025486194213955,0.5176191630032192
full_best_6m_3d_pressure_vol_scaled_filt0,6,3d,pressure_vol_scaled,0.0,1d,HG,56261,-0.0037189960592800705,3.4902778663031957,0.9536887251362316,0.5106023710918753
