pair,days,first_date,last_date,median_obs_per_day,median_ann_cov,p10_ann_cov,p90_ann_cov,latest_smooth_ann_cov
GC-HG,3105,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,1286.0,0.004743521122275303,-9.132860129363308e-05,0.01902255277242238,0.02242267233594325
GC-PA,3100,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,448.0,0.005050334234083416,8.325715605907429e-05,0.021434114374216506,0.032629914653192094
GC-PL,3107,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,1072.0,0.011760811735620312,0.0006125312180308094,0.03904588317859821,0.03855357286469108
GC-SI,3100,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,1272.0,0.018454646438086635,0.0009821090608434664,0.06108431461634649,0.06442882979231099
HG-PA,3099,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,457.0,0.006403432608725678,6.917095505521843e-05,0.02763387292180972,0.030146545297963415
HG-PL,3107,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,1045.0,0.01218122948025314,0.0004969509600221455,0.03997994184766106,0.03345461397134253
PL-PA,3104,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,433.0,0.018123638022213697,0.0008003986807660451,0.06484931527919535,0.08278049513958413
SI-HG,3100,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,1225.0,0.013210149373854965,0.00016610957746753208,0.04983806280861844,0.05140850076425313
SI-PA,3095,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,449.0,0.011145411490842506,0.000307162919372653,0.04821783329332728,0.07676852647727496
SI-PL,3108,2016-06-22 00:00:00+00:00,2026-06-21 00:00:00+00:00,1035.0,0.025423222143177753,0.0011187861982658075,0.08581248397060873,0.09119327359157382
