window,root,nobs,mean_after_carry_bp,median_after_carry_bp,p10_after_carry_bp,p90_after_carry_bp,latest_after_carry_bp,positive_fraction,mean_residual_bp,mean_carry_cost_bp
120D,GC,57731,-22.66382331271246,-18.48324179188531,-172.5146319157822,106.78594672850363,46.93408525441826,0.43356255737818505,7.170009558386773,29.83383287109922
120D,HG,57731,-46.66420036045982,-45.84966728964018,-298.2547369820253,226.10400798028803,16.353663637583914,0.38435156155271866,-38.993505975691505,7.670694384768348
120D,PA,57731,101.52825983494077,66.36271896024793,-455.64928270363384,570.2381927514169,-221.97870138054603,0.5950529178430999,93.76488236590899,-7.763377469031758
120D,PL,57731,99.11760665277559,77.10772879799798,-281.3167683134438,492.52891726809196,382.2407744759526,0.5996258509293101,85.77331966074772,-13.34428699202788
120D,SI,57731,-87.39427690291016,-49.062192483736716,-381.2945300392525,188.7506123216335,-408.11507989377446,0.38622230690616827,-102.48415643292442,-15.08987953001423
1D,GC,51848,-0.12258815750440467,-0.12924377360677944,-14.741689495222236,14.257622038003893,1.7060547689741663,0.49369310291621665,0.18332476270038123,0.3059129202047859
1D,HG,51848,-0.12468392796678109,-0.2253639825010498,-31.295036298220378,31.127235586371484,-3.787425908432315,0.4925551612405493,-0.040125567330089686,0.0845583606366913
1D,PA,51848,0.7779058432579996,0.16452328771095823,-42.86444415666915,46.63585590530858,-34.57679512402393,0.5027580620274649,0.7029203942510408,-0.07498544900695922
1D,PL,51848,0.9370153132381439,0.21682411166324994,-35.06798016713876,37.87819268407182,15.482693209164802,0.5044553309674433,0.798728319880666,-0.13828699335747774
1D,SI,51848,-1.1964674715017858,-0.629904643753261,-27.920521611044776,26.184426963445294,-0.7614138214269212,0.4855346397160932,-1.3578679056248955,-0.1614004341231089
20D,GC,57753,-4.1989124370823045,-2.6933357950726635,-62.45843114539417,49.7881488402547,63.958914738521415,0.4737935691652382,0.8461603714514248,5.045072808533735
20D,HG,57753,-7.08955987202871,-7.369257159400873,-122.9970236323438,115.16387842015025,-38.798135089851655,0.45408896507540736,-5.728030721653988,1.3615291503746976
20D,PA,57753,16.24426618011057,-1.1679915694036294,-157.49725785369242,213.38643050232852,29.872818306403843,0.49545478156978856,15.015972609576105,-1.2282935705346012
20D,PL,57753,16.422848209432665,17.419204962102196,-139.39596539724303,179.37436563546436,-102.39045186160288,0.5634512492857514,14.144326824676815,-2.2785213847558583
20D,SI,57753,-14.597960317643103,-9.064150868263678,-123.97338973831381,98.25159788936718,30.477798227464703,0.45445258254982424,-17.251025813150445,-2.653065495507322
252D,GC,56691,-47.374947048818164,-24.63916930225423,-319.83132001212937,155.4488867079482,-30.991442156940256,0.4299095094459438,15.00196381873721,62.37691086755537
252D,HG,56691,-109.95195413230154,-91.13074790762121,-474.5044127687278,199.46207385647375,361.8246803096974,0.3336684835335415,-95.02067797856029,14.931276153741232
252D,PA,56691,206.38033222928172,155.90746803687736,-634.4398301182906,1238.7604486933915,255.72623310399663,0.6194457674057611,188.7641843332976,-17.616147895984152
252D,PL,56691,206.96406520886907,90.38585820204942,-317.86868452418025,980.0652705999083,-142.9395332152274,0.6266955954207899,179.27976769225438,-27.684297516614738
252D,SI,56691,-144.38785051751742,-153.95666304905208,-529.7259692596929,262.9908534216181,-1002.8182456012514,0.31458256160589865,-174.21032194204602,-29.822471424528583
5D,GC,56338,-1.5118576388257874,-1.2734787737153912,-29.50731019596279,26.956804564462036,21.63399936327618,0.47571798785899394,-0.13789098479985798,1.3739666540259492
5D,HG,56338,-1.107528756225484,-2.235411161520291,-58.27256861170555,58.15709651045786,-23.26681762258678,0.4687422343711172,-0.7390557061925032,0.3684730500330346
5D,PA,56338,3.3018656275302405,0.8877293440939958,-85.35555243249964,95.08641874082399,-77.95997510108968,0.5071355035677518,2.9734757859148035,-0.3283898416154768
5D,PL,56338,3.570677838156146,2.6435408651160035,-64.92462557094787,74.89831879227562,16.896045002736773,0.5204480102240051,2.9519771614912127,-0.6187006766650032
5D,SI,56338,-2.86039787706878,-1.5059302212207006,-52.48606563451642,51.568353117825254,17.858845387303525,0.484149242074621,-3.5864539672574822,-0.7260560901887331
60D,GC,58211,-12.60966019592023,-14.58231460595766,-113.08248892832323,83.21455790807002,-3.137360956914968,0.4362921097387092,2.366270996204273,14.975931192124511
60D,HG,58211,-21.994461452688697,-17.933593442966316,-231.39649688821737,172.21771615860644,-3.839401669828978,0.4344367902973665,-18.031278511084384,3.963182941604268
60D,PA,58211,50.05122609117008,16.24143865128008,-299.3979854260652,433.1339084797896,77.59075653325235,0.5281991376200375,46.30903898108834,-3.742187110081583
60D,PL,58211,50.86217286491508,34.686130307158415,-228.9564137659517,367.9132528891496,-21.79803933763343,0.5723488687705073,44.12656597340975,-6.735606891505381
60D,SI,58211,-44.71699363413139,-31.148267532486877,-235.39297356332264,158.7285918972461,-58.61117445378419,0.40978509216471115,-52.47418945387693,-7.757195819745509
