pair,first_ts,last_ts,observations,median_corr,p10_corr,p90_corr,latest_corr,latest_paired_obs
GC-HG,2016-07-26 10:55:00+00:00,2026-06-21 23:55:00+00:00,56526,0.8784328784949841,0.6921415329546621,0.9787146463817773,0.9605169740441871,454.0
GC-PA,2016-07-28 13:55:00+00:00,2026-06-21 23:55:00+00:00,53271,0.46780161059020087,0.29446011087954044,0.6586642342060515,0.4236784004865812,408.0
GC-PL,2016-07-26 20:55:00+00:00,2026-06-21 23:55:00+00:00,56931,-0.44787459165140214,-0.624524131096637,-0.19659395450347736,-0.30424274351255115,454.0
GC-SI,2016-07-26 09:55:00+00:00,2026-06-21 23:55:00+00:00,56174,-0.5981034175513708,-0.9344408977824308,-0.3289421075811788,-0.8527539223986169,454.0
HG-PA,2016-07-28 14:55:00+00:00,2026-06-21 23:55:00+00:00,55711,0.7610856413641617,0.11042878806725129,0.9412168257618516,0.2214889639678126,408.0
HG-PL,2016-07-26 22:55:00+00:00,2026-06-21 23:55:00+00:00,57996,-0.7305136722390309,-0.9292569098186759,-0.0014752068383408602,-0.10090686182013327,454.0
PL-PA,2016-07-29 05:55:00+00:00,2026-06-21 23:55:00+00:00,56038,-0.9961153742909732,-0.9991182929693843,-0.9831208557636428,-0.9897646022242211,408.0
SI-HG,2016-07-26 10:55:00+00:00,2026-06-21 23:55:00+00:00,57137,-0.24255359874748825,-0.9429243555712725,0.13713346526567474,-0.9276120611395752,454.0
SI-PA,2016-07-28 13:55:00+00:00,2026-06-21 23:55:00+00:00,54440,0.3918554965948142,0.02934112020439951,0.5438275140843669,0.10212815917074385,408.0
SI-PL,2016-07-26 20:55:00+00:00,2026-06-21 23:55:00+00:00,57366,-0.42545322356074594,-0.5611246264510372,-0.1758198736662061,-0.23747039826095084,454.0
