pair,first_ts,last_ts,observations,median_corr,p10_corr,p90_corr,latest_corr,latest_paired_obs
GC-HG,2016-07-26 05:55:00+00:00,2026-06-21 23:55:00+00:00,57332,-0.36696732769929175,-0.6002830930085011,0.6634538999438071,-0.7411290996089462,455.0
GC-PA,2016-07-28 13:55:00+00:00,2026-06-21 23:55:00+00:00,53744,0.18813368205717457,-0.41058217296159893,0.6004983967176726,-0.3775261783346734,408.0
GC-PL,2016-07-26 19:55:00+00:00,2026-06-21 23:55:00+00:00,57520,-0.3565569505163595,-0.5415027476218504,-0.11798394677991562,-0.19430567333543805,455.0
GC-SI,2016-07-26 03:55:00+00:00,2026-06-21 23:55:00+00:00,56330,-0.2597509157876551,-0.6998413604932696,0.048522188732098265,0.02249861225534493,456.0
HG-PA,2016-07-28 14:55:00+00:00,2026-06-21 23:55:00+00:00,56031,-0.5372661004210569,-0.865434888175498,0.6783125657242031,0.7293855922545966,408.0
HG-PL,2016-07-26 22:55:00+00:00,2026-06-21 23:55:00+00:00,58177,-0.268218037486962,-0.40546899596971153,-0.09294400608140967,-0.016622386381556886,454.0
PL-PA,2016-07-29 05:55:00+00:00,2026-06-21 23:55:00+00:00,56640,-0.4621566998835458,-0.8839613137825065,-0.1421296932493795,-0.6780434242760258,408.0
SI-HG,2016-07-26 05:55:00+00:00,2026-06-21 23:55:00+00:00,57318,-0.17295217479800903,-0.48568747412088015,0.37172492248998845,-0.6270830108725869,455.0
SI-PA,2016-07-28 13:55:00+00:00,2026-06-21 23:55:00+00:00,54530,0.020860868678847774,-0.41527387085021744,0.41972395234572357,-0.3653659005190595,408.0
SI-PL,2016-07-26 19:55:00+00:00,2026-06-21 23:55:00+00:00,57514,-0.3935442530225427,-0.5299974070641424,-0.17366093912820446,-0.18403739065474234,455.0
