ts,pair,left,right,rolling_corr,paired_obs
2016-07-26 00:00:00+00:00,GC-HG,GC,HG,0.586067196213939,257.0
2016-07-27 00:00:00+00:00,GC-HG,GC,HG,0.5969622913187195,280.0
2016-07-28 00:00:00+00:00,GC-HG,GC,HG,0.5659070979139681,303.0
2016-07-29 00:00:00+00:00,GC-HG,GC,HG,0.5858458266362095,324.0
2016-07-31 00:00:00+00:00,GC-HG,GC,HG,0.591393735821462,326.0
2016-08-01 00:00:00+00:00,GC-HG,GC,HG,0.6035124675026164,349.0
2016-08-02 00:00:00+00:00,GC-HG,GC,HG,0.6011894199432506,372.0
2016-08-03 00:00:00+00:00,GC-HG,GC,HG,0.5959873608392088,395.0
2016-08-04 00:00:00+00:00,GC-HG,GC,HG,0.5912649636260393,418.0
2016-08-05 00:00:00+00:00,GC-HG,GC,HG,0.6008616568756813,439.0
2016-08-07 00:00:00+00:00,GC-HG,GC,HG,0.6010852047243225,441.0
2016-08-08 00:00:00+00:00,GC-HG,GC,HG,0.6034655276148556,464.0
2016-08-09 00:00:00+00:00,GC-HG,GC,HG,0.5967841127831385,487.0
2016-08-10 00:00:00+00:00,GC-HG,GC,HG,0.6079631927054338,505.0
2016-08-11 00:00:00+00:00,GC-HG,GC,HG,0.6106391649721312,505.0
2016-08-12 00:00:00+00:00,GC-HG,GC,HG,0.6120983733000327,505.0
2016-08-14 00:00:00+00:00,GC-HG,GC,HG,0.6057327470149576,461.0
2016-08-15 00:00:00+00:00,GC-HG,GC,HG,0.6130197185653605,484.0
2016-08-16 00:00:00+00:00,GC-HG,GC,HG,0.6120217951402143,505.0
2016-08-17 00:00:00+00:00,GC-HG,GC,HG,0.614996913984922,505.0
2016-08-18 00:00:00+00:00,GC-HG,GC,HG,0.6212817875840762,505.0
2016-08-19 00:00:00+00:00,GC-HG,GC,HG,0.6401913197142871,505.0
2016-08-21 00:00:00+00:00,GC-HG,GC,HG,0.6371381954420381,461.0
2016-08-22 00:00:00+00:00,GC-HG,GC,HG,0.6442251025922842,484.0
2016-08-23 00:00:00+00:00,GC-HG,GC,HG,0.6523119373054261,506.0
2016-08-24 00:00:00+00:00,GC-HG,GC,HG,0.6519109117294963,506.0
2016-08-25 00:00:00+00:00,GC-HG,GC,HG,0.6596302000474727,506.0
2016-08-26 00:00:00+00:00,GC-HG,GC,HG,0.6595133204490149,506.0
2016-08-28 00:00:00+00:00,GC-HG,GC,HG,0.6820240269029106,461.0
2016-08-29 00:00:00+00:00,GC-HG,GC,HG,0.6780950439252229,482.0
2016-08-30 00:00:00+00:00,GC-HG,GC,HG,0.6701078013210677,496.0
2016-08-31 00:00:00+00:00,GC-HG,GC,HG,0.6379144227992397,487.0
