window,root,nobs,median_abs_deviation_bp,p90_abs_deviation_bp,p95_abs_deviation_bp,p99_abs_deviation_bp,off_fair_fraction,extreme_off_fair_fraction,event_count
120D,GC,57731,40.59592727435036,114.30240120205208,139.4634170375246,205.16244126522324,0.11292026814016733,0.04896849179816736,246
120D,HG,57731,64.36205481606532,222.93468520234256,260.19971237492047,332.40508819614814,0.1110495227867177,0.05501377076440734,257
120D,PA,57731,117.13830065316868,447.0114726549999,617.0306191503037,1516.0918668509987,0.14564099010930004,0.08861790026155791,219
120D,PL,57731,103.84884629859093,375.60827034848586,487.3397921042041,632.0153198197261,0.14125859590168194,0.05199979213940517,265
120D,SI,57731,79.11374699987698,225.74314319950355,295.59987127387205,915.0321152841278,0.152465746306144,0.07723753269473939,264
20D,GC,58531,15.567804388536901,45.675909323360834,57.33189055382425,90.19131357299104,0.1128803540004442,0.04144812150826058,553
20D,HG,58531,28.89102684520181,96.39450988186579,118.55981206754603,158.2000744232581,0.12422476978011653,0.047325348960379966,616
20D,PA,58531,42.136719408525366,161.3242613343341,223.3735820261562,402.33705721673465,0.12786386701064392,0.050964446190907384,514
20D,PL,58531,43.299019948103144,124.32829814655987,159.05629667815023,251.82199543114953,0.13220344774563905,0.05245083801746083,555
20D,SI,58531,29.277282912959084,87.86915921253691,111.69985322229098,175.49605017956927,0.12730006321436504,0.05291213203259811,562
252D,GC,56691,61.2906896537809,167.15933438670865,210.53079269122168,296.21284985020867,0.11448025259741405,0.03374433331569385,167
252D,HG,56691,99.37880182001368,311.7744321069854,350.4952895205522,470.38071172979915,0.13451870667301688,0.04979626395724189,248
252D,PA,56691,186.99486484321793,640.8415912295926,1049.4393623142405,2176.8020852088293,0.19265844666701945,0.11615600359845478,218
252D,PL,56691,148.2586047961193,489.7118975303766,757.0647485170998,1088.0318068903382,0.13741158208533982,0.06969360215907287,224
252D,SI,56691,126.04185734838708,343.78048287665746,412.03921970078545,975.0143033170912,0.13622973664250057,0.06574235769346104,220
60D,GC,58211,28.470434154520696,79.51365997694165,106.01894417110367,149.06646259293936,0.14679356135438318,0.06837195719022178,387
60D,HG,58211,51.01388889390929,164.36783578478637,191.20810162001374,253.71406962073496,0.1290134167081823,0.05911253886722441,323
60D,PA,58211,84.23897210363963,300.9027744127901,443.35841094249304,783.5524810242766,0.1689027846970504,0.09080757932349556,336
60D,PL,58211,75.9504379226078,247.2874523953143,311.2079688284929,413.19630907288905,0.11791585782755837,0.045455326312896185,362
60D,SI,58211,53.75453843461997,159.52782120683295,187.09428618145193,334.34479797120326,0.12837779801068527,0.06306368212193572,328
