window,root,ts,actual_cum_log_price,fair_cum_log_price,fair_deviation_bp,fair_scale_bp,fair_zscore,state
120D,GC,2026-06-21 23:55:00+00:00,0.8488276270882062,0.8487474301465963,0.8019694161004454,76.92862423041798,0.010424850621250842,inside_band
120D,HG,2026-06-21 23:55:00+00:00,0.8400222505061237,0.8403394609355048,-3.172104293811262,48.88085100054281,-0.06489462087671174,inside_band
120D,PA,2026-06-21 23:55:00+00:00,0.6845053167503563,0.684714947689848,-2.0963093949166733,95.3556268874596,-0.02198411843478073,inside_band
120D,PL,2026-06-21 23:55:00+00:00,0.2949619050884147,0.28798624831472147,69.75656773693217,180.67783506766995,0.38608259674356843,inside_band
120D,SI,2026-06-21 23:55:00+00:00,0.9956323865252736,1.00281723650516,-71.84849979886332,143.03676614009962,-0.5023079152145412,inside_band
20D,GC,2026-06-21 23:55:00+00:00,0.8488276270882062,0.8447332899461298,40.94337142076382,26.339399360401483,1.5544534960929244,inside_band
20D,HG,2026-06-21 23:55:00+00:00,0.8400222505061237,0.8431318433173669,-31.095928112431782,13.394760966236603,-2.3214992929559166,inside_band
20D,PA,2026-06-21 23:55:00+00:00,0.6845053167503563,0.6890015908610232,-44.96274110666943,52.9488578112288,-0.8491730127015927,inside_band
20D,PL,2026-06-21 23:55:00+00:00,0.2949619050884147,0.29913278119494047,-41.70876106525778,57.099536722326214,-0.7304570835326838,inside_band
20D,SI,2026-06-21 23:55:00+00:00,0.9956323865252736,0.9922475960101802,33.84790515093494,32.42750016573658,1.043802481780547,inside_band
252D,GC,2026-06-21 23:55:00+00:00,0.8488276270882062,0.8500715763064279,-12.439492182216295,73.82959397514621,-0.1684892400519484,inside_band
252D,HG,2026-06-21 23:55:00+00:00,0.8400222505061237,0.8357718481561682,42.50402349955468,160.20733315180937,0.2653063543556941,inside_band
252D,PA,2026-06-21 23:55:00+00:00,0.6845053167503563,0.6789483125143694,55.57004235986929,162.43657460236673,0.34210301772184515,inside_band
252D,PL,2026-06-21 23:55:00+00:00,0.2949619050884147,0.2780856586582057,168.76246430208963,198.95449793344656,0.8482465390581084,inside_band
252D,SI,2026-06-21 23:55:00+00:00,0.9956323865252736,1.036145812126567,-405.13425601293284,654.518569211855,-0.6189805378643103,inside_band
60D,GC,2026-06-21 23:55:00+00:00,0.8488276270882062,0.8416605097706109,71.6711731759534,73.3861005590774,0.9766314415119596,inside_band
60D,HG,2026-06-21 23:55:00+00:00,0.8400222505061237,0.8451229657841838,-51.007152780600805,40.936848918918514,-1.2459960677879243,inside_band
60D,PA,2026-06-21 23:55:00+00:00,0.6845053167503563,0.6858386263127789,-13.333095624226132,66.92984755524778,-0.19921001035031824,inside_band
60D,PL,2026-06-21 23:55:00+00:00,0.2949619050884147,0.2987832727965008,-38.213677080861096,99.79120465701182,-0.3829363240197744,inside_band
60D,SI,2026-06-21 23:55:00+00:00,0.9956323865252736,0.9956217743484093,0.10612176864432943,60.84334241314116,0.0017441804548431396,inside_band
