window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,latest_z,latest_deviation_bp,duration_hours
120D,GC,cheap,2016-10-06 00:55:00+00:00,2016-10-06 15:55:00+00:00,16,2.9094654041290635,56.72041241522095,-2.527083358279065,-49.28090062039789,15.0
120D,GC,cheap,2016-10-06 19:55:00+00:00,2016-10-07 20:55:00+00:00,25,3.607746466408299,71.81288026154589,-3.607746466408299,-71.81288026154589,25.0
120D,GC,cheap,2016-10-09 22:55:00+00:00,2016-10-12 08:55:00+00:00,57,3.548326352736926,70.68787091393052,-2.507072592535676,-51.89271897938963,58.0
120D,GC,cheap,2016-10-17 01:55:00+00:00,2016-10-17 03:55:00+00:00,3,2.6048927871077097,55.930428221375585,-2.5376367833298303,-54.573007156123765,2.0
120D,GC,cheap,2016-10-17 06:55:00+00:00,2016-10-17 13:55:00+00:00,8,2.7326648227356376,59.07810374986668,-2.563422992682235,-55.511581105682254,7.0
120D,GC,cheap,2016-10-17 16:55:00+00:00,2016-10-17 18:55:00+00:00,3,2.550053045502637,55.411878183965634,-2.5201386873185254,-54.765218024160326,2.0
120D,GC,cheap,2016-10-17 22:55:00+00:00,2016-10-21 20:55:00+00:00,92,3.649403688717851,86.2779778475048,-3.649403688717851,-86.2779778475048,94.0
120D,GC,cheap,2016-10-23 22:55:00+00:00,2016-10-28 20:55:00+00:00,115,4.801155280031176,125.24273923043707,-4.571719317740088,-120.45067705088948,118.0
120D,GC,cheap,2016-10-30 22:55:00+00:00,2016-11-04 13:55:00+00:00,108,4.71540939320709,127.8145900112641,-2.590933272797766,-75.92180987444291,111.0
120D,GC,cheap,2016-11-04 15:55:00+00:00,2016-11-04 15:55:00+00:00,1,2.505918326382632,73.45270172553289,-2.505918326382632,-73.45270172553289,0.0
120D,GC,cheap,2016-11-04 17:55:00+00:00,2016-11-04 20:55:00+00:00,4,2.760428090139323,81.31326417767399,-2.760428090139323,-81.31326417767399,3.0
120D,GC,cheap,2016-11-06 23:55:00+00:00,2016-11-11 02:55:00+00:00,96,3.5836867710570077,110.0239929855141,-2.7410787191067967,-90.80206827229807,99.0
120D,GC,cheap,2016-11-11 05:55:00+00:00,2016-11-11 21:55:00+00:00,17,3.7167642057153185,124.68796823293108,-3.5676738336162277,-120.23491566956342,16.0
120D,GC,cheap,2016-11-13 23:55:00+00:00,2016-11-18 21:55:00+00:00,115,4.110910167895413,157.0477419588056,-3.237915277948321,-145.14602476751008,118.0
120D,GC,cheap,2016-11-20 23:55:00+00:00,2016-11-23 12:55:00+00:00,60,3.109981389568409,150.2425902299702,-2.7761294244834986,-142.58311020622364,61.0
120D,GC,cheap,2016-11-23 14:55:00+00:00,2016-11-25 14:55:00+00:00,43,2.75464466285057,148.09468900851166,-2.5209045984373746,-138.43226299143865,48.0
120D,GC,rich,2017-05-19 12:20:00+00:00,2017-05-19 17:20:00+00:00,6,2.742352447971066,63.954027730227224,2.5483570974450402,59.429888596960176,5.0
120D,GC,rich,2017-05-19 19:20:00+00:00,2017-05-19 19:20:00+00:00,1,2.509454099506394,58.52263708346565,2.509454099506394,58.52263708346565,0.0
120D,GC,rich,2017-05-22 01:20:00+00:00,2017-05-23 06:20:00+00:00,29,3.015879143536454,70.74488720700194,2.5682735249896584,60.6631934569093,29.0
120D,GC,cheap,2018-02-05 13:05:00+00:00,2018-02-05 13:05:00+00:00,1,2.5280211807926545,42.50349156856167,-2.5280211807926545,-42.50349156856167,0.0
120D,GC,cheap,2018-02-05 15:05:00+00:00,2018-02-05 19:05:00+00:00,5,2.6939062369936804,45.48121987074803,-2.6567774087549156,-44.81507679628606,4.0
120D,GC,cheap,2018-02-06 00:05:00+00:00,2018-02-06 00:05:00+00:00,1,2.5000322027784136,41.90440082881879,-2.5000322027784136,-41.90440082881879,0.0
120D,GC,cheap,2018-02-06 02:05:00+00:00,2018-02-09 21:05:00+00:00,89,5.1904302056050975,84.28702476396741,-4.667033416068857,-75.68464766013787,91.0
120D,GC,cheap,2018-02-11 23:05:00+00:00,2018-02-16 21:05:00+00:00,115,4.985917372081698,81.27830795827992,-4.932083960029811,-80.44098207092263,118.0
120D,GC,cheap,2018-02-18 23:05:00+00:00,2018-02-23 21:05:00+00:00,111,5.181140727701348,83.4092168461827,-3.4936222879801258,-63.89410354647518,118.0
120D,GC,cheap,2018-02-25 23:05:00+00:00,2018-02-27 23:05:00+00:00,47,3.6254826184558153,67.78917917441576,-2.5352461419924652,-51.883171195892736,48.0
120D,GC,cheap,2018-03-01 21:05:00+00:00,2018-03-01 21:05:00+00:00,1,2.513372138201196,55.39971815794968,-2.513372138201196,-55.39971815794968,0.0
120D,GC,cheap,2018-03-02 02:05:00+00:00,2018-03-02 02:05:00+00:00,1,2.5016269707624006,55.69787816694132,-2.5016269707624006,-55.69787816694132,0.0
120D,GC,cheap,2018-03-02 06:05:00+00:00,2018-03-02 06:05:00+00:00,1,2.5133774212548303,56.21169094477019,-2.5133774212548303,-56.21169094477019,0.0
120D,GC,cheap,2018-06-14 12:10:00+00:00,2018-06-14 12:10:00+00:00,1,2.6336487508187503,50.555299078087515,-2.6336487508187503,-50.555299078087515,0.0
120D,GC,cheap,2018-06-14 16:10:00+00:00,2018-06-14 16:10:00+00:00,1,2.5148959217389733,48.275729796636924,-2.5148959217389733,-48.275729796636924,0.0
120D,GC,cheap,2018-07-03 02:40:00+00:00,2018-07-03 03:40:00+00:00,2,2.5280737649279117,53.042623981678254,-2.5235481457691264,-53.02700312560325,1.0
120D,GC,cheap,2018-07-04 06:40:00+00:00,2018-07-06 20:40:00+00:00,57,3.149786981682665,73.39003136481539,-3.0468017490188988,-71.20389326810539,62.0
120D,GC,cheap,2018-07-08 22:40:00+00:00,2018-07-11 19:40:00+00:00,68,3.5528332436271186,84.46496751032775,-2.5006779535516537,-62.840568987253334,69.0
120D,GC,rich,2018-10-11 15:40:00+00:00,2018-10-12 20:40:00+00:00,29,4.095888712312639,43.67462829134066,3.6348260145570865,39.94185197312351,29.0
120D,GC,rich,2018-10-14 22:40:00+00:00,2018-10-16 18:40:00+00:00,44,3.539213848233582,40.372583441393196,2.515209187001206,29.740360804370695,44.0
120D,GC,rich,2018-10-17 08:40:00+00:00,2018-10-19 15:40:00+00:00,54,3.945697004665462,47.14822811868864,2.5713009300485905,30.725188139986425,55.0
120D,GC,rich,2018-10-19 18:40:00+00:00,2018-10-19 20:40:00+00:00,3,2.9392409197906333,35.121805150829765,2.9286710315785336,34.995502624299256,2.0
120D,GC,rich,2018-10-21 22:40:00+00:00,2018-10-22 06:40:00+00:00,9,2.960836090215029,34.755954050071615,2.6079181451032403,30.7401030085621,8.0
120D,GC,rich,2018-10-22 10:40:00+00:00,2018-10-24 12:40:00+00:00,49,3.5181979986135747,42.08952632156701,2.66303054103474,32.99268498229191,50.0
120D,GC,rich,2018-10-24 20:40:00+00:00,2018-10-24 23:40:00+00:00,3,2.5309917730426994,32.149653078232916,2.530745962870615,32.149653078232916,3.0
120D,GC,rich,2018-10-25 05:40:00+00:00,2018-10-25 05:40:00+00:00,1,2.6144950846714257,33.76265288694773,2.6144950846714257,33.76265288694773,0.0
120D,GC,rich,2018-10-26 10:40:00+00:00,2018-10-26 16:40:00+00:00,7,3.035175588332237,41.11131875541054,2.7979681813249866,37.8983549459665,6.0
120D,GC,rich,2018-10-29 00:40:00+00:00,2018-10-31 14:40:00+00:00,61,3.530005624635116,50.95128535202154,2.5475346400603875,38.527687540632,62.0
120D,GC,rich,2018-11-02 09:40:00+00:00,2018-11-02 12:40:00+00:00,4,2.7184777925864183,41.78269045531344,2.7184777925864183,41.78269045531344,3.0
120D,GC,rich,2018-11-02 18:40:00+00:00,2018-11-02 20:40:00+00:00,3,2.665428100221642,41.13391776484218,2.6347841240264622,40.70493219011085,2.0
120D,GC,rich,2018-11-04 23:40:00+00:00,2018-11-05 07:40:00+00:00,9,2.6678736692116582,40.6964832275079,2.6678736692116582,40.6964832275079,8.0
120D,GC,rich,2018-11-05 09:40:00+00:00,2018-11-06 16:40:00+00:00,31,3.2561404327956764,50.275924158331705,2.525252621866127,39.27966950860902,31.0
120D,GC,rich,2018-11-09 15:40:00+00:00,2018-11-09 15:40:00+00:00,1,2.5761136185702256,40.72176120113534,2.5761136185702256,40.72176120113534,0.0
120D,GC,rich,2018-11-16 13:40:00+00:00,2018-11-16 13:40:00+00:00,1,2.5535617409993843,44.65641142505073,2.5535617409993843,44.65641142505073,0.0
120D,GC,rich,2018-12-18 19:15:00+00:00,2018-12-19 10:15:00+00:00,15,2.7123832131718215,63.617747797139955,2.5005735749082016,58.38494711693357,15.0
120D,GC,rich,2018-12-19 12:15:00+00:00,2018-12-19 13:15:00+00:00,2,2.5656258465742154,59.81248205766492,2.5493489099117506,59.37339076573553,1.0
120D,GC,rich,2018-12-19 16:15:00+00:00,2018-12-19 17:15:00+00:00,2,2.598048311987002,60.39827435920117,2.584617874246294,59.999521389345645,1.0
120D,GC,rich,2018-12-19 20:15:00+00:00,2018-12-21 21:15:00+00:00,48,3.4575291529703294,78.32611320192542,2.6668225111317536,60.04843155267989,49.0
120D,GC,rich,2018-12-23 23:15:00+00:00,2018-12-24 02:15:00+00:00,4,2.6340337357609904,57.60080103565015,2.5809146512335417,56.65999448717627,3.0
120D,GC,rich,2018-12-24 05:15:00+00:00,2018-12-24 06:15:00+00:00,2,2.6522311861103023,58.7755936457969,2.6522311861103023,58.7755936457969,1.0
120D,GC,rich,2018-12-24 08:15:00+00:00,2018-12-26 06:30:00+00:00,19,2.999533925469372,67.06515289632874,2.5318928987451375,54.94920049317221,46.25
120D,GC,rich,2018-12-28 00:30:00+00:00,2018-12-28 05:30:00+00:00,6,2.6393569949521365,54.64112976086098,2.5532004195306994,52.829362003747434,5.0
120D,GC,rich,2018-12-28 10:30:00+00:00,2018-12-28 21:30:00+00:00,12,3.2752500361045804,66.54005746609239,3.194128859542981,64.65376825880242,11.0
120D,GC,rich,2018-12-30 23:30:00+00:00,2018-12-31 16:30:00+00:00,18,3.311615014503573,65.77438546153773,2.6636553097537807,52.67724882256922,17.0
120D,GC,rich,2019-01-02 18:30:00+00:00,2019-01-02 18:30:00+00:00,1,2.5421942143663645,48.06937515152213,2.5421942143663645,48.06937515152213,0.0
120D,GC,rich,2019-01-03 01:30:00+00:00,2019-01-04 21:30:00+00:00,44,4.146029440512565,78.04142738173366,3.9902991919704602,74.79613169408809,44.0
120D,GC,rich,2019-01-06 23:30:00+00:00,2019-01-11 21:30:00+00:00,115,5.234134941956135,100.23704455393029,4.96958871019955,96.42611877133446,118.0
120D,GC,rich,2019-01-13 23:30:00+00:00,2019-01-18 21:30:00+00:00,115,5.275299399958572,108.75556186902854,4.273147959369079,91.9669817479906,118.0
120D,GC,rich,2019-01-20 23:30:00+00:00,2019-01-25 21:30:00+00:00,111,4.929427506030528,100.09048587177254,4.63711932338154,99.48032892470303,118.0
120D,GC,rich,2019-01-27 23:30:00+00:00,2019-02-01 21:30:00+00:00,115,4.71599843511147,119.96950745051856,4.309616048561581,114.60539472031869,118.0
120D,GC,rich,2019-02-03 23:30:00+00:00,2019-02-08 21:30:00+00:00,115,4.546010494170518,125.14040114512764,2.8262424150075147,99.92113106324537,118.0
120D,GC,rich,2019-02-10 23:30:00+00:00,2019-02-11 11:30:00+00:00,13,2.836281829355893,100.94681713279216,2.523088118012029,90.16440909579721,12.0
120D,GC,rich,2019-02-11 14:30:00+00:00,2019-02-12 01:30:00+00:00,11,2.643859995757476,94.86732612895311,2.5091440537575602,90.53040446622975,11.0
120D,GC,rich,2019-06-26 15:30:00+00:00,2019-06-26 18:30:00+00:00,4,2.5633205818621914,109.08152076878726,2.5633205818621914,109.08152076878726,3.0
120D,GC,rich,2019-06-26 20:30:00+00:00,2019-06-26 20:30:00+00:00,1,2.5276369819565963,107.56301334066858,2.5276369819565963,107.56301334066858,0.0
120D,GC,rich,2019-06-26 23:30:00+00:00,2019-06-26 23:30:00+00:00,1,2.529427326090789,107.63920102559534,2.529427326090789,107.63920102559534,0.0
120D,GC,rich,2019-06-27 12:30:00+00:00,2019-06-27 12:30:00+00:00,1,2.536999335354702,108.38175057673577,2.536999335354702,108.38175057673577,0.0
120D,GC,rich,2019-06-27 15:30:00+00:00,2019-06-27 15:30:00+00:00,1,2.500646854517549,106.82875627514797,2.500646854517549,106.82875627514797,0.0
120D,GC,rich,2019-06-27 17:30:00+00:00,2019-06-27 17:30:00+00:00,1,2.5333517993209465,108.22592619983466,2.5333517993209465,108.22592619983466,0.0
120D,GC,rich,2019-06-27 19:30:00+00:00,2019-06-28 01:30:00+00:00,6,2.546095791772631,108.77035527870834,2.546095791772631,108.77035527870834,6.0
120D,GC,rich,2019-07-05 15:30:00+00:00,2019-07-05 20:30:00+00:00,6,2.5993730390288863,112.95700024970823,2.5219360943404614,109.63011683786237,5.0
120D,GC,rich,2019-07-07 22:30:00+00:00,2019-07-08 00:30:00+00:00,3,2.5459416082135204,113.62843293250207,2.514646832434151,112.23440154442129,2.0
120D,GC,rich,2019-07-08 02:30:00+00:00,2019-07-08 17:30:00+00:00,16,2.8571324630823334,125.40573987525626,2.578207038145972,112.61510235222146,15.0
120D,GC,rich,2019-07-08 22:30:00+00:00,2019-07-08 22:30:00+00:00,1,2.5147608459288104,109.54980173210123,2.5147608459288104,109.54980173210123,0.0
120D,GC,rich,2019-07-09 02:30:00+00:00,2019-07-09 02:30:00+00:00,1,2.5121105887318547,109.45983865640687,2.5121105887318547,109.45983865640687,0.0
120D,GC,rich,2019-07-09 12:30:00+00:00,2019-07-09 12:30:00+00:00,1,2.6447975191372346,115.32053596942208,2.6447975191372346,115.32053596942208,0.0
120D,GC,rich,2019-07-09 14:30:00+00:00,2019-07-09 14:30:00+00:00,1,2.517285179633604,109.78041691341627,2.517285179633604,109.78041691341627,0.0
120D,GC,rich,2019-07-09 19:30:00+00:00,2019-07-11 03:30:00+00:00,31,2.714878850247123,118.57204829594606,2.5397881843426475,113.43229068880092,32.0
120D,GC,rich,2019-07-11 05:30:00+00:00,2019-07-11 10:30:00+00:00,6,2.5818748964316245,116.79455168714638,2.5818748964316245,116.79455168714638,5.0
120D,GC,cheap,2020-01-08 02:00:00+00:00,2020-01-08 02:00:00+00:00,1,2.6764473957142365,50.509811209469866,-2.6764473957142365,-50.509811209469866,0.0
120D,GC,cheap,2020-01-08 14:00:00+00:00,2020-01-08 14:00:00+00:00,1,2.5198522694914796,48.37729633432191,-2.5198522694914796,-48.37729633432191,0.0
120D,GC,cheap,2020-01-08 21:00:00+00:00,2020-01-09 05:00:00+00:00,8,2.823321573344461,54.538437947619435,-2.5973329122084077,-50.4126448982413,8.0
120D,GC,cheap,2020-01-14 15:00:00+00:00,2020-01-14 16:00:00+00:00,2,2.538349685043547,55.56320824544912,-2.5168479202237597,-55.092545340583825,1.0
120D,GC,cheap,2020-01-15 01:00:00+00:00,2020-01-15 15:00:00+00:00,15,3.044032769617187,66.63235868595834,-2.5751451112232973,-56.36864176761194,14.0
120D,GC,cheap,2020-01-21 09:00:00+00:00,2020-01-21 11:00:00+00:00,3,2.581170863631673,58.43522476509693,-2.581170863631673,-58.43522476509693,2.0
120D,GC,cheap,2020-01-22 01:00:00+00:00,2020-01-22 09:00:00+00:00,9,2.726169617102529,62.385067932081704,-2.6202453841181588,-59.96112100342108,8.0
120D,GC,cheap,2020-01-22 11:00:00+00:00,2020-01-22 11:00:00+00:00,1,2.5183084131195006,57.62841770402004,-2.5183084131195006,-57.62841770402004,0.0
120D,GC,cheap,2020-01-22 14:00:00+00:00,2020-01-23 15:00:00+00:00,25,2.830466031344791,64.77176421347136,-2.5841522666809267,-59.221326824576735,25.0
120D,GC,cheap,2020-01-23 19:00:00+00:00,2020-01-23 20:00:00+00:00,2,2.5414536832404457,58.24654168418427,-2.526795869203617,-57.91060521525497,1.0
120D,GC,cheap,2020-01-23 23:00:00+00:00,2020-01-24 07:00:00+00:00,9,2.651504453855093,60.768750465817305,-2.527331156954597,-57.922873257165826,8.0
